Date,UNITED KINGDOM VALUE Standard (Large+Mid Cap)
2001-01-01,10618.259
2001-01-02,10523.932
2001-01-03,10366.121
2001-01-04,10718.391
2001-01-05,10785.619
2001-01-08,10654.021
2001-01-09,10502.551
2001-01-10,10398.808
2001-01-11,10519.005
2001-01-12,10482.112
2001-01-15,10385.613
2001-01-16,10190.177
2001-01-17,10417.005
2001-01-18,10424.724
2001-01-19,10362.25
2001-01-22,10318.899
2001-01-23,10389.017
2001-01-24,10460.327
2001-01-25,10442.745
2001-01-26,10474.606
2001-01-29,10560.233
2001-01-30,10687.385
2001-01-31,10563.799
2001-02-01,10596.045
2001-02-02,10537.577
2001-02-05,10577.599
2001-02-06,10513.252
2001-02-07,10399.96
2001-02-08,10279.63
2001-02-09,10149.012
2001-02-12,10370.05
2001-02-13,10306.829
2001-02-14,10283.037
2001-02-15,10289.611
2001-02-16,10113.156
2001-02-19,10028.337
2001-02-20,9823.838
2001-02-21,9739.047
2001-02-22,9842.585
2001-02-23,9760.364
2001-02-26,9602.592
2001-02-27,9610.296
2001-02-28,9566.587
2001-03-01,9658.455
2001-03-02,9704.269
2001-03-05,9851.323
2001-03-06,10046.952
2001-03-07,10011.87
2001-03-08,10076.274
2001-03-09,9894.06
2001-03-12,9778.876
2001-03-13,9549.164
2001-03-14,9421.988
2001-03-15,9568.036
2001-03-16,9232.051
2001-03-19,9211.734
2001-03-20,9391.193
2001-03-21,9213.759
2001-03-22,8834.9
2001-03-23,8934.854
2001-03-26,9268.845
2001-03-27,9580.092
2001-03-28,9389.458
2001-03-29,9391.193
2001-03-30,9352.687
2001-04-02,9325.299
2001-04-03,9127.292
2001-04-04,9349.729
2001-04-05,9439.535
2001-04-06,9549.81
2001-04-09,9769.201
2001-04-10,9918.373
2001-04-11,9877.766
2001-04-12,9880.084
2001-04-13,9880.084
2001-04-16,9838.584
2001-04-17,9767.3
2001-04-18,9892.519
2001-04-19,10062.776
2001-04-20,10079.824
2001-04-23,10065.041
2001-04-24,9982.097
2001-04-25,9955.097
2001-04-26,9995.784
2001-04-27,10053.496
2001-04-30,9994.848
2001-05-01,9951.133
2001-05-02,9855.26
2001-05-03,9594.649
2001-05-04,9834.0
2001-05-07,9852.814
2001-05-08,9781.907
2001-05-09,9795.042
2001-05-10,9887.332
2001-05-11,9804.09
2001-05-14,9437.498
2001-05-15,9697.209
2001-05-16,9796.515
2001-05-17,9854.001
2001-05-18,9850.573
2001-05-21,9934.128
2001-05-22,9907.882
2001-05-23,9747.882
2001-05-24,9677.651
2001-05-25,9755.776
2001-05-28,9754.059
2001-05-29,9669.211
2001-05-30,9577.295
2001-05-31,9558.386
2001-06-01,9505.293
2001-06-04,9560.862
2001-06-05,9650.698
2001-06-06,9491.946
2001-06-07,9529.328
2001-06-08,9495.465
2001-06-11,9309.98
2001-06-12,9261.676
2001-06-13,9363.572
2001-06-14,9331.275
2001-06-15,9295.683
2001-06-18,9216.085
2001-06-19,9243.51
2001-06-20,9210.41
2001-06-21,9190.047
2001-06-22,9209.136
2001-06-25,9217.908
2001-06-26,9098.136
2001-06-27,9152.927
2001-06-28,9173.08
2001-06-29,9128.785
2001-07-02,9336.575
2001-07-03,9189.558
2001-07-04,9141.664
2001-07-05,9066.236
2001-07-06,8954.712
2001-07-09,8966.775
2001-07-10,8977.294
2001-07-11,8855.841
2001-07-12,8981.296
2001-07-13,9041.382
2001-07-16,9012.795
2001-07-17,8840.355
2001-07-18,8878.509
2001-07-19,8973.728
2001-07-20,8950.314
2001-07-23,8994.36
2001-07-24,8834.839
2001-07-25,8756.307
2001-07-26,8741.016
2001-07-27,8922.568
2001-07-30,9038.68
2001-07-31,9177.303
2001-08-01,9221.656
2001-08-02,9324.098
2001-08-03,9310.457
2001-08-06,9172.035
2001-08-07,9195.609
2001-08-08,9093.138
2001-08-09,9013.552
2001-08-10,9058.0
2001-08-13,9071.734
2001-08-14,9206.51
2001-08-15,9284.8
2001-08-16,9208.2
2001-08-17,9142.121
2001-08-20,9166.128
2001-08-21,9307.872
2001-08-22,9332.482
2001-08-23,9252.434
2001-08-24,9368.354
2001-08-27,9345.685
2001-08-28,9320.133
2001-08-29,9327.33
2001-08-30,9174.917
2001-08-31,9212.051
2001-09-03,9166.382
2001-09-04,9274.077
2001-09-05,9242.532
2001-09-06,9026.772
2001-09-07,8831.886
2001-09-10,8728.764
2001-09-11,8419.477
2001-09-12,8512.811
2001-09-13,8639.28
2001-09-14,8341.962
2001-09-17,8595.173
2001-09-18,8583.975
2001-09-19,8396.008
2001-09-20,8111.565
2001-09-21,7894.015
2001-09-24,8164.067
2001-09-25,8263.541
2001-09-26,8418.268
2001-09-27,8469.619
2001-09-28,8696.319
2001-10-01,8530.21
2001-10-02,8577.267
2001-10-03,8690.303
2001-10-04,8975.903
2001-10-05,9036.044
2001-10-08,8994.549
2001-10-09,8929.15
2001-10-10,9074.717
2001-10-11,9017.688
2001-10-12,8993.54
2001-10-15,8846.456
2001-10-16,8894.818
2001-10-17,9149.098
2001-10-18,8954.535
2001-10-19,8699.602
2001-10-22,8715.389
2001-10-23,8900.656
2001-10-24,8845.122
2001-10-25,8736.222
2001-10-26,8972.708
2001-10-29,8914.663
2001-10-30,8770.933
2001-10-31,8820.727
2001-11-01,8873.995
2001-11-02,8951.098
2001-11-05,9061.033
2001-11-06,9080.627
2001-11-07,9180.514
2001-11-08,9235.023
2001-11-09,9191.504
2001-11-12,9006.603
2001-11-13,9158.522
2001-11-14,9066.125
2001-11-15,8954.953
2001-11-16,9011.563
2001-11-19,9067.846
2001-11-20,9031.837
2001-11-21,9007.238
2001-11-22,9063.374
2001-11-23,8948.211
2001-11-26,8992.581
2001-11-27,8978.725
2001-11-28,8920.685
2001-11-29,8936.206
2001-11-30,8979.19
2001-12-03,8854.913
2001-12-04,8934.283
2001-12-05,9176.681
2001-12-06,9326.86
2001-12-07,9209.612
2001-12-10,9034.423
2001-12-11,8976.457
2001-12-12,8975.192
2001-12-13,8874.099
2001-12-14,8903.063
2001-12-17,9118.054
2001-12-18,9141.17
2001-12-19,9004.641
2001-12-20,8902.484
2001-12-21,8956.513
2001-12-24,9037.971
2001-12-25,9037.971
2001-12-26,9090.714
2001-12-27,9191.252
2001-12-28,9205.685
2001-12-31,9223.868
2002-01-01,9223.868
2002-01-02,9147.482
2002-01-03,9308.209
2002-01-04,9366.397
2002-01-07,9288.446
2002-01-08,9204.642
2002-01-09,9089.712
2002-01-10,9024.573
2002-01-11,9046.755
2002-01-14,8916.996
2002-01-15,8991.975
2002-01-16,8877.884
2002-01-17,8918.583
2002-01-18,8854.502
2002-01-21,8869.131
2002-01-22,8809.598
2002-01-23,8823.252
2002-01-24,8931.625
2002-01-25,8809.716
2002-01-28,8867.021
2002-01-29,8690.089
2002-01-30,8620.351
2002-01-31,8734.601
2002-02-01,8791.596
2002-02-04,8720.717
2002-02-05,8556.294
2002-02-06,8464.416
2002-02-07,8575.479
2002-02-08,8634.793
2002-02-11,8700.496
2002-02-12,8656.881
2002-02-13,8691.507
2002-02-14,8767.039
2002-02-15,8743.321
2002-02-18,8687.003
2002-02-19,8563.884
2002-02-20,8423.055
2002-02-21,8522.967
2002-02-22,8495.927
2002-02-25,8592.761
2002-02-26,8681.818
2002-02-27,8764.602
2002-02-28,8609.317
2002-03-01,8738.283
2002-03-04,8983.471
2002-03-05,8940.23
2002-03-06,9060.366
2002-03-07,9181.9
2002-03-08,9132.791
2002-03-11,9085.531
2002-03-12,8982.81
2002-03-13,9039.63
2002-03-14,9075.266
2002-03-15,9171.88
2002-03-18,9193.883
2002-03-19,9196.882
2002-03-20,9149.023
2002-03-21,9163.525
2002-03-22,9117.309
2002-03-25,9013.929
2002-03-26,9025.012
2002-03-27,9025.766
2002-03-28,9125.769
2002-03-29,9125.769
2002-04-01,9218.052
2002-04-02,9187.895
2002-04-03,9183.25
2002-04-04,9134.154
2002-04-05,9139.311
2002-04-08,9015.123
2002-04-09,8967.723
2002-04-10,9056.079
2002-04-11,8881.112
2002-04-12,8882.996
2002-04-15,8998.353
2002-04-16,9164.963
2002-04-17,9195.356
2002-04-18,9153.702
2002-04-19,9170.798
2002-04-22,9132.214
2002-04-23,9029.663
2002-04-24,9063.114
2002-04-25,9096.995
2002-04-26,8996.035
2002-04-29,9029.977
2002-04-30,9071.385
2002-05-01,9021.062
2002-05-02,9099.344
2002-05-03,9147.789
2002-05-06,9142.804
2002-05-07,8969.244
2002-05-08,9149.495
2002-05-09,9154.013
2002-05-10,9116.486
2002-05-13,9179.828
2002-05-14,9213.422
2002-05-15,9276.492
2002-05-16,9281.184
2002-05-17,9265.535
2002-05-20,9223.016
2002-05-21,9187.457
2002-05-22,9097.887
2002-05-23,9135.466
2002-05-24,9237.571
2002-05-27,9136.133
2002-05-28,9025.552
2002-05-29,9055.244
2002-05-30,8995.067
2002-05-31,9104.14
2002-06-03,9094.496
2002-06-04,9104.762
2002-06-05,8888.707
2002-06-06,8849.294
2002-06-07,8774.332
2002-06-10,8761.787
2002-06-11,8845.69
2002-06-12,8736.538
2002-06-13,8582.244
2002-06-14,8324.336
2002-06-17,8542.812
2002-06-18,8497.252
2002-06-19,8423.513
2002-06-20,8349.781
2002-06-21,8385.565
2002-06-24,8318.348
2002-06-25,8463.116
2002-06-26,8391.365
2002-06-27,8383.697
2002-06-28,8591.32
2002-07-01,8686.512
2002-07-02,8448.884
2002-07-03,8143.758
2002-07-04,8275.625
2002-07-05,8552.483
2002-07-08,8616.722
2002-07-09,8556.179
2002-07-10,8367.287
2002-07-11,8038.438
2002-07-12,8019.485
2002-07-15,7650.423
2002-07-16,7786.841
2002-07-17,8083.641
2002-07-18,8308.521
2002-07-19,7981.686
2002-07-22,7559.371
2002-07-23,7435.931
2002-07-24,7340.697
2002-07-25,7698.244
2002-07-26,7716.542
2002-07-29,8019.69
2002-07-30,8059.975
2002-07-31,8163.884
2002-08-01,7762.757
2002-08-02,7843.632
2002-08-05,7686.556
2002-08-06,7836.051
2002-08-07,7724.714
2002-08-08,7975.215
2002-08-09,8065.984
2002-08-12,7898.786
2002-08-13,8021.613
2002-08-14,7949.89
2002-08-15,8210.736
2002-08-16,8244.835
2002-08-19,8434.628
2002-08-20,8342.53
2002-08-21,8371.821
2002-08-22,8486.982
2002-08-23,8377.231
2002-08-26,8392.653
2002-08-27,8553.402
2002-08-28,8229.885
2002-08-29,8183.025
2002-08-30,8189.764
2002-09-02,8097.416
2002-09-03,7839.295
2002-09-04,7803.24
2002-09-05,7772.921
2002-09-06,7936.304
2002-09-09,7811.584
2002-09-10,7995.808
2002-09-11,8019.519
2002-09-12,7801.235
2002-09-13,7671.357
2002-09-16,7682.635
2002-09-17,7569.739
2002-09-18,7325.09
2002-09-19,7248.813
2002-09-20,7347.326
2002-09-23,7151.705
2002-09-24,6994.119
2002-09-25,6998.094
2002-09-26,7259.458
2002-09-27,7318.324
2002-09-30,7023.858
2002-10-01,7128.849
2002-10-02,7291.128
2002-10-03,7261.649
2002-10-04,7134.612
2002-10-07,7066.487
2002-10-08,6954.98
2002-10-09,6999.139
2002-10-10,7092.167
2002-10-11,7457.635
2002-10-14,7318.776
2002-10-15,7728.996
2002-10-16,7586.97
2002-10-17,7783.629
2002-10-18,7746.573
2002-10-21,7735.723
2002-10-22,7668.032
2002-10-23,7515.407
2002-10-24,7761.644
2002-10-25,7679.022
2002-10-28,7767.661
2002-10-29,7459.636
2002-10-30,7576.399
2002-10-31,7681.373
2002-11-01,7612.241
2002-11-04,7842.405
2002-11-05,7882.477
2002-11-06,7742.924
2002-11-07,7814.339
2002-11-08,7750.307
2002-11-11,7713.728
2002-11-12,7896.666
2002-11-13,7804.269
