Date,USA IMI IMI (Large+Mid+Small Cap)
2001-01-01,745.92
2001-01-02,719.818
2001-01-03,758.811
2001-01-04,749.661
2001-01-05,727.689
2001-01-08,725.265
2001-01-09,729.155
2001-01-10,739.65
2001-01-11,750.2
2001-01-12,747.403
2001-01-15,747.403
2001-01-16,752.6
2001-01-17,755.294
2001-01-18,764.312
2001-01-19,760.421
2001-01-22,760.47
2001-01-23,772.611
2001-01-24,775.247
2001-01-25,769.376
2001-01-26,768.458
2001-01-29,775.49
2001-01-30,780.463
2001-01-31,774.988
2001-02-01,777.995
2001-02-02,763.33
2001-02-05,764.926
2001-02-06,765.297
2001-02-07,758.88
2001-02-08,753.933
2001-02-09,743.519
2001-02-12,751.563
2001-02-13,744.888
2001-02-14,744.837
2001-02-15,751.697
2001-02-16,737.479
2001-02-19,737.477
2001-02-20,723.667
2001-02-21,710.389
2001-02-22,707.241
2001-02-23,704.55
2001-02-26,718.23
2001-02-27,710.05
2001-02-28,699.807
2001-03-01,700.047
2001-03-02,696.772
2001-03-05,700.421
2001-03-06,708.049
2001-03-07,712.474
2001-03-08,711.803
2001-03-09,694.214
2001-03-12,664.417
2001-03-13,674.523
2001-03-14,657.828
2001-03-15,660.341
2001-03-16,646.475
2001-03-19,658.611
2001-03-20,643.069
2001-03-21,631.139
2001-03-22,628.2
2001-03-23,641.366
2001-03-26,648.567
2001-03-27,663.97
2001-03-28,647.039
2001-03-29,643.698
2001-03-30,651.402
2001-04-02,641.362
2001-04-03,617.821
2001-04-04,615.611
2001-04-05,644.359
2001-04-06,631.214
2001-04-09,636.911
2001-04-10,655.122
2001-04-11,654.388
2001-04-12,664.581
2001-04-13,664.581
2001-04-16,661.534
2001-04-17,668.682
2001-04-18,694.955
2001-04-19,705.264
2001-04-20,699.404
2001-04-23,687.661
2001-04-24,679.956
2001-04-25,691.455
2001-04-26,694.953
2001-04-27,705.202
2001-04-30,705.556
2001-05-01,715.074
2001-05-02,717.246
2001-05-03,706.177
2001-05-04,716.237
2001-05-07,713.871
2001-05-08,713.27
2001-05-09,710.035
2001-05-10,709.533
2001-05-11,704.275
2001-05-14,705.242
2001-05-15,706.022
2001-05-16,725.584
2001-05-17,729.775
2001-05-18,731.619
2001-05-21,745.235
2001-05-22,744.028
2001-05-23,731.39
2001-05-24,734.462
2001-05-25,726.845
2001-05-28,726.845
2001-05-29,719.357
2001-05-30,707.003
2001-05-31,712.337
2001-06-01,716.082
2001-06-04,719.692
2001-06-05,730.125
2001-06-06,723.16
2001-06-07,726.987
2001-06-08,720.054
2001-06-11,713.19
2001-06-12,713.562
2001-06-13,706.17
2001-06-14,692.516
2001-06-15,689.472
2001-06-18,685.263
2001-06-19,686.566
2001-06-20,693.78
2001-06-21,700.711
2001-06-22,693.964
2001-06-25,690.176
2001-06-26,690.297
2001-06-27,688.892
2001-06-28,697.895
2001-06-29,700.409
2001-07-02,704.483
2001-07-03,703.175
2001-07-04,703.175
2001-07-05,694.707
2001-07-06,679.075
2001-07-09,682.985
2001-07-10,672.863
2001-07-11,671.407
2001-07-12,687.579
2001-07-13,691.399
2001-07-16,683.396
2001-07-17,690.835
2001-07-18,686.125
2001-07-19,689.834
2001-07-20,687.834
2001-07-23,677.376
2001-07-24,666.011
2001-07-25,675.291
2001-07-26,683.271
2001-07-27,685.185
2001-07-30,684.425
2001-07-31,687.76
2001-08-01,691.042
2001-08-02,693.302
2001-08-03,690.084
2001-08-06,682.277
2001-08-07,683.778
2001-08-08,672.24
2001-08-09,671.918
2001-08-10,675.078
2001-08-13,676.583
2001-08-14,674.61
2001-08-15,669.843
2001-08-16,671.278
2001-08-17,660.525
2001-08-20,665.206
2001-08-21,657.442
2001-08-22,662.051
2001-08-23,660.082
2001-08-24,672.245
2001-08-27,669.549
2001-08-28,659.938
2001-08-29,653.642
2001-08-30,643.176
2001-08-31,645.905
2001-09-03,645.905
2001-09-04,645.118
2001-09-05,643.075
2001-09-06,629.485
2001-09-07,617.976
2001-09-10,620.436
2001-09-11,620.44
2001-09-12,620.451
2001-09-13,620.451
2001-09-14,620.452
2001-09-17,588.537
2001-09-18,583.852
2001-09-19,574.109
2001-09-20,556.663
2001-09-21,546.246
2001-09-24,567.081
2001-09-25,571.572
2001-09-26,567.858
2001-09-27,574.254
2001-09-28,587.416
2001-10-01,584.738
2001-10-02,591.572
2001-10-03,605.083
2001-10-04,604.611
2001-10-05,604.681
2001-10-08,599.767
2001-10-09,596.814
2001-10-10,610.864
2001-10-11,621.77
2001-10-12,618.168
2001-10-15,617.72
2001-10-16,622.561
2001-10-17,610.133
2001-10-18,605.58
2001-10-19,608.77
2001-10-22,617.965
2001-10-23,615.026
2001-10-24,615.521
2001-10-25,624.287
2001-10-26,626.854
2001-10-29,612.267
2001-10-30,601.671
2001-10-31,602.911
2001-11-01,615.634
2001-11-02,616.843
2001-11-05,625.605
2001-11-06,634.672
2001-11-07,633.398
2001-11-08,634.087
2001-11-09,634.535
2001-11-12,634.13
2001-11-13,645.988
2001-11-14,648.19
2001-11-15,648.285
2001-11-16,646.851
2001-11-19,654.438
2001-11-20,649.13
2001-11-21,646.136
2001-11-22,646.136
2001-11-23,653.718
2001-11-26,658.479
2001-11-27,655.076
2001-11-28,643.529
2001-11-29,650.84
2001-11-30,650.086
2001-12-03,644.677
2001-12-04,654.118
2001-12-05,669.249
2001-12-06,668.442
2001-12-07,663.523
2001-12-10,653.319
2001-12-11,652.158
2001-12-12,652.333
2001-12-13,642.427
2001-12-14,644.577
2001-12-17,651.276
2001-12-18,656.654
2001-12-19,659.591
2001-12-20,653.518
2001-12-21,657.402
2001-12-24,657.649
2001-12-25,657.649
2001-12-26,661.116
2001-12-27,665.59
2001-12-28,668.436
2001-12-31,661.557
2002-01-01,661.555
2002-01-02,664.025
2002-01-03,670.257
2002-01-04,674.891
2002-01-07,670.284
2002-01-08,668.665
2002-01-09,665.651
2002-01-10,666.24
2002-01-11,660.035
2002-01-14,654.777
2002-01-15,658.737
2002-01-16,648.222
2002-01-17,654.68
2002-01-18,647.912
2002-01-21,647.912
2002-01-22,642.787
2002-01-23,648.5
2002-01-24,651.112
2002-01-25,651.872
2002-01-28,651.907
2002-01-29,634.821
2002-01-30,641.588
2002-01-31,650.199
2002-02-01,645.813
2002-02-04,630.037
2002-02-05,627.144
2002-02-06,622.712
2002-02-07,620.46
2002-02-08,630.45
2002-02-11,639.061
2002-02-12,637.049
2002-02-13,643.161
2002-02-14,641.468
2002-02-15,634.549
2002-02-18,634.549
2002-02-19,622.413
2002-02-20,630.709
2002-02-21,621.203
2002-02-22,626.015
2002-02-25,636.585
2002-02-26,637.397
2002-02-27,637.831
2002-02-28,635.875
2002-03-01,649.987
2002-03-04,663.139
2002-03-05,659.797
2002-03-06,669.081
2002-03-07,666.282
2002-03-08,671.105
2002-03-11,673.041
2002-03-12,671.132
2002-03-13,665.02
2002-03-14,664.781
2002-03-15,671.782
2002-03-18,672.549
2002-03-19,674.856
2002-03-20,664.858
2002-03-21,666.958
2002-03-22,664.116
2002-03-25,654.466
2002-03-26,658.289
2002-03-27,662.113
2002-03-28,663.913
2002-03-29,663.913
2002-04-01,663.217
2002-04-02,657.337
2002-04-03,650.889
2002-04-04,651.797
2002-04-05,650.172
2002-04-08,652.437
2002-04-09,648.684
2002-04-10,656.112
2002-04-11,641.633
2002-04-12,647.059
2002-04-15,642.801
2002-04-16,657.049
2002-04-17,655.491
2002-04-18,654.633
2002-04-19,654.965
2002-04-22,645.093
2002-04-23,641.627
2002-04-24,637.516
2002-04-25,636.421
2002-04-26,627.591
2002-04-29,621.838
2002-04-30,629.461
2002-05-01,634.356
2002-05-02,633.228
2002-05-03,627.258
2002-05-06,615.493
2002-05-07,613.246
2002-05-08,634.959
2002-05-09,625.773
2002-05-10,615.653
2002-05-13,626.412
2002-05-14,640.13
2002-05-15,637.735
2002-05-16,639.936
2002-05-17,644.404
2002-05-20,636.422
2002-05-21,629.019
2002-05-22,631.42
2002-05-23,638.295
2002-05-24,630.948
2002-05-27,630.948
2002-05-28,626.203
2002-05-29,622.008
2002-05-30,620.565
2002-05-31,621.831
2002-06-03,606.282
2002-06-04,605.753
2002-06-05,610.657
2002-06-06,598.722
2002-06-07,598.545
2002-06-10,599.995
2002-06-11,589.579
2002-06-12,592.923
2002-06-13,587.048
2002-06-14,586.502
2002-06-17,602.824
2002-06-18,603.124
2002-06-19,593.603
2002-06-20,585.404
2002-06-21,576.25
2002-06-24,577.405
2002-06-25,567.648
2002-06-26,565.96
2002-06-27,575.189
2002-06-28,575.96
2002-07-01,562.67
2002-07-02,550.094
2002-07-03,552.429
2002-07-04,552.429
2002-07-05,572.318
2002-07-08,565.223
2002-07-09,551.675
2002-07-10,534.612
2002-07-11,537.857
2002-07-12,534.853
2002-07-15,532.64
2002-07-16,524.664
2002-07-17,527.844
2002-07-18,513.414
2002-07-19,495.742
2002-07-22,479.821
2002-07-23,466.222
2002-07-24,491.889
2002-07-25,489.432
2002-07-26,497.364
2002-07-29,524.532
2002-07-30,527.143
2002-07-31,530.955
2002-08-01,516.353
2002-08-02,504.239
2002-08-05,487.26
2002-08-06,501.975
2002-08-07,511.198
2002-08-08,527.07
2002-08-09,528.75
2002-08-12,526.699
2002-08-13,515.198
2002-08-14,534.629
2002-08-15,540.852
2002-08-16,540.983
2002-08-19,552.834
2002-08-20,545.561
2002-08-21,553.0
2002-08-22,560.432
2002-08-23,547.886
2002-08-26,552.544
2002-08-27,544.198
2002-08-28,534.492
2002-08-29,535.278
2002-08-30,533.888
2002-09-02,533.888
2002-09-03,512.672
2002-09-04,521.881
2002-09-05,513.683
2002-09-06,522.735
2002-09-09,527.604
2002-09-10,531.154
2002-09-11,531.272
2002-09-12,518.584
2002-09-13,520.397
2002-09-16,520.575
2002-09-17,510.434
2002-09-18,508.065
2002-09-19,492.923
2002-09-20,493.829
2002-09-23,487.031
2002-09-24,479.213
2002-09-25,491.077
2002-09-26,499.774
2002-09-27,484.665
2002-09-30,478.564
2002-10-01,495.819
2002-10-02,484.118
2002-10-03,478.831
2002-10-04,467.723
2002-10-07,458.359
2002-10-08,465.265
2002-10-09,452.31
2002-10-10,468.104
2002-10-11,485.76
2002-10-14,489.338
2002-10-15,511.844
2002-10-16,499.289
2002-10-17,511.316
2002-10-18,513.924
2002-10-21,522.522
2002-10-22,516.655
2002-10-23,520.5
2002-10-24,513.033
2002-10-25,521.6
2002-10-28,517.418
2002-10-29,512.68
2002-10-30,518.267
2002-10-31,516.001
2002-11-01,525.124
2002-11-04,529.303
2002-11-05,532.733
2002-11-06,538.027
2002-11-07,525.909
2002-11-08,521.009
2002-11-11,510.143
2002-11-12,514.28
2002-11-13,513.955
2002-11-14,526.592
2002-11-15,529.8
2002-11-18,524.751
2002-11-19,522.436
2002-11-20,532.596
2002-11-21,544.212
2002-11-22,542.844
2002-11-25,544.63
2002-11-26,533.531
2002-11-27,548.294
2002-11-28,548.296
2002-11-29,546.743
2002-12-02,546.233
2002-12-03,537.958
2002-12-04,535.803
2002-12-05,530.044
2002-12-06,533.219
2002-12-09,521.45
2002-12-10,528.899
2002-12-11,529.343
