Date,USA IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,961.781
2001-01-02,907.35
2001-01-03,990.085
2001-01-04,976.062
2001-01-05,934.798
2001-01-08,927.833
2001-01-09,938.872
2001-01-10,958.493
2001-01-11,986.442
2001-01-12,983.759
2001-01-15,983.759
2001-01-16,987.08
2001-01-17,997.054
2001-01-18,1019.461
2001-01-19,1017.381
2001-01-22,1014.063
2001-01-23,1036.674
2001-01-24,1042.046
2001-01-25,1022.71
2001-01-26,1022.83
2001-01-29,1034.104
2001-01-30,1037.625
2001-01-31,1024.484
2001-02-01,1026.336
2001-02-02,996.592
2001-02-05,994.942
2001-02-06,997.339
2001-02-07,983.41
2001-02-08,969.878
2001-02-09,946.043
2001-02-12,956.932
2001-02-13,943.435
2001-02-14,952.593
2001-02-15,968.714
2001-02-16,934.811
2001-02-19,934.807
2001-02-20,908.843
2001-02-21,889.416
2001-02-22,882.891
2001-02-23,881.854
2001-02-26,900.803
2001-02-27,879.555
2001-02-28,862.208
2001-03-01,866.882
2001-03-02,850.335
2001-03-05,857.87
2001-03-06,874.017
2001-03-07,877.994
2001-03-08,869.121
2001-03-09,835.68
2001-03-12,787.602
2001-03-13,809.812
2001-03-14,791.546
2001-03-15,788.393
2001-03-16,767.626
2001-03-19,786.551
2001-03-20,762.8
2001-03-21,750.335
2001-03-22,756.608
2001-03-23,775.599
2001-03-26,780.139
2001-03-27,800.908
2001-03-28,769.512
2001-03-29,759.814
2001-03-30,767.732
2001-04-02,749.726
2001-04-03,713.366
2001-04-04,708.053
2001-04-05,756.037
2001-04-06,737.766
2001-04-09,744.66
2001-04-10,773.925
2001-04-11,779.066
2001-04-12,797.238
2001-04-13,797.238
2001-04-16,787.213
2001-04-17,798.189
2001-04-18,846.061
2001-04-19,871.596
2001-04-20,866.845
2001-04-23,840.589
2001-04-24,825.998
2001-04-25,842.966
2001-04-26,844.913
2001-04-27,860.558
2001-04-30,866.718
2001-05-01,883.024
2001-05-02,891.707
2001-05-03,869.517
2001-05-04,885.324
2001-05-07,880.559
2001-05-08,883.838
2001-05-09,874.464
2001-05-10,870.865
2001-05-11,862.607
2001-05-14,859.139
2001-05-15,858.715
2001-05-16,887.236
2001-05-17,896.531
2001-05-18,899.516
2001-05-21,927.579
2001-05-22,925.139
2001-05-23,902.696
2001-05-24,909.333
2001-05-25,896.672
2001-05-28,896.672
2001-05-29,877.634
2001-05-30,854.249
2001-05-31,860.562
2001-06-01,868.623
2001-06-04,872.461
2001-06-05,891.17
2001-06-06,883.197
2001-06-07,893.413
2001-06-08,881.445
2001-06-11,868.715
2001-06-12,870.048
2001-06-13,857.306
2001-06-14,838.456
2001-06-15,833.33
2001-06-18,826.423
2001-06-19,827.832
2001-06-20,841.031
2001-06-21,848.864
2001-06-22,837.25
2001-06-25,834.473
2001-06-26,834.313
2001-06-27,833.081
2001-06-28,846.816
2001-06-29,847.293
2001-07-02,852.813
2001-07-03,850.964
2001-07-04,850.964
2001-07-05,834.234
2001-07-06,809.495
2001-07-09,815.717
2001-07-10,798.686
2001-07-11,795.114
2001-07-12,821.892
2001-07-13,827.426
2001-07-16,813.356
2001-07-17,823.191
2001-07-18,813.243
2001-07-19,819.999
2001-07-20,818.754
2001-07-23,802.939
2001-07-24,790.485
2001-07-25,800.882
2001-07-26,812.138
2001-07-27,816.086
2001-07-30,813.897
2001-07-31,817.525
2001-08-01,822.812
2001-08-02,826.396
2001-08-03,821.649
2001-08-06,810.513
2001-08-07,810.76
2001-08-08,792.834
2001-08-09,792.609
