Date,USA IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,561.993
2001-01-02,553.7
2001-01-03,565.334
2001-01-04,559.662
2001-01-05,550.187
2001-01-08,550.497
2001-01-09,550.11
2001-01-10,554.668
2001-01-11,554.7
2001-01-12,552.082
2001-01-15,552.082
2001-01-16,557.888
2001-01-17,556.338
2001-01-18,557.173
2001-01-19,552.615
2001-01-22,554.523
2001-01-23,559.823
2001-01-24,560.72
2001-01-25,562.821
2001-01-26,561.406
2001-01-29,565.498
2001-01-30,570.869
2001-01-31,570.141
2001-02-01,573.557
2001-02-02,568.535
2001-02-05,571.805
2001-02-06,571.029
2001-02-07,569.386
2001-02-08,569.644
2001-02-09,567.591
2001-02-12,573.374
2001-02-13,571.083
2001-02-14,565.95
2001-02-15,567.099
2001-02-16,565.031
2001-02-19,565.031
2001-02-20,559.148
2001-02-21,550.423
2001-02-22,549.389
2001-02-23,546.05
2001-02-26,555.677
2001-02-27,555.296
2001-02-28,549.839
2001-03-01,547.667
2001-03-02,551.855
2001-03-05,553.081
2001-03-06,555.432
2001-03-07,559.753
2001-03-08,563.579
2001-03-09,556.122
2001-03-12,538.851
2001-03-13,541.562
2001-03-14,527.199
2001-03-15,532.556
2001-03-16,523.654
2001-03-19,531.046
2001-03-20,521.324
2001-03-21,510.742
2001-03-22,503.085
2001-03-23,511.933
2001-03-26,519.936
2001-03-27,531.072
2001-03-28,523.501
2001-03-29,523.902
2001-03-30,530.81
2001-04-02,525.989
2001-04-03,511.499
2001-04-04,511.208
2001-04-05,526.952
2001-04-06,517.805
2001-04-09,522.351
2001-04-10,532.96
2001-04-11,529.088
2001-04-12,534.035
2001-04-13,534.035
2001-04-16,535.065
2001-04-17,539.498
2001-04-18,551.693
2001-04-19,552.789
2001-04-20,546.856
2001-04-23,543.981
2001-04-24,540.677
2001-04-25,548.203
2001-04-26,552.249
2001-04-27,558.68
2001-04-30,555.876
2001-05-01,560.879
2001-05-02,559.342
2001-05-03,555.317
2001-05-04,561.377
2001-05-07,560.529
2001-05-08,557.885
2001-05-09,558.301
2001-05-10,559.562
2001-05-11,556.414
2001-05-14,559.714
2001-05-15,561.08
2001-05-16,574.083
2001-05-17,575.135
2001-05-18,576.208
2001-05-21,580.777
2001-05-22,580.345
2001-05-23,574.156
2001-05-24,575.026
2001-05-25,570.854
2001-05-28,570.854
2001-05-29,570.44
2001-05-30,565.319
2001-05-31,569.677
2001-06-01,570.34
2001-06-04,573.576
2001-06-05,577.891
2001-06-06,572.061
2001-06-07,571.431
2001-06-08,568.263
2001-06-11,565.709
2001-06-12,565.423
2001-06-13,562.091
2001-06-14,552.731
2001-06-15,551.256
2001-06-18,549.103
2001-06-19,550.256
2001-06-20,553.061
2001-06-21,558.968
2001-06-22,555.866
2001-06-25,551.62
2001-06-26,551.924
2001-06-27,550.521
2001-06-28,555.802
2001-06-29,559.537
2001-07-02,562.393
2001-07-03,561.567
2001-07-04,561.567
2001-07-05,559.185
2001-07-06,550.681
2001-07-09,552.8
2001-07-10,547.971
2001-07-11,548.05
2001-07-12,556.079
2001-07-13,558.514
2001-07-16,555.096
2001-07-17,560.473
2001-07-18,559.61
2001-07-19,561.036
2001-07-20,558.64
2001-07-23,552.434
2001-07-24,542.474
2001-07-25,550.452
2001-07-26,555.745
2001-07-27,556.185
2001-07-30,556.451
2001-07-31,559.394
2001-08-01,561.146
2001-08-02,562.404
2001-08-03,560.416
2001-08-06,555.333
2001-08-07,557.607
2001-08-08,551.109
2001-08-09,550.791
2001-08-10,555.12
2001-08-13,555.478
2001-08-14,555.951
2001-08-15,554.616
2001-08-16,555.589
2001-08-17,549.409
2001-08-20,553.279
2001-08-21,550.06
2001-08-22,552.758
2001-08-23,552.199
2001-08-24,556.931
2001-08-27,553.865
2001-08-28,548.427
2001-08-29,544.424
2001-08-30,539.71
2001-08-31,541.149
2001-09-03,541.149
2001-09-04,543.621
2001-09-05,542.65
2001-09-06,534.122
2001-09-07,525.847
2001-09-10,526.765
2001-09-11,526.77
2001-09-12,526.788
2001-09-13,526.789
2001-09-14,526.789
2001-09-17,503.71
2001-09-18,501.75
2001-09-19,493.89
2001-09-20,479.103
2001-09-21,469.964
2001-09-24,483.549
2001-09-25,488.151
2001-09-26,486.491
2001-09-27,493.722
2001-09-28,504.596
2001-10-01,502.394
2001-10-02,508.191
2001-10-03,514.679
2001-10-04,513.429
2001-10-05,511.098
2001-10-08,506.688
2001-10-09,506.596
2001-10-10,516.127
2001-10-11,520.037
2001-10-12,514.964
2001-10-15,514.924
2001-10-16,519.032
2001-10-17,512.758
2001-10-18,507.973
2001-10-19,509.5
2001-10-22,515.556
2001-10-23,512.194
2001-10-24,510.238
2001-10-25,515.769
2001-10-26,519.167
2001-10-29,511.012
2001-10-30,503.095
2001-10-31,502.95
2001-11-01,511.568
2001-11-02,512.523
2001-11-05,517.779
2001-11-06,523.22
2001-11-07,522.397
2001-11-08,522.833
2001-11-09,523.406
2001-11-12,521.989
2001-11-13,529.67
2001-11-14,530.727
2001-11-15,530.278
2001-11-16,530.066
2001-11-19,534.615
2001-11-20,533.338
2001-11-21,530.247
2001-11-22,530.247
2001-11-23,536.514
2001-11-26,537.667
2001-11-27,534.347
2001-11-28,526.365
2001-11-29,531.562
2001-11-30,530.705
2001-12-03,527.741
2001-12-04,533.654
2001-12-05,542.446
2001-12-06,541.925
2001-12-07,539.932
2001-12-10,533.386
2001-12-11,530.882
2001-12-12,530.269
2001-12-13,524.928
2001-12-14,525.312
2001-12-17,529.299
2001-12-18,533.961
2001-12-19,538.722
2001-12-20,537.464
2001-12-21,538.492
2001-12-24,539.619
2001-12-25,539.619
2001-12-26,542.231
2001-12-27,545.731
2001-12-28,548.085
2001-12-31,544.34
2002-01-01,544.338
2002-01-02,545.433
2002-01-03,548.569
2002-01-04,553.374
2002-01-07,551.31
2002-01-08,548.184
2002-01-09,545.662
2002-01-10,545.877
2002-01-11,541.156
2002-01-14,537.666
2002-01-15,542.012
2002-01-16,534.745
2002-01-17,538.487
2002-01-18,535.869
2002-01-21,535.869
2002-01-22,533.666
2002-01-23,537.993
2002-01-24,539.838
2002-01-25,541.107
2002-01-28,541.342
2002-01-29,527.689
2002-01-30,532.485
2002-01-31,540.082
2002-02-01,537.172
2002-02-04,525.572
2002-02-05,522.609
2002-02-06,518.378
2002-02-07,519.047
2002-02-08,526.506
2002-02-11,532.292
2002-02-12,531.119
2002-02-13,535.713
2002-02-14,535.517
2002-02-15,532.366
2002-02-18,532.366
2002-02-19,523.839
2002-02-20,530.519
2002-02-21,525.651
2002-02-22,530.824
2002-02-25,538.639
2002-02-26,539.736
2002-02-27,541.752
2002-02-28,541.757
2002-03-01,551.493
2002-03-04,561.533
2002-03-05,558.487
2002-03-06,567.465
2002-03-07,565.536
2002-03-08,566.349
2002-03-11,569.078
2002-03-12,569.334
2002-03-13,565.585
2002-03-14,565.814
2002-03-15,571.359
2002-03-18,571.562
2002-03-19,574.408
2002-03-20,568.087
2002-03-21,568.606
2002-03-22,566.466
2002-03-25,559.767
2002-03-26,563.644
2002-03-27,568.046
2002-03-28,568.327
2002-03-29,568.327
2002-04-01,566.444
2002-04-02,565.643
2002-04-03,560.402
2002-04-04,560.743
2002-04-05,561.19
2002-04-08,563.419
2002-04-09,562.289
2002-04-10,568.58
2002-04-11,558.784
2002-04-12,561.731
2002-04-15,558.06
2002-04-16,569.122
2002-04-17,568.747
2002-04-18,567.384
2002-04-19,568.113
2002-04-22,560.633
2002-04-23,559.515
2002-04-24,556.381
2002-04-25,555.841
2002-04-26,551.327
2002-04-29,546.13
2002-04-30,552.685
2002-05-01,557.673
2002-05-02,560.556
2002-05-03,557.838
2002-05-06,548.309
2002-05-07,546.708
2002-05-08,558.213
2002-05-09,553.346
2002-05-10,546.547
2002-05-13,554.353
2002-05-14,562.789
2002-05-15,560.737
2002-05-16,562.038
2002-05-17,563.75
2002-05-20,558.472
2002-05-21,555.019
2002-05-22,557.497
2002-05-23,563.056
2002-05-24,557.757
2002-05-27,557.757
2002-05-28,554.026
2002-05-29,551.779
2002-05-30,549.627
2002-05-31,552.3
2002-06-03,539.144
2002-06-04,536.973
2002-06-05,539.529
2002-06-06,528.564
2002-06-07,530.76
2002-06-10,531.547
2002-06-11,523.085
2002-06-12,526.306
2002-06-13,521.589
2002-06-14,520.871
2002-06-17,534.329
2002-06-18,536.33
2002-06-19,528.702
2002-06-20,522.972
2002-06-21,517.492
2002-06-24,515.868
2002-06-25,509.362
2002-06-26,505.191
2002-06-27,512.554
2002-06-28,516.819
2002-07-01,507.796
2002-07-02,498.105
2002-07-03,496.299
2002-07-04,496.299
2002-07-05,512.094
2002-07-08,508.41
2002-07-09,497.404
2002-07-10,482.309
2002-07-11,482.245
2002-07-12,478.233
2002-07-15,475.022
2002-07-16,467.306
2002-07-17,468.489
2002-07-18,456.283
2002-07-19,440.896
2002-07-22,425.58
2002-07-23,412.194
2002-07-24,433.638
2002-07-25,436.261
2002-07-26,444.332
2002-07-29,467.567
2002-07-30,470.649
2002-07-31,476.464
2002-08-01,464.579
2002-08-02,453.538
2002-08-05,439.299
2002-08-06,451.042
2002-08-07,458.349
2002-08-08,472.862
2002-08-09,475.745
2002-08-12,474.283
2002-08-13,464.025
2002-08-14,478.769
2002-08-15,482.479
2002-08-16,480.987
2002-08-19,491.246
2002-08-20,484.685
2002-08-21,491.073
2002-08-22,497.034
2002-08-23,486.798
2002-08-26,492.471
2002-08-27,488.863
2002-08-28,480.865
2002-08-29,480.871
2002-08-30,480.814
2002-09-02,480.814
2002-09-03,462.259
2002-09-04,469.232
2002-09-05,463.369
2002-09-06,469.707
2002-09-09,473.48
2002-09-10,474.459
2002-09-11,475.256
2002-09-12,464.631
2002-09-13,465.813
2002-09-16,465.516
2002-09-17,456.065
2002-09-18,454.159
2002-09-19,440.721
2002-09-20,442.219
2002-09-23,437.948
2002-09-24,428.981
2002-09-25,437.704
2002-09-26,447.804
2002-09-27,433.657
2002-09-30,429.827
2002-10-01,444.924
2002-10-02,432.685
2002-10-03,428.089
2002-10-04,417.511
2002-10-07,408.367
2002-10-08,411.887
2002-10-09,398.655
2002-10-10,414.371
2002-10-11,429.212
2002-10-14,431.409
2002-10-15,450.692
2002-10-16,442.028
2002-10-17,452.13
2002-10-18,453.362
2002-10-21,461.973
2002-10-22,457.754
2002-10-23,460.615
2002-10-24,455.213
2002-10-25,461.309
2002-10-28,459.457
2002-10-29,454.496
2002-10-30,460.364
2002-10-31,457.879
2002-11-01,466.397
2002-11-04,468.665
2002-11-05,472.46
2002-11-06,476.815
2002-11-07,465.244
2002-11-08,462.377
2002-11-11,453.217
2002-11-12,454.716
2002-11-13,452.659
2002-11-14,462.537
2002-11-15,466.948
2002-11-18,463.266
2002-11-19,462.94
2002-11-20,470.792
2002-11-21,481.442
2002-11-22,480.96
2002-11-25,483.357
2002-11-26,474.129
2002-11-27,486.276
2002-11-28,486.279
2002-11-29,485.537
2002-12-02,484.75
2002-12-03,477.82
2002-12-04,475.809
2002-12-05,471.469
2002-12-06,474.989
2002-12-09,466.028
2002-12-10,472.158
2002-12-11,472.692
2002-12-12,471.424
2002-12-13,467.401
2002-12-16,478.413
2002-12-17,475.355
2002-12-18,470.072
2002-12-19,467.356
2002-12-20,473.66
2002-12-23,473.373
2002-12-24,470.612
2002-12-25,470.612
2002-12-26,471.042
2002-12-27,463.513
2002-12-30,465.446
2002-12-31,466.448
2003-01-01,466.448
2003-01-02,480.454
2003-01-03,480.298
2003-01-06,492.693
2003-01-07,487.639
2003-01-08,481.507
2003-01-09,489.178
2003-01-10,488.42
2003-01-13,488.038
2003-01-14,490.44
2003-01-15,484.367
2003-01-16,482.841
2003-01-17,478.51
2003-01-20,478.507
2003-01-21,469.642
2003-01-22,463.906
2003-01-23,466.43
2003-01-24,454.154
2003-01-27,446.46
2003-01-28,451.943
2003-01-29,455.118
2003-01-30,446.097
2003-01-31,453.437
2003-02-03,455.906
2003-02-04,450.44
2003-02-05,447.638
2003-02-06,444.315
2003-02-07,440.084
2003-02-10,442.757
2003-02-11,438.164
2003-02-12,432.294
2003-02-13,431.912
2003-02-14,439.408
2003-02-17,439.408
2003-02-18,446.681
2003-02-19,443.848
2003-02-20,439.581
2003-02-21,445.193
2003-02-24,437.477
2003-02-25,440.959
2003-02-26,435.833
2003-02-27,441.305
2003-02-28,442.443
2003-03-03,441.173
2003-03-04,434.623
2003-03-05,438.406
2003-03-06,433.551
2003-03-07,436.546
2003-03-10,425.391
2003-03-11,421.139
2003-03-12,421.352
2003-03-13,433.581
2003-03-14,434.83
2003-03-17,447.741
2003-03-18,449.288
2003-03-19,453.854
2003-03-20,455.185
2003-03-21,465.617
2003-03-24,450.302
2003-03-25,455.113
2003-03-26,452.425
2003-03-27,452.202
2003-03-28,450.451
2003-03-31,442.856
2003-04-01,449.555
2003-04-02,459.328
2003-04-03,456.119
2003-04-04,458.222
2003-04-07,459.261
2003-04-08,458.725
2003-04-09,453.675
2003-04-10,455.98
2003-04-11,454.37
2003-04-14,462.917
2003-04-15,466.565
2003-04-16,460.724
2003-04-17,466.733
2003-04-18,466.733
2003-04-21,466.598
2003-04-22,477.337
2003-04-23,483.109
2003-04-24,479.313
2003-04-25,473.268
2003-04-28,481.182
2003-04-29,481.775
2003-04-30,483.551
2003-05-01,482.976
2003-05-02,489.84
2003-05-05,487.659
2003-05-06,490.948
2003-05-07,489.49
2003-05-08,484.716
2003-05-09,490.387
2003-05-12,496.064
2003-05-13,495.55
2003-05-14,495.111
2003-05-15,498.388
2003-05-16,498.099
2003-05-19,487.54
2003-05-20,487.374
2003-05-21,490.975
2003-05-22,495.573
2003-05-23,499.021
2003-05-26,499.021
2003-05-27,507.545
2003-05-28,507.886
2003-05-29,504.624
2003-05-30,513.531
2003-06-02,517.756
2003-06-03,519.128
2003-06-04,526.757
2003-06-05,529.449
2003-06-06,529.348
2003-06-09,521.869
2003-06-10,526.419
2003-06-11,533.863
2003-06-12,534.485
2003-06-13,529.304
2003-06-16,539.391
2003-06-17,538.925
2003-06-18,536.893
2003-06-19,529.146
2003-06-20,530.685
2003-06-23,523.636
2003-06-24,525.31
2003-06-25,521.652
2003-06-26,526.35
2003-06-27,521.839
2003-06-30,521.037
2003-07-01,524.592
2003-07-02,530.021
2003-07-03,526.405
2003-07-04,526.405
2003-07-07,534.098
2003-07-08,535.227
2003-07-09,533.151
2003-07-10,525.655
2003-07-11,530.172
2003-07-14,533.329
2003-07-15,530.025
2003-07-16,525.617
2003-07-17,520.071
2003-07-18,527.46
2003-07-21,519.842
2003-07-22,524.877
2003-07-23,523.879
2003-07-24,521.415
2003-07-25,529.507
2003-07-28,529.167
2003-07-29,525.815
2003-07-30,525.019
2003-07-31,526.603
2003-08-01,520.834
2003-08-04,521.66
2003-08-05,513.614
2003-08-06,515.941
2003-08-07,518.916
2003-08-08,521.493
2003-08-11,522.74
2003-08-12,527.73
2003-08-13,524.815
2003-08-14,528.98
2003-08-15,528.985
2003-08-18,532.913
2003-08-19,534.653
2003-08-20,534.494
2003-08-21,536.703
2003-08-22,529.118
2003-08-25,528.449
2003-08-26,529.884
2003-08-27,530.028
2003-08-28,533.36
2003-08-29,536.212
2003-09-01,536.212
2003-09-02,543.888
2003-09-03,546.79
2003-09-04,546.699
2003-09-05,543.577
2003-09-08,548.527
2003-09-09,544.307
2003-09-10,537.957
2003-09-11,540.194
2003-09-12,541.358
2003-09-15,539.382
2003-09-16,545.664
2003-09-17,544.271
2003-09-18,551.933
2003-09-19,551.036
2003-09-22,544.578
2003-09-23,546.504
2003-09-24,538.384
2003-09-25,534.583
2003-09-26,531.331
2003-09-29,535.895
2003-09-30,532.139
2003-10-01,543.297
2003-10-02,544.871
2003-10-03,548.681
2003-10-06,551.929
2003-10-07,553.975
2003-10-08,551.571
2003-10-09,553.783
2003-10-10,553.2
2003-10-13,557.289
2003-10-14,559.52
2003-10-15,557.355
2003-10-16,558.789
2003-10-17,553.929
2003-10-20,555.284
2003-10-21,554.491
2003-10-22,546.935
2003-10-23,549.525
2003-10-24,548.142
2003-10-27,549.75
2003-10-28,555.459
2003-10-29,557.788
2003-10-30,557.796
2003-10-31,559.516
2003-11-03,563.948
2003-11-04,562.068
2003-11-05,561.152
2003-11-06,563.9
2003-11-07,562.634
2003-11-10,559.792
2003-11-11,559.053
2003-11-12,564.941
2003-11-13,565.298
2003-11-14,561.466
2003-11-17,558.208
2003-11-18,553.91
2003-11-19,557.69
2003-11-20,554.073
2003-11-21,554.982
2003-11-24,561.888
2003-11-25,565.334
2003-11-26,568.034
2003-11-27,568.034
2003-11-28,567.754
2003-12-01,574.426
2003-12-02,574.703
2003-12-03,574.222
2003-12-04,576.103
2003-12-05,572.99
2003-12-08,578.108
2003-12-09,574.951
2003-12-10,573.799
2003-12-11,580.607
2003-12-12,582.883
2003-12-15,579.879
2003-12-16,584.227
2003-12-17,585.484
2003-12-18,591.947
2003-12-19,592.979
2003-12-22,596.042
2003-12-23,597.79
2003-12-24,596.674
2003-12-25,596.674
2003-12-26,597.613
2003-12-29,604.923
2003-12-30,605.633
2003-12-31,606.114
2004-01-01,606.114
2004-01-02,605.599
2004-01-05,612.034
2004-01-06,611.699
2004-01-07,612.332
2004-01-08,615.686
2004-01-09,610.375
2004-01-12,612.895
2004-01-13,610.309
2004-01-14,615.663
2004-01-15,616.413
2004-01-16,619.928
2004-01-19,619.928
2004-01-20,621.043
2004-01-21,627.172
2004-01-22,624.958
2004-01-23,623.306
2004-01-26,629.84
2004-01-27,625.382
2004-01-28,617.51
2004-01-29,619.108
2004-01-30,617.631
2004-02-02,619.448
2004-02-03,618.072
2004-02-04,612.616
2004-02-05,614.658
2004-02-06,621.442
2004-02-09,621.068
2004-02-10,624.493
2004-02-11,632.364
2004-02-12,629.838
2004-02-13,627.04
2004-02-16,627.04
2004-02-17,633.109
2004-02-18,630.061
2004-02-19,628.319
2004-02-20,625.858
2004-02-23,625.716
2004-02-24,624.0
2004-02-25,627.031
2004-02-26,628.448
2004-02-27,629.88
2004-03-01,636.171
2004-03-02,633.883
2004-03-03,635.341
2004-03-04,636.95
2004-03-05,639.889
2004-03-08,635.833
2004-03-09,631.673
2004-03-10,621.582
2004-03-11,611.871
2004-03-12,619.67
2004-03-15,611.139
2004-03-16,614.245
2004-03-17,622.117
2004-03-18,621.853
2004-03-19,615.883
2004-03-22,606.911
2004-03-23,606.64
2004-03-24,602.978
2004-03-25,611.055
2004-03-26,611.377
2004-03-29,619.143
2004-03-30,622.612
2004-03-31,623.349
2004-04-01,626.992
2004-04-02,629.253
2004-04-05,632.593
2004-04-06,631.771
2004-04-07,628.617
2004-04-08,627.464
2004-04-09,627.464
2004-04-12,629.261
2004-04-13,619.154
2004-04-14,616.334
2004-04-15,617.246
2004-04-16,622.331
2004-04-19,621.914
2004-04-20,613.033
2004-04-21,615.929
2004-04-22,625.16
2004-04-23,622.917
2004-04-26,621.669
2004-04-27,623.495
2004-04-28,615.242
2004-04-29,610.113
2004-04-30,607.882
2004-05-03,613.839
2004-05-04,615.731
2004-05-05,616.533
2004-05-06,612.036
2004-05-07,600.042
2004-05-10,591.097
2004-05-11,595.799
2004-05-12,598.153
2004-05-13,597.897
2004-05-14,599.139
2004-05-17,592.698
2004-05-18,597.022
2004-05-19,595.521
2004-05-20,596.291
2004-05-21,599.095
2004-05-24,601.207
2004-05-25,610.482
2004-05-26,611.971
2004-05-27,614.292
2004-05-28,614.38
2004-05-31,614.38
2004-06-01,614.882
2004-06-02,617.481
2004-06-03,612.623
2004-06-04,615.73
2004-06-07,625.058
2004-06-08,624.85
2004-06-09,619.638
2004-06-10,622.84
2004-06-11,622.433
2004-06-14,615.644
2004-06-15,620.351
2004-06-16,622.323
2004-06-17,623.441
2004-06-18,625.867
2004-06-21,624.367
2004-06-22,626.218
2004-06-23,632.015
2004-06-24,630.743
2004-06-25,627.69
2004-06-28,627.724
2004-06-29,628.655
2004-06-30,631.787
2004-07-01,626.343
2004-07-02,625.945
2004-07-05,625.945
2004-07-06,622.619
2004-07-07,623.842
2004-07-08,618.684
2004-07-09,621.145
2004-07-12,622.852
2004-07-13,623.178
2004-07-14,622.627
2004-07-15,620.772
2004-07-16,619.747
2004-07-19,620.708
2004-07-20,623.621
2004-07-21,615.859
2004-07-22,615.398
2004-07-23,611.811
2004-07-26,610.484
2004-07-27,616.196
2004-07-28,618.0
2004-07-29,621.586
2004-07-30,621.918
2004-08-02,624.653
2004-08-03,622.235
2004-08-04,621.512
2004-08-05,612.061
2004-08-06,603.819
2004-08-09,605.071
2004-08-10,612.297
2004-08-11,612.377
2004-08-12,605.148
2004-08-13,605.648
2004-08-16,614.709
2004-08-17,615.22
2004-08-18,622.478
2004-08-19,620.27
2004-08-20,625.794
2004-08-23,623.082
2004-08-24,624.356
2004-08-25,628.476
2004-08-26,629.098
2004-08-27,630.763
2004-08-30,627.076
2004-08-31,631.16
2004-09-01,632.195
2004-09-02,638.736
2004-09-03,638.003
2004-09-06,638.003
2004-09-07,643.573
2004-09-08,640.136
2004-09-09,641.429
2004-09-10,642.84
2004-09-13,643.313
2004-09-14,643.61
2004-09-15,640.197
2004-09-16,644.214
2004-09-17,646.756
2004-09-20,642.812
2004-09-21,647.961
2004-09-22,639.64
2004-09-23,635.276
2004-09-24,637.336
2004-09-27,633.787
2004-09-28,638.619
2004-09-29,640.163
2004-09-30,639.717
2004-10-01,648.878
2004-10-04,651.132
2004-10-05,650.476
2004-10-06,655.58
2004-10-07,649.815
2004-10-08,647.116
2004-10-11,647.868
2004-10-12,647.243
2004-10-13,640.669
2004-10-14,635.211
2004-10-15,638.819
2004-10-18,639.871
2004-10-19,632.909
2004-10-20,632.402
2004-10-21,634.003
2004-10-22,629.838
2004-10-25,630.304
2004-10-26,639.889
2004-10-27,645.735
2004-10-28,646.369
2004-10-29,648.442
2004-11-01,649.456
2004-11-02,648.107
2004-11-03,656.061
2004-11-04,667.886
2004-11-05,668.463
2004-11-08,667.656
2004-11-09,668.035
2004-11-10,669.428
2004-11-11,675.113
2004-11-12,681.607
2004-11-15,679.798
2004-11-16,675.911
2004-11-17,679.402
2004-11-18,679.963
2004-11-19,673.68
2004-11-22,678.383
2004-11-23,679.622
2004-11-24,682.643
2004-11-25,682.643
2004-11-26,684.018
2004-11-29,681.786
2004-11-30,680.743
2004-12-01,689.513
2004-12-02,686.801
2004-12-03,687.102
2004-12-06,685.995
2004-12-07,678.078
2004-12-08,680.822
2004-12-09,683.11
2004-12-10,683.741
2004-12-13,690.687
2004-12-14,692.63
2004-12-15,696.421
2004-12-16,694.334
2004-12-17,689.141
2004-12-20,689.682
2004-12-21,696.522
2004-12-22,699.532
2004-12-23,699.95
2004-12-24,699.95
2004-12-27,696.273
2004-12-28,701.252
2004-12-29,701.402
2004-12-30,701.291
2004-12-31,700.493
2005-01-03,693.334
2005-01-04,686.293
2005-01-05,682.12
2005-01-06,685.768
2005-01-07,683.08
2005-01-10,685.075
2005-01-11,680.468
2005-01-12,682.476
2005-01-13,678.3
2005-01-14,682.534
2005-01-17,682.534
2005-01-18,690.38
2005-01-19,684.122
2005-01-20,679.961
2005-01-21,676.368
2005-01-24,675.503
2005-01-25,676.6
2005-01-26,680.214
2005-01-27,680.563
2005-01-28,678.33
2005-01-31,685.423
2005-02-01,691.066
2005-02-02,693.604
2005-02-03,692.786
2005-02-04,701.059
2005-02-07,700.948
2005-02-08,702.154
2005-02-09,697.235
2005-02-10,700.001
2005-02-11,704.291
2005-02-14,705.766
2005-02-15,706.902
2005-02-16,708.12
2005-02-17,702.62
2005-02-18,703.919
2005-02-21,703.919
2005-02-22,692.986
2005-02-23,697.497
2005-02-24,703.595
2005-02-25,712.311
2005-02-28,707.985
2005-03-01,711.228
2005-03-02,711.48
2005-03-03,712.003
2005-03-04,720.203
2005-03-07,721.112
2005-03-08,718.107
2005-03-09,708.818
2005-03-10,709.574
2005-03-11,706.589
2005-03-14,711.797
2005-03-15,706.825
2005-03-16,701.026
2005-03-17,702.98
2005-03-18,702.901
2005-03-21,698.96
2005-03-22,690.75
2005-03-23,689.19
2005-03-24,688.97
2005-03-25,688.97
2005-03-28,690.27
2005-03-29,684.599
2005-03-30,694.372
2005-03-31,696.209
2005-04-01,693.536
2005-04-04,694.043
2005-04-05,695.752
2005-04-06,699.204
2005-04-07,702.44
2005-04-08,696.277
2005-04-11,696.644
2005-04-12,701.242
2005-04-13,692.918
2005-04-14,685.653
2005-04-15,674.39
2005-04-18,678.031
2005-04-19,683.337
2005-04-20,673.495
2005-04-21,685.154
2005-04-22,682.641
2005-04-25,688.998
2005-04-26,682.618
2005-04-27,684.803
2005-04-28,676.581
2005-04-29,685.544
2005-05-02,688.864
2005-05-03,686.954
2005-05-04,696.155
2005-05-05,694.644
2005-05-06,693.092
2005-05-09,698.131
2005-05-10,690.524
2005-05-11,693.132
2005-05-12,683.776
2005-05-13,678.359
2005-05-16,685.735
2005-05-17,691.044
2005-05-18,698.624
2005-05-19,702.009
2005-05-20,700.984
2005-05-23,703.954
2005-05-24,703.281
2005-05-25,700.625
2005-05-26,705.04
2005-05-27,706.439
2005-05-30,706.439
2005-05-31,702.903
2005-06-01,709.782
2005-06-02,709.905
2005-06-03,706.203
2005-06-06,707.421
2005-06-07,707.793
