Date,USA IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,589.077
2001-01-02,580.384
2001-01-03,592.552
2001-01-04,586.603
2001-01-05,576.672
2001-01-08,576.962
2001-01-09,576.548
2001-01-10,581.313
2001-01-11,581.337
2001-01-12,578.593
2001-01-15,578.593
2001-01-16,584.657
2001-01-17,583.017
2001-01-18,583.886
2001-01-19,579.109
2001-01-22,581.109
2001-01-23,586.663
2001-01-24,587.599
2001-01-25,589.799
2001-01-26,588.316
2001-01-29,592.586
2001-01-30,598.194
2001-01-31,597.405
2001-02-01,600.96
2001-02-02,595.696
2001-02-05,599.119
2001-02-06,598.292
2001-02-07,596.521
2001-02-08,596.786
2001-02-09,594.626
2001-02-12,600.679
2001-02-13,598.261
2001-02-14,592.848
2001-02-15,594.033
2001-02-16,591.862
2001-02-19,591.862
2001-02-20,585.698
2001-02-21,576.545
2001-02-22,575.447
2001-02-23,571.946
2001-02-26,582.016
2001-02-27,581.6
2001-02-28,575.845
2001-03-01,573.565
2001-03-02,577.951
2001-03-05,579.234
2001-03-06,581.694
2001-03-07,586.17
2001-03-08,590.17
2001-03-09,582.358
2001-03-12,564.27
2001-03-13,567.063
2001-03-14,552.022
2001-03-15,557.628
2001-03-16,548.304
2001-03-19,556.04
2001-03-20,545.857
2001-03-21,534.776
2001-03-22,526.755
2001-03-23,536.02
2001-03-26,544.399
2001-03-27,556.059
2001-03-28,548.095
2001-03-29,548.513
2001-03-30,555.745
2001-04-02,550.697
2001-04-03,535.526
2001-04-04,535.185
2001-04-05,551.664
2001-04-06,542.035
2001-04-09,546.793
2001-04-10,557.874
2001-04-11,553.817
2001-04-12,558.996
2001-04-13,558.996
2001-04-16,560.073
2001-04-17,564.714
2001-04-18,577.465
2001-04-19,578.609
2001-04-20,572.396
2001-04-23,569.388
2001-04-24,565.929
2001-04-25,573.804
2001-04-26,578.017
2001-04-27,584.742
2001-04-30,581.794
2001-05-01,587.029
2001-05-02,585.4
2001-05-03,581.158
2001-05-04,587.492
2001-05-07,586.599
2001-05-08,583.818
2001-05-09,584.222
2001-05-10,585.504
2001-05-11,582.192
2001-05-14,585.636
2001-05-15,587.063
2001-05-16,600.64
2001-05-17,601.738
2001-05-18,602.848
2001-05-21,607.629
2001-05-22,607.177
2001-05-23,600.693
2001-05-24,601.597
2001-05-25,597.232
2001-05-28,597.232
2001-05-29,596.783
2001-05-30,591.367
2001-05-31,595.906
2001-06-01,596.6
2001-06-04,599.981
2001-06-05,604.494
2001-06-06,598.363
2001-06-07,597.697
2001-06-08,594.382
2001-06-11,591.709
2001-06-12,591.41
2001-06-13,587.862
2001-06-14,578.07
2001-06-15,576.527
2001-06-18,574.267
2001-06-19,575.47
2001-06-20,578.402
2001-06-21,584.574
2001-06-22,581.329
2001-06-25,576.889
2001-06-26,577.207
2001-06-27,575.702
2001-06-28,581.222
2001-06-29,585.128
2001-07-02,588.114
2001-07-03,587.209
2001-07-04,587.209
2001-07-05,584.708
2001-07-06,575.758
2001-07-09,577.973
2001-07-10,572.911
2001-07-11,572.979
2001-07-12,581.372
2001-07-13,583.915
2001-07-16,580.341
2001-07-17,585.962
2001-07-18,585.041
2001-07-19,586.53
2001-07-20,584.025
2001-07-23,577.536
2001-07-24,567.124
2001-07-25,575.464
2001-07-26,580.992
2001-07-27,581.431
2001-07-30,581.698
2001-07-31,584.773
