Date,USA IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,211.3
1994-06-30,207.225
1994-07-29,213.725
1994-08-31,221.233
1994-09-30,215.254
1994-10-31,217.96
1994-11-30,209.244
1994-12-30,212.487
1995-01-31,218.319
1995-02-28,227.358
1995-03-31,232.297
1995-04-28,239.592
1995-05-31,248.877
1995-06-30,252.579
1995-07-31,260.992
1995-08-31,265.215
1995-09-29,275.627
1995-10-31,272.223
1995-11-30,285.404
1995-12-29,293.591
1996-01-31,302.27
1996-02-29,305.082
1996-03-29,309.509
1996-04-30,311.592
1996-05-31,317.045
1996-06-28,317.763
1996-07-31,306.094
1996-08-30,313.434
1996-09-30,326.162
1996-10-31,337.791
1996-11-29,360.677
1996-12-31,360.578
1997-01-31,375.011
1997-02-28,381.775
1997-03-31,366.474
1997-04-30,378.645
1997-05-30,402.306
1997-06-30,418.756
1997-07-31,447.261
1997-08-29,433.341
1997-09-30,458.453
1997-10-31,446.673
1997-11-28,464.203
1997-12-31,479.669
1998-01-30,473.254
1998-02-27,503.848
1998-03-31,530.227
1998-04-30,530.149
1998-05-29,521.611
1998-06-30,525.663
1998-07-31,511.511
1998-08-31,438.04
1998-09-30,462.677
1998-10-30,495.414
1998-11-30,517.513
1998-12-31,529.742
1999-01-29,528.38
1999-02-26,515.901
1999-03-31,524.81
1999-04-30,573.827
1999-05-31,566.859
1999-06-30,581.887
1999-07-30,563.391
1999-08-31,541.615
1999-09-30,520.926
1999-10-29,545.12
1999-11-30,541.62
1999-12-31,547.063
2000-01-31,527.858
2000-02-29,496.767
2000-03-31,542.702
2000-04-28,537.966
2000-05-31,543.221
2000-06-30,529.813
2000-07-31,535.982
2000-08-31,566.898
2000-09-29,570.453
2000-10-31,580.702
2000-11-30,556.802
2000-12-29,589.077
2001-01-31,597.405
2001-02-28,575.845
2001-03-30,555.745
2001-04-30,581.794
2001-05-31,595.906
2001-06-29,585.128
2001-07-31,584.773
2001-08-31,565.379
2001-09-28,526.989
2001-10-31,525.038
2001-11-30,553.677
2001-12-31,567.648
2002-01-31,562.961
2002-02-28,564.404
2002-03-29,591.874
2002-04-30,575.381
2002-05-31,574.65
2002-06-28,537.419
2002-07-31,495.206
2002-08-30,499.398
2002-09-30,446.136
2002-10-31,474.882
2002-11-29,503.181
2002-12-31,482.991
2003-01-31,469.266
2003-02-28,457.481
2003-03-31,457.603
2003-04-30,499.347
2003-05-30,529.927
2003-06-30,537.292
2003-07-31,542.666
2003-08-29,552.209
2003-09-30,547.625
2003-10-31,575.429
2003-11-28,583.499
2003-12-31,622.441
2004-01-30,633.946
2004-02-27,646.077
2004-03-31,638.985
2004-04-30,622.803
2004-05-31,629.073
2004-06-30,646.426
2004-07-30,635.958
2004-08-31,645.005
2004-09-30,653.277
2004-10-29,661.807
2004-11-30,694.292
2004-12-31,713.927
2005-01-31,698.279
2005-02-28,720.647
2005-03-31,708.216
2005-04-29,696.99
2005-05-31,714.162
2005-06-30,722.589
2005-07-29,744.938
2005-08-31,738.093
2005-09-30,747.254
2005-10-31,729.593
2005-11-30,755.773
2005-12-30,760.185
2006-01-31,786.376
2006-02-28,791.031
2006-03-31,803.917
2006-04-28,822.556
2006-05-31,801.693
2006-06-30,806.546
2006-07-31,824.665
2006-08-31,838.818
2006-09-29,855.015
2006-10-31,884.07
2006-11-30,902.981
2006-12-29,923.565
2007-01-31,936.324
2007-02-28,921.258
2007-03-30,931.803
2007-04-30,966.975
2007-05-31,1000.0
2007-06-29,977.847
2007-07-31,930.098
2007-08-31,942.153
2007-09-28,970.636
2007-10-31,971.935
2007-11-30,924.577
2007-12-31,912.063
2008-01-31,874.603
2008-02-29,833.75
2008-03-31,830.26
2008-04-30,864.074
2008-05-30,864.552
2008-06-30,778.825
2008-07-31,778.929
2008-08-29,792.698
2008-09-30,741.26
2008-10-31,617.614
2008-11-28,578.4
2008-12-31,588.589
2009-01-30,519.71
2009-02-27,448.429
2009-03-31,488.492
2009-04-30,543.666
2009-05-29,577.017
2009-06-30,572.088
2009-07-31,619.48
2009-08-31,651.849
2009-09-30,674.352
2009-10-30,653.008
2009-11-30,689.871
2009-12-31,701.472
2010-01-29,685.563
2010-02-26,703.617
2010-03-31,747.922
2010-04-30,763.275
2010-05-31,702.879
2010-06-30,664.974
2010-07-30,709.967
2010-08-31,678.065
2010-09-30,730.697
2010-10-29,750.537
2010-11-30,748.201
2010-12-31,806.509
2011-01-31,826.908
2011-02-28,860.478
2011-03-31,860.749
2011-04-29,885.534
2011-05-31,871.404
2011-06-30,853.277
2011-07-29,823.625
