Date,USA LARGE CAP Large Cap
1994-05-31,264.345
1994-06-30,257.382
1994-07-29,265.587
1994-08-31,276.14
1994-09-30,269.705
1994-10-31,276.134
1994-11-30,266.856
1994-12-30,270.186
1995-01-31,278.094
1995-02-28,288.701
1995-03-31,296.342
1995-04-28,304.714
1995-05-31,316.969
1995-06-30,324.881
1995-07-31,336.03
1995-08-31,338.218
1995-09-29,353.414
1995-10-31,353.005
1995-11-30,368.599
1995-12-29,374.624
1996-01-31,387.6
1996-02-29,392.708
1996-03-29,395.692
1996-04-30,401.324
1996-05-31,411.883
1996-06-28,413.347
1996-07-31,394.58
1996-08-30,403.242
1996-09-30,426.532
1996-10-31,436.824
1996-11-29,470.206
1996-12-31,461.337
1997-01-31,490.689
1997-02-28,493.499
1997-03-31,472.09
1997-04-30,499.806
1997-05-30,530.861
1997-06-30,554.158
1997-07-31,599.705
1997-08-29,566.513
1997-09-30,597.264
1997-10-31,579.408
1997-11-28,606.567
1997-12-31,618.81
1998-01-30,626.312
1998-02-27,671.458
1998-03-31,707.107
1998-04-30,715.43
1998-05-29,702.305
1998-06-30,735.628
1998-07-31,729.691
1998-08-31,624.956
1998-09-30,666.298
1998-10-30,719.611
1998-11-30,765.344
1998-12-31,816.448
1999-01-29,853.695
1999-02-26,828.289
1999-03-31,864.319
1999-04-30,895.96
1999-05-31,871.551
1999-06-30,915.891
1999-07-30,884.474
1999-08-31,878.719
1999-09-30,855.062
1999-10-29,912.868
1999-11-30,934.029
1999-12-31,997.595
2000-01-31,948.211
2000-02-29,934.491
2000-03-31,1007.395
2000-04-28,958.903
2000-05-31,927.068
2000-06-30,966.351
2000-07-31,947.772
2000-08-31,1013.47
2000-09-29,960.032
2000-10-31,947.711
2000-11-30,855.53
2000-12-29,859.458
2001-01-31,889.481
2001-02-28,799.187
2001-03-30,742.795
2001-04-30,801.759
2001-05-31,804.821
2001-06-29,784.559
2001-07-31,775.397
2001-08-31,724.109
2001-09-28,668.831
2001-10-31,681.249
2001-11-30,733.998
2001-12-31,737.956
2002-01-31,723.415
2002-02-28,707.041
2002-03-29,731.287
2002-04-30,682.078
2002-05-31,677.213
2002-06-28,626.814
2002-07-31,585.686
2002-08-30,589.454
2002-09-30,524.179
2002-10-31,571.705
2002-11-29,602.596
2002-12-31,565.942
2003-01-31,550.37
2003-02-28,541.584
2003-03-31,546.209
2003-04-30,591.308
2003-05-30,618.47
2003-06-30,627.635
2003-07-31,637.21
2003-08-29,645.879
2003-09-30,639.127
2003-10-31,671.994
2003-11-28,676.638
2003-12-31,712.706
2004-01-30,725.61
2004-02-27,733.876
2004-03-31,719.985
2004-04-30,710.58
2004-05-31,718.106
2004-06-30,729.832
2004-07-30,706.136
2004-08-31,709.575
2004-09-30,713.618
2004-10-29,721.633
2004-11-30,747.34
2004-12-31,772.695
2005-01-31,754.323
2005-02-28,768.028
2005-03-31,753.613
2005-04-29,742.31
2005-05-31,764.152
2005-06-30,762.53
2005-07-29,788.311
2005-08-31,780.758
2005-09-30,785.876
2005-10-31,775.562
2005-11-30,803.215
2005-12-30,801.534
2006-01-31,818.755
2006-02-28,820.085
2006-03-31,828.86
2006-04-28,839.682
2006-05-31,816.193
2006-06-30,817.455
2006-07-31,826.735
2006-08-31,846.275
2006-09-29,868.382
2006-10-31,896.245
2006-11-30,910.162
2006-12-29,925.15
2007-01-31,938.191
2007-02-28,915.394
2007-03-30,926.501
2007-04-30,967.196
2007-05-31,1000.0
2007-06-29,983.124
2007-07-31,955.619
2007-08-31,971.304
2007-09-28,1010.335
2007-10-31,1028.049
2007-11-30,986.559
2007-12-31,978.913
2008-01-31,920.921
2008-02-29,890.634
2008-03-31,887.575
2008-04-30,928.806
