Date,USA LARGE VALUE Large Cap
2001-01-01,670.766
2001-01-02,663.322
2001-01-03,675.741
2001-01-04,668.577
2001-01-05,657.429
2001-01-08,658.045
2001-01-09,657.617
2001-01-10,661.705
2001-01-11,660.626
2001-01-12,656.622
2001-01-15,656.622
2001-01-16,663.479
2001-01-17,660.489
2001-01-18,661.92
2001-01-19,656.917
2001-01-22,658.393
2001-01-23,663.165
2001-01-24,664.116
2001-01-25,667.532
2001-01-26,665.567
2001-01-29,668.994
2001-01-30,676.043
2001-01-31,675.431
2001-02-01,680.36
2001-02-02,674.366
2001-02-05,678.861
2001-02-06,676.852
2001-02-07,673.906
2001-02-08,674.783
2001-02-09,672.522
2001-02-12,679.216
2001-02-13,675.749
2001-02-14,667.771
2001-02-15,668.363
2001-02-16,667.629
2001-02-19,667.629
2001-02-20,660.622
2001-02-21,649.383
2001-02-22,649.443
2001-02-23,644.984
2001-02-26,655.794
2001-02-27,656.749
2001-02-28,649.242
2001-03-01,646.149
2001-03-02,650.308
2001-03-05,651.49
2001-03-06,653.545
2001-03-07,658.627
2001-03-08,664.231
2001-03-09,655.218
2001-03-12,633.86
2001-03-13,637.536
2001-03-14,619.274
2001-03-15,627.164
2001-03-16,616.256
2001-03-19,624.996
2001-03-20,611.907
2001-03-21,598.937
2001-03-22,589.902
2001-03-23,600.228
2001-03-26,610.102
2001-03-27,625.603
2001-03-28,616.423
2001-03-29,616.529
2001-03-30,624.463
2001-04-02,619.458
2001-04-03,602.03
2001-04-04,601.546
2001-04-05,620.18
2001-04-06,609.787
2001-04-09,614.501
2001-04-10,626.931
2001-04-11,622.22
2001-04-12,628.155
2001-04-13,628.155
2001-04-16,630.423
2001-04-17,635.595
2001-04-18,650.085
2001-04-19,650.851
2001-04-20,643.138
2001-04-23,639.983
2001-04-24,634.746
2001-04-25,643.738
2001-04-26,648.325
2001-04-27,656.001
2001-04-30,650.803
2001-05-01,657.398
2001-05-02,654.992
2001-05-03,650.708
2001-05-04,657.635
2001-05-07,656.944
2001-05-08,652.244
2001-05-09,652.781
2001-05-10,653.718
2001-05-11,649.666
2001-05-14,654.42
2001-05-15,655.093
2001-05-16,671.44
2001-05-17,671.038
2001-05-18,672.169
2001-05-21,676.353
2001-05-22,675.568
2001-05-23,668.827
2001-05-24,669.785
2001-05-25,664.05
2001-05-28,664.05
2001-05-29,664.907
2001-05-30,659.435
2001-05-31,664.172
2001-06-01,664.099
2001-06-04,667.974
2001-06-05,672.591
2001-06-06,664.985
2001-06-07,663.585
2001-06-08,659.571
2001-06-11,656.874
2001-06-12,656.464
2001-06-13,651.883
2001-06-14,641.221
2001-06-15,638.825
2001-06-18,636.684
2001-06-19,638.765
2001-06-20,641.479
2001-06-21,649.863
2001-06-22,646.861
2001-06-25,641.539
2001-06-26,640.483
2001-06-27,636.85
2001-06-28,643.271
2001-06-29,645.234
2001-07-02,650.546
2001-07-03,649.183
2001-07-04,649.183
2001-07-05,646.105
2001-07-06,636.087
2001-07-09,639.107
2001-07-10,633.431
2001-07-11,633.998
2001-07-12,642.833
2001-07-13,645.699
2001-07-16,641.895
2001-07-17,648.472
2001-07-18,647.993
2001-07-19,649.722
2001-07-20,646.991
2001-07-23,639.267
2001-07-24,627.543
2001-07-25,637.857
2001-07-26,643.614
2001-07-27,644.009
2001-07-30,643.832
2001-07-31,647.139
2001-08-01,648.733
2001-08-02,650.019
2001-08-03,647.143
2001-08-06,641.343
2001-08-07,644.615
2001-08-08,636.583
2001-08-09,636.042
2001-08-10,641.444
2001-08-13,641.349
2001-08-14,641.034
2001-08-15,638.925
2001-08-16,639.525
2001-08-17,631.774
2001-08-20,637.001
2001-08-21,633.065
2001-08-22,636.441
2001-08-23,636.064
2001-08-24,642.271
2001-08-27,638.499
2001-08-28,631.438
2001-08-29,625.784
2001-08-30,620.493
2001-08-31,621.814
2001-09-03,621.814
2001-09-04,625.233
2001-09-05,624.74
2001-09-06,614.272
2001-09-07,605.231
2001-09-10,608.161
2001-09-11,608.161
2001-09-12,608.161
2001-09-13,608.161
2001-09-14,608.161
2001-09-17,583.554
2001-09-18,582.127
2001-09-19,573.789
2001-09-20,557.258
2001-09-21,546.655
2001-09-24,562.316
2001-09-25,568.12
2001-09-26,567.166
