Date,USA MID GROWTH Mid Cap
2001-01-01,757.745
2001-01-02,696.67
2001-01-03,752.878
2001-01-04,729.978
2001-01-05,692.973
2001-01-08,684.119
2001-01-09,698.246
2001-01-10,728.53
2001-01-11,757.392
2001-01-12,762.152
2001-01-15,762.152
2001-01-16,760.002
2001-01-17,770.542
2001-01-18,776.232
2001-01-19,772.363
2001-01-22,776.883
2001-01-23,805.358
2001-01-24,808.124
2001-01-25,793.166
2001-01-26,801.68
2001-01-29,823.028
2001-01-30,821.806
2001-01-31,810.727
2001-02-01,804.52
2001-02-02,781.226
2001-02-05,777.031
2001-02-06,788.957
2001-02-07,776.246
2001-02-08,768.7
2001-02-09,754.349
2001-02-12,752.497
2001-02-13,740.773
2001-02-14,751.37
2001-02-15,765.603
2001-02-16,743.719
2001-02-19,743.686
2001-02-20,716.419
2001-02-21,701.724
2001-02-22,691.494
2001-02-23,697.162
2001-02-26,719.222
2001-02-27,694.517
2001-02-28,678.887
2001-03-01,679.517
2001-03-02,670.949
2001-03-05,669.085
2001-03-06,682.727
2001-03-07,686.472
2001-03-08,670.209
2001-03-09,645.198
2001-03-12,608.202
2001-03-13,621.307
2001-03-14,611.994
2001-03-15,600.723
2001-03-16,581.024
2001-03-19,603.156
2001-03-20,583.621
2001-03-21,567.583
2001-03-22,570.833
2001-03-23,590.955
2001-03-26,598.953
2001-03-27,608.202
2001-03-28,581.129
2001-03-29,573.737
2001-03-30,580.614
2001-04-02,559.659
2001-04-03,526.189
2001-04-04,521.093
2001-04-05,564.917
2001-04-06,551.617
2001-04-09,562.86
2001-04-10,594.38
2001-04-11,594.632
2001-04-12,615.619
2001-04-13,615.619
2001-04-16,606.761
2001-04-17,616.418
2001-04-18,658.851
2001-04-19,677.289
2001-04-20,669.242
2001-04-23,643.569
2001-04-24,636.272
2001-04-25,655.675
2001-04-26,660.729
2001-04-27,673.101
2001-04-30,687.681
2001-05-01,697.635
2001-05-02,705.422
2001-05-03,683.326
2001-05-04,697.491
2001-05-07,689.88
2001-05-08,690.943
2001-05-09,684.066
2001-05-10,677.276
2001-05-11,669.885
2001-05-14,664.178
2001-05-15,665.697
2001-05-16,694.653
2001-05-17,712.699
2001-05-18,713.286
2001-05-21,744.207
2001-05-22,745.467
2001-05-23,720.461
2001-05-24,729.339
2001-05-25,725.356
2001-05-28,725.356
2001-05-29,702.255
2001-05-30,676.286
2001-05-31,688.984
2001-06-01,701.214
2001-06-04,702.589
2001-06-05,725.832
2001-06-06,717.991
2001-06-07,724.761
2001-06-08,713.932
2001-06-11,694.504
2001-06-12,693.183
2001-06-13,683.29
2001-06-14,658.362
2001-06-15,660.689
2001-06-18,648.612
2001-06-19,649.234
2001-06-20,662.551
2001-06-21,665.375
2001-06-22,654.45
2001-06-25,654.292
2001-06-26,657.801
2001-06-27,659.244
2001-06-28,671.295
2001-06-29,685.19
2001-07-02,677.982
2001-07-03,672.796
2001-07-04,672.796
2001-07-05,659.916
2001-07-06,637.46
2001-07-09,637.998
2001-07-10,623.78
2001-07-11,622.043
2001-07-12,642.942
2001-07-13,646.121
2001-07-16,628.401
2001-07-17,637.273
2001-07-18,627.939
2001-07-19,633.408
2001-07-20,632.902
2001-07-23,623.732
2001-07-24,609.566
2001-07-25,619.226
2001-07-26,633.756
2001-07-27,641.192
2001-07-30,636.252
2001-07-31,635.669
2001-08-01,640.24
2001-08-02,639.8
2001-08-03,635.988
2001-08-06,627.695
2001-08-07,624.361
2001-08-08,606.771
2001-08-09,604.373
2001-08-10,602.472
2001-08-13,611.037
2001-08-14,607.277
2001-08-15,598.367
2001-08-16,594.442
2001-08-17,581.644
2001-08-20,583.028
2001-08-21,573.006
2001-08-22,582.166
2001-08-23,581.078
2001-08-24,596.915
2001-08-27,599.715
2001-08-28,587.631
2001-08-29,583.482
2001-08-30,574.034
2001-08-31,576.681
2001-09-03,576.681
2001-09-04,569.886
2001-09-05,559.614
2001-09-06,545.717
2001-09-07,537.939
2001-09-10,537.672
2001-09-11,537.672
2001-09-12,537.672
2001-09-13,537.672
2001-09-14,537.672
2001-09-17,500.094
2001-09-18,483.667
2001-09-19,473.859
2001-09-20,460.71
2001-09-21,450.644
2001-09-24,465.455
2001-09-25,465.048
2001-09-26,455.5
2001-09-27,461.263
2001-09-28,472.973
2001-10-01,464.357
2001-10-02,470.205
2001-10-03,492.507
2001-10-04,496.907
2001-10-05,496.282
2001-10-08,494.707
2001-10-09,492.548
2001-10-10,510.388
2001-10-11,530.009
2001-10-12,529.254
2001-10-15,526.631
2001-10-16,533.951
2001-10-17,513.849
2001-10-18,510.562
2001-10-19,519.018
2001-10-22,527.38
2001-10-23,527.401
2001-10-24,533.109
2001-10-25,548.895
2001-10-26,549.358
2001-10-29,530.218
2001-10-30,516.436
2001-10-31,522.237
2001-11-01,533.856
2001-11-02,533.529
2001-11-05,545.603
2001-11-06,554.173
2001-11-07,554.725
2001-11-08,547.369
2001-11-09,548.042
2001-11-12,550.268
2001-11-13,564.439
2001-11-14,563.954
2001-11-15,562.201
2001-11-16,563.513
2001-11-19,573.79
2001-11-20,562.924
2001-11-21,560.576
2001-11-22,560.576
2001-11-23,568.469
2001-11-26,579.675
2001-11-27,580.395
2001-11-28,566.414
2001-11-29,574.87
2001-11-30,574.166
2001-12-03,568.081
2001-12-04,584.146
2001-12-05,608.414
2001-12-06,609.528
2001-12-07,599.052
2001-12-10,588.975
2001-12-11,593.579
2001-12-12,592.085
2001-12-13,578.903
2001-12-14,581.273
2001-12-17,589.155
2001-12-18,596.207
2001-12-19,591.63
2001-12-20,578.764
2001-12-21,585.318
2001-12-24,587.249
2001-12-25,587.249
2001-12-26,593.27
2001-12-27,597.501
2001-12-28,604.687
2001-12-31,595.701
2002-01-01,595.701
2002-01-02,596.28
2002-01-03,604.629
2002-01-04,610.842
2002-01-07,602.627
2002-01-08,603.502
2002-01-09,601.046
2002-01-10,599.477
2002-01-11,593.044
2002-01-14,581.254
2002-01-15,584.006
2002-01-16,569.154
2002-01-17,577.465
2002-01-18,567.266
2002-01-21,567.266
2002-01-22,559.361
2002-01-23,573.226
2002-01-24,579.425
2002-01-25,579.716
2002-01-28,580.119
2002-01-29,568.775
2002-01-30,573.593
2002-01-31,578.114
2002-02-01,574.325
2002-02-04,555.592
2002-02-05,551.957
2002-02-06,546.936
2002-02-07,539.2
2002-02-08,553.046
2002-02-11,563.521
2002-02-12,562.319
2002-02-13,566.938
2002-02-14,563.546
2002-02-15,554.385
2002-02-18,554.385
2002-02-19,538.409
2002-02-20,546.068
2002-02-21,534.788
2002-02-22,535.439
2002-02-25,546.242
2002-02-26,551.35
2002-02-27,548.446
2002-02-28,543.615
2002-03-01,559.88
2002-03-04,580.773
2002-03-05,579.336
2002-03-06,587.342
2002-03-07,582.288
2002-03-08,592.417
2002-03-11,594.401
2002-03-12,588.927
2002-03-13,582.665
2002-03-14,581.961
2002-03-15,587.736
2002-03-18,593.735
2002-03-19,594.332
2002-03-20,584.186
2002-03-21,590.76
2002-03-22,584.97
2002-03-25,573.201
2002-03-26,575.91
2002-03-27,582.025
2002-03-28,586.523
2002-03-29,586.523
2002-04-01,588.742
2002-04-02,574.456
2002-04-03,566.457
2002-04-04,567.059
2002-04-05,563.61
2002-04-08,568.454
2002-04-09,561.734
2002-04-10,567.885
2002-04-11,556.766
2002-04-12,563.132
2002-04-15,564.854
2002-04-16,579.311
2002-04-17,579.051
2002-04-18,578.999
2002-04-19,579.072
2002-04-22,570.115
2002-04-23,566.671
2002-04-24,562.553
2002-04-25,562.148
2002-04-26,552.646
2002-04-29,546.365
2002-04-30,557.989
2002-05-01,559.404
2002-05-02,552.691
2002-05-03,543.93
2002-05-06,534.717
2002-05-07,531.704
2002-05-08,560.186
2002-05-09,549.109
2002-05-10,539.292
2002-05-13,549.949
2002-05-14,566.458
2002-05-15,566.367
2002-05-16,564.021
2002-05-17,568.278
2002-05-20,560.298
2002-05-21,549.329
2002-05-22,549.197
2002-05-23,557.363
2002-05-24,550.101
2002-05-27,550.101
2002-05-28,548.405
2002-05-29,543.839
2002-05-30,544.12
2002-05-31,542.607
2002-06-03,526.219
2002-06-04,526.234
2002-06-05,531.473
2002-06-06,521.994
2002-06-07,524.818
2002-06-10,525.075
2002-06-11,513.424
2002-06-12,513.815
2002-06-13,508.048
2002-06-14,508.742
2002-06-17,523.927
2002-06-18,522.062
2002-06-19,514.056
2002-06-20,505.326
2002-06-21,495.01
2002-06-24,495.227
2002-06-25,483.53
2002-06-26,481.703
2002-06-27,490.164
2002-06-28,491.822
2002-07-01,472.866
2002-07-02,456.688
2002-07-03,462.852
2002-07-04,462.852
2002-07-05,485.237
2002-07-08,473.332
2002-07-09,459.36
2002-07-10,445.205
2002-07-11,450.6
2002-07-12,450.967
2002-07-15,451.46
2002-07-16,447.402
2002-07-17,450.862
2002-07-18,436.749
2002-07-19,422.244
2002-07-22,410.372
2002-07-23,399.362
2002-07-24,424.206
2002-07-25,413.041
2002-07-26,415.068
2002-07-29,439.613
2002-07-30,444.034
2002-07-31,439.087
2002-08-01,422.858
2002-08-02,411.373
2002-08-05,396.523
2002-08-06,413.071
2002-08-07,417.639
2002-08-08,429.49
2002-08-09,429.888
2002-08-12,428.679
2002-08-13,417.534
2002-08-14,436.115
2002-08-15,445.869
2002-08-16,449.467
2002-08-19,459.358
2002-08-20,451.178
2002-08-21,457.875
2002-08-22,464.958
2002-08-23,452.805
2002-08-26,455.344
2002-08-27,443.008
2002-08-28,432.319
2002-08-29,436.027
2002-08-30,433.247
2002-09-02,433.247
2002-09-03,416.118
2002-09-04,424.913
2002-09-05,417.161
2002-09-06,429.883
2002-09-09,433.661
2002-09-10,438.506
2002-09-11,438.28
2002-09-12,427.432
2002-09-13,428.868
2002-09-16,427.798
2002-09-17,420.226
2002-09-18,420.756
2002-09-19,406.695
2002-09-20,407.427
2002-09-23,399.667
2002-09-24,394.246
2002-09-25,409.006
2002-09-26,413.224
2002-09-27,407.047
2002-09-30,400.329
2002-10-01,410.798
2002-10-02,402.643
2002-10-03,396.434
2002-10-04,385.838
2002-10-07,377.713
2002-10-08,384.385
2002-10-09,377.835
2002-10-10,389.34
2002-10-11,404.744
2002-10-14,411.24
2002-10-15,427.955
2002-10-16,416.739
2002-10-17,431.164
2002-10-18,432.19
2002-10-21,443.595
2002-10-22,434.057
2002-10-23,441.032
2002-10-24,432.828
2002-10-25,440.405
2002-10-28,434.586
2002-10-29,429.614
2002-10-30,436.872
2002-10-31,435.366
2002-11-01,445.784
2002-11-04,450.358
2002-11-05,449.568
2002-11-06,457.943
2002-11-07,445.438
2002-11-08,437.432
2002-11-11,425.986
2002-11-12,433.045
2002-11-13,433.665
2002-11-14,445.665
2002-11-15,449.128
2002-11-18,446.214
2002-11-19,441.467
2002-11-20,455.511
2002-11-21,466.992
2002-11-22,465.855
2002-11-25,467.047
2002-11-26,454.114
2002-11-27,469.368
2002-11-28,469.368
2002-11-29,467.475
2002-12-02,468.404
2002-12-03,459.758
2002-12-04,455.334
2002-12-05,450.938
2002-12-06,453.005
2002-12-09,438.12
2002-12-10,445.394
2002-12-11,446.411
2002-12-12,446.914
2002-12-13,436.257
2002-12-16,446.73
2002-12-17,444.132
2002-12-18,437.0
2002-12-19,433.999
2002-12-20,440.48
2002-12-23,444.764
2002-12-24,442.546
2002-12-25,442.546
2002-12-26,441.778
2002-12-27,433.832
2002-12-30,433.104
2002-12-31,434.648
2003-01-01,434.648
2003-01-02,450.709
2003-01-03,449.924
2003-01-06,457.111
2003-01-07,455.565
2003-01-08,446.937
2003-01-09,456.611
2003-01-10,458.97
2003-01-13,456.792
2003-01-14,457.508
2003-01-15,452.389
2003-01-16,451.574
2003-01-17,442.57
2003-01-20,442.573
2003-01-21,435.296
2003-01-22,433.562
2003-01-23,441.181
2003-01-24,430.862
2003-01-27,423.526
2003-01-28,431.187
2003-01-29,436.013
2003-01-30,427.503
2003-01-31,431.706
2003-02-03,432.363
2003-02-04,425.694
2003-02-05,425.139
2003-02-06,423.078
2003-02-07,419.087
2003-02-10,422.938
2003-02-11,421.947
2003-02-12,414.513
2003-02-13,409.925
2003-02-14,417.907
2003-02-17,417.907
2003-02-18,428.69
2003-02-19,425.097
2003-02-20,423.538
2003-02-21,429.982
2003-02-24,422.39
2003-02-25,424.896
2003-02-26,420.23
2003-02-27,425.335
2003-02-28,428.945
2003-03-03,424.532
2003-03-04,418.667
2003-03-05,420.06
2003-03-06,420.021
2003-03-07,423.514
2003-03-10,413.997
2003-03-11,410.08
2003-03-12,411.515
2003-03-13,429.305
2003-03-14,429.722
2003-03-17,447.505
2003-03-18,450.301
2003-03-19,447.795
2003-03-20,452.032
2003-03-21,459.339
2003-03-24,442.545
2003-03-25,449.889
2003-03-26,449.091
2003-03-27,449.093
2003-03-28,447.006
2003-03-31,439.477
2003-04-01,440.105
2003-04-02,453.076
