Date,USA MID VALUE Mid Cap
1994-05-31,176.601
1994-06-30,173.119
1994-07-29,179.91
1994-08-31,185.54
1994-09-30,180.03
1994-10-31,178.525
1994-11-30,170.062
1994-12-30,172.569
1995-01-31,177.866
1995-02-28,187.035
1995-03-31,190.186
1995-04-28,194.466
1995-05-31,201.038
1995-06-30,206.245
1995-07-31,212.658
1995-08-31,216.737
1995-09-29,220.683
1995-10-31,217.656
1995-11-30,229.35
1995-12-29,231.594
1996-01-31,234.534
1996-02-29,236.767
1996-03-29,242.064
1996-04-30,244.463
1996-05-31,246.689
1996-06-28,246.902
1996-07-31,236.568
1996-08-30,246.525
1996-09-30,255.658
1996-10-31,260.661
1996-11-29,275.756
1996-12-31,278.72
1997-01-31,285.706
1997-02-28,291.399
1997-03-31,281.329
1997-04-30,288.693
1997-05-30,306.903
1997-06-30,320.076
1997-07-31,342.867
1997-08-29,340.049
1997-09-30,360.814
1997-10-31,350.0
1997-11-28,361.633
1997-12-31,379.054
1998-01-30,371.066
1998-02-27,395.56
1998-03-31,415.902
1998-04-30,414.538
1998-05-29,403.189
1998-06-30,398.802
1998-07-31,381.136
1998-08-31,319.259
1998-09-30,334.281
1998-10-30,355.991
1998-11-30,367.518
1998-12-31,373.906
1999-01-29,360.895
1999-02-26,350.532
1999-03-31,356.441
1999-04-30,393.851
1999-05-31,394.785
1999-06-30,403.022
1999-07-30,392.032
1999-08-31,377.627
1999-09-30,359.659
1999-10-29,369.748
1999-11-30,368.912
1999-12-31,380.195
2000-01-31,360.233
2000-02-29,350.156
2000-03-31,382.118
2000-04-28,381.327
2000-05-31,382.758
2000-06-30,369.996
2000-07-31,377.908
2000-08-31,404.941
2000-09-29,401.619
2000-10-31,400.304
2000-11-30,386.074
2000-12-29,420.175
2001-01-31,429.455
2001-02-28,419.67
2001-03-30,411.062
2001-04-30,437.262
2001-05-31,450.928
2001-06-29,450.336
2001-07-31,448.69
2001-08-31,438.914
2001-09-28,394.492
2001-10-31,396.455
2001-11-30,424.94
2001-12-31,446.857
2002-01-31,450.603
2002-02-28,457.623
2002-03-29,482.403
2002-04-30,483.263
2002-05-31,479.421
2002-06-28,449.065
2002-07-31,404.726
2002-08-30,410.774
2002-09-30,366.274
2002-10-31,380.768
2002-11-29,404.991
2002-12-31,396.458
2003-01-31,386.943
2003-02-28,377.898
2003-03-31,379.379
2003-04-30,405.717
2003-05-30,440.621
2003-06-30,439.468
2003-07-31,450.152
2003-08-29,462.463
2003-09-30,460.472
2003-10-31,490.514
2003-11-28,499.458
2003-12-31,526.957
2004-01-30,535.849
2004-02-27,554.619
2004-03-31,557.907
2004-04-30,541.726
2004-05-31,554.328
2004-06-30,574.073
2004-07-30,565.286
2004-08-31,572.213
2004-09-30,590.366
2004-10-29,603.194
2004-11-30,640.721
2004-12-31,665.767
2005-01-31,647.914
2005-02-28,674.644
2005-03-31,673.133
2005-04-29,654.855
2005-05-31,678.087
2005-06-30,695.747
2005-07-29,732.343
2005-08-31,725.629
2005-09-30,738.842
2005-10-31,718.204
2005-11-30,749.785
2005-12-30,757.526
2006-01-31,784.478
2006-02-28,788.135
2006-03-31,801.855
2006-04-28,812.989
2006-05-31,794.362
2006-06-30,803.942
2006-07-31,808.698
2006-08-31,823.883
2006-09-29,834.988
2006-10-31,868.663
2006-11-30,900.305
2006-12-29,906.18
2007-01-31,940.187
2007-02-28,938.579
2007-03-30,942.515
2007-04-30,969.629
2007-05-31,1000.0
2007-06-29,967.017
2007-07-31,902.356
2007-08-31,906.111
2007-09-28,918.808
2007-10-31,910.633
2007-11-30,862.092
2007-12-31,839.451
2008-01-31,807.501
2008-02-29,769.033
2008-03-31,768.49
2008-04-30,797.612
2008-05-30,824.054
2008-06-30,733.095
2008-07-31,730.48
2008-08-29,753.674
2008-09-30,705.334
2008-10-31,540.486
2008-11-28,496.841
2008-12-31,526.029
2009-01-30,473.517
2009-02-27,408.94
2009-03-31,440.815
2009-04-30,513.935
2009-05-29,534.505
2009-06-30,528.126
2009-07-31,585.998
2009-08-31,629.508
2009-09-30,664.413
2009-10-30,633.574
2009-11-30,665.318
2009-12-31,696.127
2010-01-29,677.89
2010-02-26,708.749
2010-03-31,759.625
2010-04-30,786.996
2010-05-31,728.407
2010-06-30,683.276
2010-07-30,730.546
2010-08-31,693.917
2010-09-30,756.306
2010-10-29,784.093
2010-11-30,784.094
2010-12-31,847.086
2011-01-31,866.706
2011-02-28,899.573
2011-03-31,904.916
2011-04-29,933.201
2011-05-31,923.585
2011-06-30,895.448
2011-07-29,855.711
2011-08-31,805.93
2011-09-30,735.819
2011-10-31,827.397
2011-11-30,825.28
2011-12-30,831.785
2012-01-31,875.063
2012-02-29,910.049
2012-03-30,928.071
2012-04-30,920.578
2012-05-31,849.592
2012-06-29,879.092
2012-07-31,890.245
2012-08-31,912.951
2012-09-28,933.968
2012-10-31,934.917
2012-11-30,940.83
2012-12-31,967.337
2013-01-31,1041.554
2013-02-28,1058.576
2013-03-29,1109.886
2013-04-30,1136.174
2013-05-31,1144.672
2013-06-28,1129.245
2013-07-31,1195.109
2013-08-30,1152.81
2013-09-30,1196.346
2013-10-31,1253.323
2013-11-29,1266.675
2013-12-31,1303.281
2014-01-31,1263.273
2014-02-28,1331.404
2014-03-31,1355.251
2014-04-30,1360.565
2014-05-30,1382.483
2014-06-30,1422.3
2014-07-31,1375.531
2014-08-29,1433.613
2014-09-30,1384.842
2014-10-31,1426.828
2014-11-28,1450.665
2014-12-31,1464.569
2015-01-30,1436.108
2015-02-27,1501.622
2015-03-31,1494.68
2015-04-30,1489.612
2015-05-29,1512.583
2015-06-30,1466.178
2015-07-31,1467.245
2015-08-31,1386.889
2015-09-30,1351.884
2015-10-30,1430.72
