Date,USA SMALL GROWTH Small Cap
2001-01-01,564.396
2001-01-02,531.603
2001-01-03,562.633
2001-01-04,552.805
2001-01-05,532.432
2001-01-08,525.369
2001-01-09,529.23
2001-01-10,545.506
2001-01-11,564.563
2001-01-12,572.212
2001-01-15,572.212
2001-01-16,579.255
2001-01-17,582.996
2001-01-18,586.849
2001-01-19,582.228
2001-01-22,582.273
2001-01-23,598.158
2001-01-24,602.651
2001-01-25,595.707
2001-01-26,593.885
2001-01-29,606.881
2001-01-30,611.863
2001-01-31,608.955
2001-02-01,606.913
2001-02-02,592.876
2001-02-05,588.393
2001-02-06,595.53
2001-02-07,592.599
2001-02-08,586.671
2001-02-09,576.755
2001-02-12,582.654
2001-02-13,578.004
2001-02-14,579.495
2001-02-15,587.545
2001-02-16,572.564
2001-02-19,572.564
2001-02-20,559.2
2001-02-21,546.849
2001-02-22,539.002
2001-02-23,537.543
2001-02-26,552.19
2001-02-27,537.495
2001-02-28,528.542
2001-03-01,526.232
2001-03-02,528.029
2001-03-05,526.982
2001-03-06,535.473
2001-03-07,539.523
2001-03-08,532.454
2001-03-09,519.754
2001-03-12,496.666
2001-03-13,500.386
2001-03-14,490.707
2001-03-15,487.693
2001-03-16,472.313
2001-03-19,482.647
2001-03-20,475.381
2001-03-21,463.29
2001-03-22,459.477
2001-03-23,475.453
2001-03-26,480.454
2001-03-27,487.702
2001-03-28,472.994
2001-03-29,469.216
2001-03-30,478.917
2001-04-02,462.12
2001-04-03,440.708
2001-04-04,437.497
2001-04-05,464.248
2001-04-06,453.266
2001-04-09,460.447
2001-04-10,477.091
2001-04-11,478.132
2001-04-12,487.514
2001-04-13,487.514
2001-04-16,482.248
2001-04-17,486.866
2001-04-18,508.303
2001-04-19,517.975
2001-04-20,512.917
2001-04-23,501.721
2001-04-24,500.409
2001-04-25,512.585
2001-04-26,519.636
2001-04-27,526.994
2001-04-30,533.479
2001-05-01,540.022
2001-05-02,545.588
2001-05-03,536.908
2001-05-04,544.16
2001-05-07,541.664
2001-05-08,543.205
2001-05-09,542.166
2001-05-10,542.244
2001-05-11,537.935
2001-05-14,535.52
2001-05-15,539.56
2001-05-16,550.701
2001-05-17,563.584
2001-05-18,566.022
2001-05-21,582.088
2001-05-22,585.262
2001-05-23,572.409
2001-05-24,575.365
2001-05-25,574.149
2001-05-28,574.149
2001-05-29,563.296
2001-05-30,547.218
2001-05-31,552.607
2001-06-01,558.306
2001-06-04,562.634
2001-06-05,574.808
2001-06-06,570.851
2001-06-07,574.494
2001-06-08,570.638
2001-06-11,562.354
2001-06-12,561.072
2001-06-13,558.681
2001-06-14,542.919
2001-06-15,538.862
2001-06-18,529.451
2001-06-19,525.541
2001-06-20,532.007
2001-06-21,533.895
2001-06-22,526.568
2001-06-25,526.09
2001-06-26,532.0
2001-06-27,536.955
2001-06-28,544.817
2001-06-29,565.148
2001-07-02,552.4
2001-07-03,549.409
2001-07-04,549.409
2001-07-05,544.0
2001-07-06,531.672
2001-07-09,533.2
2001-07-10,524.406
2001-07-11,520.9
2001-07-12,537.116
2001-07-13,539.494
2001-07-16,531.422
2001-07-17,537.71
2001-07-18,530.259
2001-07-19,533.448
2001-07-20,533.462
2001-07-23,528.88
2001-07-24,517.164
2001-07-25,520.133
2001-07-26,529.48
2001-07-27,530.981
2001-07-30,529.99
2001-07-31,529.596
2001-08-01,533.521
2001-08-02,531.899
2001-08-03,528.748
2001-08-06,520.451
2001-08-07,518.082
2001-08-08,508.521
2001-08-09,508.379
2001-08-10,508.057
2001-08-13,511.371
2001-08-14,512.876
2001-08-15,510.447
2001-08-16,511.533
2001-08-17,504.487
2001-08-20,506.508
2001-08-21,498.705
2001-08-22,502.993
2001-08-23,500.44
2001-08-24,509.398
2001-08-27,508.893
2001-08-28,502.611
2001-08-29,501.501
2001-08-30,494.761
2001-08-31,496.831
2001-09-03,496.831
2001-09-04,493.531
2001-09-05,487.063
2001-09-06,476.67
2001-09-07,467.713
2001-09-10,461.868
2001-09-11,461.874
2001-09-12,461.875
2001-09-13,461.875
2001-09-14,461.875
2001-09-17,434.907
2001-09-18,425.963
2001-09-19,415.722
2001-09-20,401.008
2001-09-21,392.762
2001-09-24,409.708
2001-09-25,411.322
2001-09-26,403.142
2001-09-27,405.467
2001-09-28,418.137
2001-10-01,409.751
2001-10-02,415.49
2001-10-03,431.478
2001-10-04,436.759
2001-10-05,434.754
2001-10-08,431.45
2001-10-09,428.941
2001-10-10,442.785
2001-10-11,455.699
2001-10-12,452.83
2001-10-15,454.224
2001-10-16,459.593
2001-10-17,448.186
2001-10-18,444.279
2001-10-19,449.505
2001-10-22,455.721
2001-10-23,453.961
2001-10-24,455.1
2001-10-25,464.168
2001-10-26,468.969
2001-10-29,459.671
2001-10-30,450.473
2001-10-31,457.186
