Date,USA SMALL GROWTH Small Cap
2001-01-01,567.518
2001-01-02,534.544
2001-01-03,565.746
2001-01-04,555.863
2001-01-05,535.378
2001-01-08,528.276
2001-01-09,532.158
2001-01-10,548.524
2001-01-11,567.686
2001-01-12,575.378
2001-01-15,575.378
2001-01-16,582.459
2001-01-17,586.221
2001-01-18,590.095
2001-01-19,585.449
2001-01-22,585.494
2001-01-23,601.466
2001-01-24,605.985
2001-01-25,599.001
2001-01-26,597.169
2001-01-29,610.238
2001-01-30,615.247
2001-01-31,612.321
2001-02-01,610.267
2001-02-02,596.153
2001-02-05,591.645
2001-02-06,598.82
2001-02-07,595.873
2001-02-08,589.912
2001-02-09,579.941
2001-02-12,585.872
2001-02-13,581.195
2001-02-14,582.694
2001-02-15,590.788
2001-02-16,575.725
2001-02-19,575.725
2001-02-20,562.287
2001-02-21,549.866
2001-02-22,541.975
2001-02-23,540.509
2001-02-26,555.236
2001-02-27,540.46
2001-02-28,531.458
2001-03-01,529.135
2001-03-02,530.941
2001-03-05,529.889
2001-03-06,538.427
2001-03-07,542.499
2001-03-08,535.391
2001-03-09,522.621
2001-03-12,499.405
2001-03-13,503.145
2001-03-14,493.414
2001-03-15,490.381
2001-03-16,474.915
2001-03-19,485.307
2001-03-20,478.001
2001-03-21,465.843
2001-03-22,462.009
2001-03-23,478.073
2001-03-26,483.102
2001-03-27,490.389
2001-03-28,475.598
2001-03-29,471.8
2001-03-30,481.554
2001-04-02,464.664
2001-04-03,443.134
2001-04-04,439.906
2001-04-05,466.804
2001-04-06,455.762
2001-04-09,462.982
2001-04-10,479.717
2001-04-11,480.764
2001-04-12,490.197
2001-04-13,490.197
2001-04-16,484.903
2001-04-17,489.546
2001-04-18,511.101
2001-04-19,520.826
2001-04-20,515.74
2001-04-23,504.483
2001-04-24,503.164
2001-04-25,515.406
2001-04-26,522.496
2001-04-27,529.894
2001-04-30,536.413
2001-05-01,542.993
2001-05-02,548.587
2001-05-03,539.859
2001-05-04,547.15
2001-05-07,544.64
2001-05-08,546.189
2001-05-09,545.144
2001-05-10,545.223
2001-05-11,540.889
2001-05-14,538.46
2001-05-15,542.523
2001-05-16,553.725
2001-05-17,566.679
2001-05-18,569.129
2001-05-21,585.283
2001-05-22,588.474
2001-05-23,575.551
2001-05-24,578.523
2001-05-25,577.301
2001-05-28,577.301
2001-05-29,566.388
2001-05-30,550.221
2001-05-31,555.64
2001-06-01,561.37
2001-06-04,565.722
2001-06-05,577.963
2001-06-06,573.983
2001-06-07,577.646
2001-06-08,573.768
2001-06-11,565.439
2001-06-12,564.15
2001-06-13,561.746
2001-06-14,545.897
2001-06-15,541.818
2001-06-18,532.355
2001-06-19,528.423
2001-06-20,534.924
2001-06-21,536.823
2001-06-22,529.456
2001-06-25,528.975
2001-06-26,534.917
2001-06-27,539.897
2001-06-28,547.803
2001-06-29,568.245
2001-07-02,555.427
2001-07-03,552.419
2001-07-04,552.419
2001-07-05,546.981
2001-07-06,534.585
2001-07-09,536.121
2001-07-10,527.279
2001-07-11,523.754
2001-07-12,540.059
2001-07-13,542.45
2001-07-16,534.334
2001-07-17,540.656
2001-07-18,533.165
2001-07-19,536.371
2001-07-20,536.384
2001-07-23,531.778
2001-07-24,519.998
2001-07-25,522.983
2001-07-26,532.381
2001-07-27,533.889
2001-07-30,532.893
2001-07-31,532.497
2001-08-01,536.442
2001-08-02,534.807
2001-08-03,531.639
2001-08-06,523.296
2001-08-07,520.913
2001-08-08,511.3
2001-08-09,511.157
2001-08-10,510.833
2001-08-13,514.164
2001-08-14,515.677
2001-08-15,513.235
2001-08-16,514.327
2001-08-17,507.242
2001-08-20,509.274
2001-08-21,501.429
2001-08-22,505.741
2001-08-23,503.173
2001-08-24,512.18
2001-08-27,511.673
2001-08-28,505.356
2001-08-29,504.24
2001-08-30,497.463
2001-08-31,499.544
2001-09-03,499.544
2001-09-04,496.225
2001-09-05,489.722
2001-09-06,479.272
2001-09-07,470.266
2001-09-10,464.388
2001-09-11,464.394
2001-09-12,464.396
2001-09-13,464.396
2001-09-14,464.396
2001-09-17,437.28
2001-09-18,428.287
2001-09-19,417.99
2001-09-20,403.196
2001-09-21,394.905
2001-09-24,411.943
2001-09-25,413.566
2001-09-26,405.338
2001-09-27,407.676
2001-09-28,420.415
2001-10-01,411.983
2001-10-02,417.754
2001-10-03,433.829
2001-10-04,439.139
2001-10-05,437.122
2001-10-08,433.8
2001-10-09,431.278
2001-10-10,445.197
2001-10-11,458.18
2001-10-12,455.297
2001-10-15,456.698
2001-10-16,462.096
2001-10-17,450.627
2001-10-18,446.698
2001-10-19,451.953
2001-10-22,458.203
2001-10-23,456.433
2001-10-24,457.578
2001-10-25,466.696
2001-10-26,471.523
2001-10-29,462.174
2001-10-30,452.926
2001-10-31,459.673
2001-11-01,466.176
2001-11-02,465.565
2001-11-05,470.783
2001-11-06,476.581
2001-11-07,478.09
2001-11-08,474.272
2001-11-09,473.035
2001-11-12,475.828
2001-11-13,485.777
2001-11-14,490.942
2001-11-15,486.728
2001-11-16,488.174
2001-11-19,496.074
2001-11-20,491.558
2001-11-21,489.547
2001-11-22,489.547
2001-11-23,496.1
2001-11-26,501.282
2001-11-27,502.169
2001-11-28,493.216
2001-11-29,502.48
2001-11-30,502.033
2001-12-03,497.086
2001-12-04,509.814
2001-12-05,526.254
2001-12-06,530.079
2001-12-07,528.604
2001-12-10,521.521
2001-12-11,522.018
2001-12-12,522.647
2001-12-13,514.431
2001-12-14,514.867
2001-12-17,522.272
2001-12-18,530.032
2001-12-19,527.909
2001-12-20,518.246
2001-12-21,528.53
2001-12-24,530.435
2001-12-25,530.435
2001-12-26,536.502
2001-12-27,540.231
2001-12-28,543.485
2001-12-31,539.01
2002-01-01,539.009
2002-01-02,535.871
2002-01-03,544.383
2002-01-04,550.365
2002-01-07,544.905
2002-01-08,548.446
2002-01-09,546.294
2002-01-10,547.333
2002-01-11,540.976
2002-01-14,531.735
2002-01-15,532.69
2002-01-16,521.5
2002-01-17,527.686
2002-01-18,519.722
2002-01-21,519.722
2002-01-22,513.065
2002-01-23,521.625
2002-01-24,526.205
2002-01-25,525.537
2002-01-28,526.288
2002-01-29,517.363
2002-01-30,521.966
2002-01-31,527.901
2002-02-01,525.335
2002-02-04,510.891
2002-02-05,506.365
2002-02-06,497.997
2002-02-07,492.994
2002-02-08,501.654
2002-02-11,508.519
2002-02-12,509.593
2002-02-13,514.513
2002-02-14,509.143
2002-02-15,504.209
2002-02-18,504.209
2002-02-19,492.233
2002-02-20,497.658
2002-02-21,489.675
2002-02-22,492.952
2002-02-25,498.127
2002-02-26,502.086
2002-02-27,503.712
2002-02-28,499.382
2002-03-01,509.751
2002-03-04,523.71
2002-03-05,523.536
2002-03-06,530.834
2002-03-07,531.867
2002-03-08,539.434
2002-03-11,541.619
2002-03-12,538.695
2002-03-13,533.336
2002-03-14,533.892
2002-03-15,535.336
2002-03-18,539.624
2002-03-19,541.065
2002-03-20,533.973
2002-03-21,540.232
2002-03-22,537.637
2002-03-25,529.805
2002-03-26,533.67
2002-03-27,537.37
2002-03-28,540.89
2002-03-29,540.89
2002-04-01,539.18
2002-04-02,532.227
2002-04-03,526.188
2002-04-04,527.247
2002-04-05,525.947
2002-04-08,530.522
2002-04-09,528.993
2002-04-10,535.765
2002-04-11,525.844
2002-04-12,535.19
2002-04-15,534.849
2002-04-16,547.365
2002-04-17,544.748
2002-04-18,544.378
2002-04-19,544.12
2002-04-22,536.572
2002-04-23,534.726
2002-04-24,531.517
2002-04-25,531.114
2002-04-26,522.844
2002-04-29,518.889
2002-04-30,528.969
2002-05-01,529.273
2002-05-02,528.715
2002-05-03,526.066
2002-05-06,515.716
2002-05-07,510.806
2002-05-08,525.971
2002-05-09,517.038
2002-05-10,509.016
2002-05-13,516.458
2002-05-14,530.107
2002-05-15,531.769
2002-05-16,527.605
2002-05-17,529.461
2002-05-20,522.096
2002-05-21,513.328
2002-05-22,511.031
2002-05-23,517.436
2002-05-24,510.827
2002-05-27,510.827
2002-05-28,508.868
2002-05-29,504.062
2002-05-30,503.472
2002-05-31,504.361
2002-06-03,489.336
2002-06-04,486.773
2002-06-05,489.744
2002-06-06,480.237
2002-06-07,483.434
2002-06-10,483.811
2002-06-11,474.258
2002-06-12,472.554
2002-06-13,467.255
2002-06-14,469.68
2002-06-17,483.302
2002-06-18,481.662
2002-06-19,474.417
2002-06-20,466.237
2002-06-21,461.124
2002-06-24,459.483
2002-06-25,449.478
2002-06-26,448.993
2002-06-27,455.489
2002-06-28,459.541
2002-07-01,443.586
2002-07-02,427.64
2002-07-03,427.37
2002-07-04,427.37
2002-07-05,443.018
2002-07-08,435.784
2002-07-09,426.598
2002-07-10,416.209
2002-07-11,416.03
2002-07-12,415.48
2002-07-15,411.666
2002-07-16,410.588
2002-07-17,413.283
2002-07-18,402.453
2002-07-19,392.885
2002-07-22,381.367
2002-07-23,370.237
2002-07-24,387.653
2002-07-25,383.986
2002-07-26,386.738
2002-07-29,408.702
2002-07-30,410.717
2002-07-31,405.637
2002-08-01,398.099
2002-08-02,385.273
2002-08-05,372.227
2002-08-06,386.514
2002-08-07,388.665
2002-08-08,398.461
2002-08-09,398.79
2002-08-12,398.467
2002-08-13,388.517
2002-08-14,401.019
2002-08-15,408.432
2002-08-16,412.59
2002-08-19,420.422
2002-08-20,416.382
2002-08-21,424.69
2002-08-22,429.258
2002-08-23,418.554
2002-08-26,423.482
2002-08-27,412.366
2002-08-28,403.135
2002-08-29,409.002
2002-08-30,405.792
2002-09-02,405.792
2002-09-03,391.841
2002-09-04,401.332
2002-09-05,393.187
2002-09-06,404.182
2002-09-09,407.182
2002-09-10,410.526
2002-09-11,410.852
2002-09-12,401.803
2002-09-13,404.367
2002-09-16,401.934
2002-09-17,393.878
2002-09-18,391.122
2002-09-19,380.356
2002-09-20,380.637
2002-09-23,372.517
2002-09-24,369.113
2002-09-25,379.852
2002-09-26,385.034
2002-09-27,377.057
2002-09-30,374.974
2002-10-01,381.154
2002-10-02,373.56
2002-10-03,368.6
2002-10-04,358.763
2002-10-07,349.142
2002-10-08,352.997
2002-10-09,343.283
2002-10-10,354.187
2002-10-11,365.514
2002-10-14,369.524
2002-10-15,384.944
2002-10-16,373.39
2002-10-17,386.156
2002-10-18,387.47
2002-10-21,394.892
2002-10-22,388.467
2002-10-23,394.678
2002-10-24,391.016
2002-10-25,397.087
2002-10-28,393.033
2002-10-29,389.677
2002-10-30,395.319
2002-10-31,394.955
2002-11-01,404.655
2002-11-04,408.592
2002-11-05,407.677
2002-11-06,414.385
2002-11-07,404.499
2002-11-08,398.34
2002-11-11,387.746
2002-11-12,394.087
2002-11-13,395.842
2002-11-14,407.267
2002-11-15,409.986
2002-11-18,407.62
2002-11-19,402.987
2002-11-20,412.733
2002-11-21,424.751
2002-11-22,425.561
2002-11-25,429.202
2002-11-26,419.566
2002-11-27,433.259
2002-11-28,433.27
2002-11-29,431.568
2002-12-02,432.702
2002-12-03,423.222
2002-12-04,420.017
2002-12-05,417.014
2002-12-06,419.637
2002-12-09,407.09
2002-12-10,414.236
2002-12-11,415.082
2002-12-12,416.154
