Date,USA SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,656.438
2001-01-02,610.851
2001-01-03,653.295
2001-01-04,637.625
2001-01-05,609.712
2001-01-08,601.771
2001-01-09,610.169
2001-01-10,632.786
2001-01-11,656.385
2001-01-12,662.871
2001-01-15,662.871
2001-01-16,665.983
2001-01-17,672.749
2001-01-18,677.457
2001-01-19,673.104
2001-01-22,675.109
2001-01-23,696.714
2001-01-24,700.51
2001-01-25,689.965
2001-01-26,692.646
2001-01-29,709.471
2001-01-30,711.798
2001-01-31,705.282
2001-02-01,701.378
2001-02-02,683.089
2001-02-05,678.68
2001-02-06,688.015
2001-02-07,680.734
2001-02-08,674.021
2001-02-09,662.028
2001-02-12,664.567
2001-02-13,656.733
2001-02-14,662.27
2001-02-15,673.15
2001-02-16,654.939
2001-02-19,654.925
2001-02-20,635.245
2001-02-21,621.714
2001-02-22,612.722
2001-02-23,614.415
2001-02-26,632.518
2001-02-27,613.213
2001-02-28,601.195
2001-03-01,600.15
2001-03-02,597.407
2001-03-05,595.988
2001-03-06,606.85
2001-03-07,610.815
2001-03-08,599.615
2001-03-09,581.342
2001-03-12,551.851
2001-03-13,559.746
2001-03-14,550.109
2001-03-15,543.425
2001-03-16,525.956
2001-03-19,541.607
2001-03-20,528.855
2001-03-21,514.878
2001-03-22,514.125
2001-03-23,532.122
2001-03-26,538.503
2001-03-27,546.72
2001-03-28,526.408
2001-03-29,520.999
2001-03-30,529.586
2001-04-02,510.753
2001-04-03,483.784
2001-04-04,479.706
2001-04-05,514.291
2001-04-06,502.154
2001-04-09,511.21
2001-04-10,534.6
2001-04-11,535.307
2001-04-12,549.912
2001-04-13,549.912
2001-04-16,543.001
2001-04-17,549.893
2001-04-18,580.83
2001-04-19,594.477
2001-04-20,588.041
2001-04-23,570.339
2001-04-24,566.377
2001-04-25,581.886
2001-04-26,588.143
2001-04-27,597.8
2001-04-30,607.93
2001-05-01,616.057
2001-05-02,622.669
2001-05-03,607.97
2001-05-04,618.357
2001-05-07,613.576
2001-05-08,614.925
2001-05-09,611.301
2001-05-10,608.353
2001-05-11,602.633
2001-05-14,598.737
2001-05-15,601.716
2001-05-16,620.839
2001-05-17,636.153
2001-05-18,637.806
2001-05-21,660.614
2001-05-22,662.981
2001-05-23,644.618
2001-05-24,650.219
2001-05-25,647.768
2001-05-28,647.768
2001-05-29,631.377
2001-05-30,610.74
2001-05-31,619.423
2001-06-01,628.319
2001-06-04,631.203
2001-06-05,648.795
2001-06-06,642.937
2001-06-07,648.11
2001-06-08,640.843
2001-06-11,627.108
2001-06-12,625.807
2001-06-13,619.748
2001-06-14,599.502
2001-06-15,598.564
2001-06-18,587.848
2001-06-19,586.151
2001-06-20,595.968
2001-06-21,598.314
2001-06-22,589.226
2001-06-25,588.903
2001-06-26,593.652
2001-06-27,596.904
2001-06-28,606.81
2001-06-29,624.028
2001-07-02,613.966
2001-07-03,609.904
2001-07-04,609.904
2001-07-05,600.856
2001-07-06,583.588
2001-07-09,584.636
2001-07-10,573.201
2001-07-11,570.55
2001-07-12,589.056
2001-07-13,591.825
2001-07-16,579.061
2001-07-17,586.611
2001-07-18,578.238
2001-07-19,582.54
2001-07-20,582.3
2001-07-23,575.478
2001-07-24,562.56
2001-07-25,568.796
2001-07-26,580.677
2001-07-27,585.075
2001-07-30,582.155
2001-07-31,581.668
2001-08-01,585.911
2001-08-02,584.866
2001-08-03,581.39
2001-08-06,573.095
2001-08-07,570.253
2001-08-08,556.754
2001-08-09,555.506
2001-08-10,554.41
2001-08-13,560.298
2001-08-14,559.223
2001-08-15,553.617
