Date,USA SMID VALUE SMID (Small+Mid Cap)
2001-01-01,410.123
2001-01-02,399.558
2001-01-03,410.678
2001-01-04,407.255
2001-01-05,400.047
2001-01-08,399.728
2001-01-09,399.361
2001-01-10,405.133
2001-01-11,407.183
2001-01-12,406.889
2001-01-15,406.889
2001-01-16,411.201
2001-01-17,412.121
2001-01-18,411.922
2001-01-19,407.793
2001-01-22,410.66
2001-01-23,417.379
2001-01-24,418.252
2001-01-25,418.117
2001-01-26,417.592
2001-01-29,423.205
2001-01-30,425.896
2001-01-31,424.832
2001-02-01,425.685
2001-02-02,422.024
2001-02-05,423.313
2001-02-06,424.709
2001-02-07,425.201
2001-02-08,424.324
2001-02-09,422.454
2001-02-12,427.043
2001-02-13,426.688
2001-02-14,426.285
2001-02-15,428.52
2001-02-16,423.786
2001-02-19,423.786
2001-02-20,419.473
2001-02-21,414.622
2001-02-22,411.395
2001-02-23,409.852
2001-02-26,418.098
2001-02-27,415.124
2001-02-28,412.928
2001-03-01,412.294
2001-03-02,416.934
2001-03-05,418.356
2001-03-06,421.494
2001-03-07,424.658
2001-03-08,425.453
2001-03-09,420.239
2001-03-12,409.104
2001-03-13,410.117
2001-03-14,401.813
2001-03-15,402.852
2001-03-16,396.927
2001-03-19,402.44
2001-03-20,398.203
2001-03-21,391.164
2001-03-22,385.397
2001-03-23,392.27
2001-03-26,397.467
2001-03-27,401.348
2001-03-28,396.037
2001-03-29,397.037
2001-03-30,402.643
2001-04-02,397.712
2001-04-03,387.45
2001-04-04,387.399
2001-04-05,399.113
2001-04-06,391.335
2001-04-09,395.991
2001-04-10,404.066
2001-04-11,401.424
2001-04-12,404.952
2001-04-13,404.952
2001-04-16,403.715
2001-04-17,407.158
2001-04-18,416.087
2001-04-19,417.911
2001-04-20,414.819
2001-04-23,412.205
2001-04-24,412.298
2001-04-25,417.737
2001-04-26,421.086
2001-04-27,425.733
2001-04-30,427.241
2001-05-01,429.657
2001-05-02,429.594
2001-05-03,425.61
2001-05-04,430.573
2001-05-07,429.328
2001-05-08,430.355
2001-05-09,430.492
2001-05-10,432.396
2001-05-11,430.641
2001-05-14,431.432
2001-05-15,434.265
2001-05-16,442.018
2001-05-17,445.975
2001-05-18,447.003
2001-05-21,452.757
2001-05-22,452.964
2001-05-23,447.224
2001-05-24,447.997
2001-05-25,446.417
2001-05-28,446.417
2001-05-29,443.5
2001-05-30,438.423
2001-05-31,442.409
2001-06-01,444.497
2001-06-04,446.811
2001-06-05,450.934
2001-06-06,447.836
2001-06-07,448.577
2001-06-08,446.709
2001-06-11,444.2
2001-06-12,444.122
2001-06-13,442.677
2001-06-14,434.947
2001-06-15,435.063
2001-06-18,432.689
2001-06-19,432.206
2001-06-20,435.418
2001-06-21,437.196
2001-06-22,433.636
2001-06-25,431.03
2001-06-26,433.864
2001-06-27,436.379
2001-06-28,439.983
2001-06-29,447.309
2001-07-02,445.852
2001-07-03,445.841
2001-07-04,445.841
2001-07-05,444.523
2001-07-06,437.969
2001-07-09,438.593
2001-07-10,434.896
2001-07-11,434.049
2001-07-12,441.241
2001-07-13,443.078
2001-07-16,440.093
2001-07-17,443.69
2001-07-18,441.995
2001-07-19,442.973
2001-07-20,441.001
2001-07-23,437.092
2001-07-24,429.58
2001-07-25,433.891
2001-07-26,438.752
2001-07-27,439.264
2001-07-30,440.348
2001-07-31,442.855
2001-08-01,444.978
2001-08-02,446.21
2001-08-03,445.709
2001-08-06,441.518
2001-08-07,442.102
2001-08-08,437.846
2001-08-09,437.774
2001-08-10,440.459
2001-08-13,441.642
2001-08-14,443.601
2001-08-15,443.515
2001-08-16,445.243
2001-08-17,441.455
2001-08-20,443.12
2001-08-21,440.968
2001-08-22,442.58
2001-08-23,441.631
2001-08-24,444.002
2001-08-27,441.994
2001-08-28,439.121
2001-08-29,437.751
2001-08-30,433.704
2001-08-31,435.468
2001-09-03,435.468
2001-09-04,436.386
2001-09-05,434.326
2001-09-06,428.683
2001-09-07,421.161
2001-09-10,418.428
2001-09-11,418.444
2001-09-12,418.496
2001-09-13,418.498
2001-09-14,418.498
2001-09-17,396.292
2001-09-18,393.188
2001-09-19,385.572
2001-09-20,372.828
2001-09-21,365.664
2001-09-24,376.495
2001-09-25,379.139
2001-09-26,375.962
2001-09-27,380.393
2001-09-28,390.076
2001-10-01,386.007
2001-10-02,390.745
2001-10-03,398.418
2001-10-04,399.46
2001-10-05,397.668
2001-10-08,393.541
2001-10-09,392.449
2001-10-10,400.277
2001-10-11,406.763
2001-10-12,403.184
2001-10-15,403.842
2001-10-16,407.667
2001-10-17,400.225
2001-10-18,396.343
2001-10-19,398.441
2001-10-22,402.257
2001-10-23,400.141
2001-10-24,399.112
2001-10-25,403.198
2001-10-26,405.584
2001-10-29,399.877
2001-10-30,394.578
2001-10-31,396.638
2001-11-01,401.691
2001-11-02,402.128
2001-11-05,407.602
2001-11-06,412.105
2001-11-07,411.375
2001-11-08,410.732
2001-11-09,410.2
2001-11-12,409.96
2001-11-13,416.085
2001-11-14,418.044
2001-11-15,417.523
2001-11-16,418.354
2001-11-19,422.435
2001-11-20,421.39
2001-11-21,419.367
2001-11-22,419.367
2001-11-23,424.019
2001-11-26,425.456
2001-11-27,424.591
2001-11-28,420.298
2001-11-29,425.143
2001-11-30,424.074
2001-12-03,422.131
2001-12-04,428.313
2001-12-05,436.018
2001-12-06,437.111
2001-12-07,436.867
2001-12-10,431.831
2001-12-11,431.514
2001-12-12,431.078
2001-12-13,427.129
2001-12-14,429.445
2001-12-17,432.469
2001-12-18,437.469
2001-12-19,438.172
2001-12-20,435.944
2001-12-21,439.566
2001-12-24,441.486
2001-12-25,441.486
2001-12-26,444.549
2001-12-27,447.038
2001-12-28,449.01
2001-12-31,447.055
2002-01-01,447.048
2002-01-02,445.727
2002-01-03,448.824
2002-01-04,452.862
2002-01-07,451.161
2002-01-08,450.482
2002-01-09,449.185
2002-01-10,448.451
2002-01-11,445.095
2002-01-14,441.133
2002-01-15,443.093
2002-01-16,438.124
2002-01-17,441.383
2002-01-18,438.593
2002-01-21,438.593
2002-01-22,436.675
2002-01-23,441.178
2002-01-24,444.12
2002-01-25,445.876
2002-01-28,447.07
2002-01-29,440.366
2002-01-30,444.142
2002-01-31,448.737
2002-02-01,447.234
2002-02-04,440.446
2002-02-05,438.865
2002-02-06,435.584
2002-02-07,433.725
2002-02-08,438.994
2002-02-11,444.251
2002-02-12,444.079
2002-02-13,448.645
2002-02-14,447.378
2002-02-15,446.733
2002-02-18,446.733
2002-02-19,440.878
2002-02-20,445.407
2002-02-21,442.432
2002-02-22,446.38
2002-02-25,450.102
2002-02-26,452.664
2002-02-27,454.62
2002-02-28,453.88
2002-03-01,459.387
2002-03-04,467.67
2002-03-05,467.332
2002-03-06,474.257
2002-03-07,473.808
2002-03-08,475.148
2002-03-11,476.265
2002-03-12,475.459
2002-03-13,473.312
2002-03-14,475.029
2002-03-15,478.051
2002-03-18,479.898
2002-03-19,482.217
2002-03-20,478.055
2002-03-21,479.727
2002-03-22,478.413
2002-03-25,473.247
2002-03-26,477.007
2002-03-27,482.279
2002-03-28,483.117
2002-03-29,483.117
2002-04-01,481.544
2002-04-02,480.124
2002-04-03,475.987
2002-04-04,477.582
2002-04-05,478.984
2002-04-08,482.9
2002-04-09,484.48
2002-04-10,492.163
2002-04-11,486.999
2002-04-12,491.315
2002-04-15,488.657
2002-04-16,494.163
2002-04-17,493.084
2002-04-18,492.135
2002-04-19,492.546
2002-04-22,487.956
2002-04-23,488.383
2002-04-24,487.127
2002-04-25,488.092
2002-04-26,484.61
2002-04-29,482.066
2002-04-30,488.433
2002-05-01,490.02
2002-05-02,492.505
2002-05-03,492.195
2002-05-06,485.377
2002-05-07,483.75
2002-05-08,489.308
2002-05-09,484.656
2002-05-10,478.828
2002-05-13,482.713
2002-05-14,490.048
2002-05-15,489.814
2002-05-16,487.3
2002-05-17,488.431
2002-05-20,485.223
2002-05-21,481.307
2002-05-22,481.689
2002-05-23,487.203
2002-05-24,484.398
2002-05-27,484.398
2002-05-28,481.872
2002-05-29,479.955
2002-05-30,478.876
2002-05-31,480.924
2002-06-03,470.785
2002-06-04,468.269
2002-06-05,470.159
2002-06-06,462.543
2002-06-07,465.243
2002-06-10,465.337
2002-06-11,459.177
2002-06-12,459.323
2002-06-13,454.776
2002-06-14,455.019
2002-06-17,466.046
2002-06-18,466.339
2002-06-19,461.673
2002-06-20,458.522
2002-06-21,456.686
2002-06-24,453.767
2002-06-25,448.882
2002-06-26,445.035
2002-06-27,449.903
2002-06-28,454.85
2002-07-01,446.411
2002-07-02,435.482
2002-07-03,431.199
2002-07-04,431.199
2002-07-05,443.147
2002-07-08,438.323
2002-07-09,430.542
2002-07-10,419.416
2002-07-11,417.952
2002-07-12,414.465
2002-07-15,411.512
2002-07-16,406.546
2002-07-17,405.825
2002-07-18,396.258
2002-07-19,384.43
2002-07-22,374.067
2002-07-23,360.595
2002-07-24,377.05
2002-07-25,381.254
2002-07-26,385.221
2002-07-29,404.427
2002-07-30,406.413
2002-07-31,407.344
2002-08-01,401.079
2002-08-02,389.791
2002-08-05,380.407
2002-08-06,391.142
2002-08-07,395.67
2002-08-08,404.112
2002-08-09,405.384
2002-08-12,405.76
2002-08-13,397.24
2002-08-14,407.829
2002-08-15,411.195
2002-08-16,410.983
2002-08-19,416.412
2002-08-20,413.219
2002-08-21,418.596
2002-08-22,423.969
2002-08-23,417.046
2002-08-26,422.749
2002-08-27,418.317
2002-08-28,412.291
2002-08-29,412.564
2002-08-30,412.427
2002-09-02,412.427
2002-09-03,401.248
2002-09-04,407.257
2002-09-05,401.93
2002-09-06,407.75
2002-09-09,409.503
2002-09-10,409.169
2002-09-11,409.271
2002-09-12,400.783
2002-09-13,403.107
2002-09-16,400.908
2002-09-17,393.199
2002-09-18,391.284
2002-09-19,381.637
2002-09-20,382.836
2002-09-23,376.978
2002-09-24,369.832
2002-09-25,377.443
2002-09-26,386.086
2002-09-27,376.009
2002-09-30,373.953
2002-10-01,383.319
2002-10-02,372.546
2002-10-03,368.407
2002-10-04,359.292
2002-10-07,350.18
2002-10-08,353.066
2002-10-09,338.293
2002-10-10,352.413
2002-10-11,362.926
2002-10-14,363.925
2002-10-15,378.49
2002-10-16,368.381
2002-10-17,378.783
2002-10-18,379.427
2002-10-21,387.452
2002-10-22,380.786
2002-10-23,384.78
2002-10-24,380.99
2002-10-25,386.406
2002-10-28,383.093
2002-10-29,380.283
2002-10-30,384.256
2002-10-31,384.44
2002-11-01,391.717
2002-11-04,393.671
2002-11-05,393.6
2002-11-06,399.343
2002-11-07,389.985
2002-11-08,385.369
2002-11-11,378.613
2002-11-12,381.516
2002-11-13,381.596
2002-11-14,390.417
2002-11-15,392.944
2002-11-18,389.651
2002-11-19,387.887
2002-11-20,394.718
2002-11-21,403.292
2002-11-22,404.951
2002-11-25,407.203
2002-11-26,401.458
2002-11-27,410.311
2002-11-28,410.318
2002-11-29,409.806
2002-12-02,410.04
2002-12-03,405.012
2002-12-04,402.386
2002-12-05,399.66
2002-12-06,401.334
2002-12-09,395.096
2002-12-10,400.591
2002-12-11,401.713
2002-12-12,402.293
2002-12-13,398.472
2002-12-16,406.123
2002-12-17,403.939
2002-12-18,399.413
2002-12-19,397.462
2002-12-20,401.748
2002-12-23,402.368
2002-12-24,400.999
2002-12-25,400.999
2002-12-26,402.222
2002-12-27,397.266
2002-12-30,398.954
2002-12-31,400.598
2003-01-01,400.598
2003-01-02,410.759
2003-01-03,409.578
2003-01-06,417.777
2003-01-07,412.981
2003-01-08,409.293
2003-01-09,415.16
2003-01-10,414.58
2003-01-13,413.902
2003-01-14,414.959
2003-01-15,411.558
2003-01-16,410.409
2003-01-17,406.284
2003-01-20,406.276
2003-01-21,400.311
2003-01-22,396.659
2003-01-23,400.332
2003-01-24,391.825
2003-01-27,384.672
2003-01-28,388.932
2003-01-29,390.612
2003-01-30,384.88
2003-01-31,390.133
2003-02-03,390.687
2003-02-04,387.215
2003-02-05,384.976
2003-02-06,382.085
2003-02-07,377.608
2003-02-10,380.613
2003-02-11,377.401
2003-02-12,372.449
2003-02-13,372.274
2003-02-14,376.482
2003-02-17,376.482
2003-02-18,382.699
2003-02-19,379.823
2003-02-20,378.382
2003-02-21,383.668
2003-02-24,377.723
2003-02-25,380.074
2003-02-26,376.582
2003-02-27,380.299
2003-02-28,381.078
2003-03-03,379.999
2003-03-04,374.625
2003-03-05,375.881
2003-03-06,373.628
2003-03-07,375.396
2003-03-10,367.462
2003-03-11,363.581
2003-03-12,362.699
2003-03-13,372.158
2003-03-14,371.855
2003-03-17,382.488
2003-03-18,384.674
2003-03-19,386.05
2003-03-20,388.49
2003-03-21,396.981
2003-03-24,385.094
2003-03-25,389.356
2003-03-26,386.474
2003-03-27,386.84
2003-03-28,386.426
2003-03-31,382.847
2003-04-01,387.291
2003-04-02,394.162
2003-04-03,391.699
2003-04-04,392.109
2003-04-07,393.686
2003-04-08,391.748
2003-04-09,388.987
2003-04-10,390.696
2003-04-11,389.555
2003-04-14,396.105
2003-04-15,399.114
2003-04-16,395.963
2003-04-17,400.895
2003-04-18,400.895
2003-04-21,402.229
2003-04-22,409.953
2003-04-23,412.3
2003-04-24,409.74
2003-04-25,405.249
2003-04-28,411.717
2003-04-29,412.316
2003-04-30,413.333
2003-05-01,412.407
2003-05-02,418.687
2003-05-05,419.905
2003-05-06,423.224
2003-05-07,422.018
2003-05-08,419.596
2003-05-09,424.919
2003-05-12,429.333
2003-05-13,429.823
2003-05-14,429.877
2003-05-15,432.85
2003-05-16,433.227
2003-05-19,425.188
2003-05-20,425.605
2003-05-21,427.809
2003-05-22,431.679
2003-05-23,435.868
2003-05-26,435.868
2003-05-27,442.759
2003-05-28,443.014
2003-05-29,441.165
2003-05-30,450.489
2003-06-02,453.328
2003-06-03,452.915
2003-06-04,459.645
2003-06-05,462.291
2003-06-06,461.11
2003-06-09,453.829
2003-06-10,457.769
2003-06-11,463.756
2003-06-12,464.576
2003-06-13,458.762
2003-06-16,466.831
2003-06-17,465.751
2003-06-18,463.86
2003-06-19,458.615
2003-06-20,458.517
2003-06-23,451.447
2003-06-24,452.643
2003-06-25,451.883
2003-06-26,456.019
2003-06-27,454.112
2003-06-30,453.572
2003-07-01,455.631
2003-07-02,461.67
2003-07-03,459.602
2003-07-04,459.602
2003-07-07,466.023
2003-07-08,469.292
2003-07-09,468.524
2003-07-10,461.729
2003-07-11,465.391
2003-07-14,468.787
2003-07-15,466.47
2003-07-16,464.016
2003-07-17,458.509
2003-07-18,463.612
2003-07-21,458.445
2003-07-22,463.29
2003-07-23,462.929
2003-07-24,462.751
2003-07-25,467.638
2003-07-28,467.948
2003-07-29,466.457
2003-07-30,466.987
2003-07-31,468.514
2003-08-01,463.34
2003-08-04,462.201
2003-08-05,456.346
2003-08-06,456.329
2003-08-07,458.233
2003-08-08,460.094
2003-08-11,461.628
2003-08-12,466.417
2003-08-13,465.117
2003-08-14,468.698
2003-08-15,469.086
2003-08-18,473.308
2003-08-19,476.531
2003-08-20,477.822
2003-08-21,481.488
2003-08-22,475.048
2003-08-25,474.181
2003-08-26,475.491
2003-08-27,476.996
2003-08-28,480.702
2003-08-29,483.744
2003-09-01,483.744
2003-09-02,490.478
2003-09-03,492.999
2003-09-04,493.075
2003-09-05,490.278
2003-09-08,495.197
2003-09-09,491.419
2003-09-10,483.53
2003-09-11,486.333
2003-09-12,488.046
2003-09-15,487.137
2003-09-16,492.536
2003-09-17,490.595
2003-09-18,496.281
2003-09-19,497.012
2003-09-22,491.818
2003-09-23,495.098
2003-09-24,487.996
2003-09-25,482.699
2003-09-26,478.644
2003-09-29,483.902
2003-09-30,481.18
2003-10-01,491.309
2003-10-02,493.573
2003-10-03,499.312
2003-10-06,502.249
2003-10-07,503.898
2003-10-08,502.514
2003-10-09,505.127
2003-10-10,504.606
2003-10-13,509.796
2003-10-14,512.151
2003-10-15,509.552
2003-10-16,510.804
2003-10-17,505.424
2003-10-20,506.042
2003-10-21,506.534
2003-10-22,499.913
2003-10-23,500.645
2003-10-24,498.968
2003-10-27,503.833
2003-10-28,509.025
2003-10-29,512.089
2003-10-30,513.221
2003-10-31,514.146
2003-11-03,520.022
2003-11-04,519.343
2003-11-05,519.527
2003-11-06,523.338
2003-11-07,522.854
2003-11-10,517.685
2003-11-11,516.118
2003-11-12,522.926
2003-11-13,524.031
2003-11-14,520.192
2003-11-17,515.603
2003-11-18,511.604
2003-11-19,513.902
2003-11-20,511.139
2003-11-21,513.105
2003-11-24,521.97
2003-11-25,526.142
2003-11-26,528.854
2003-11-27,528.854
2003-11-28,529.203
2003-12-01,536.355
2003-12-02,535.822
2003-12-03,533.79
