Date,USA SMID VALUE SMID (Small+Mid Cap)
2001-01-01,426.605
2001-01-02,415.615
2001-01-03,427.178
2001-01-04,423.615
2001-01-05,416.117
2001-01-08,415.78
2001-01-09,415.398
2001-01-10,421.397
2001-01-11,423.527
2001-01-12,423.22
2001-01-15,423.22
2001-01-16,427.704
2001-01-17,428.657
2001-01-18,428.444
2001-01-19,424.15
2001-01-22,427.131
2001-01-23,434.121
2001-01-24,435.02
2001-01-25,434.872
2001-01-26,434.326
2001-01-29,440.153
2001-01-30,442.947
2001-01-31,441.827
2001-02-01,442.708
2001-02-02,438.897
2001-02-05,440.227
2001-02-06,441.679
2001-02-07,442.183
2001-02-08,441.269
2001-02-09,439.324
2001-02-12,444.089
2001-02-13,443.71
2001-02-14,443.275
2001-02-15,445.596
2001-02-16,440.671
2001-02-19,440.671
2001-02-20,436.186
2001-02-21,431.135
2001-02-22,427.77
2001-02-23,426.163
2001-02-26,434.734
2001-02-27,431.628
2001-02-28,429.338
2001-03-01,428.671
2001-03-02,433.495
2001-03-05,434.971
2001-03-06,438.228
2001-03-07,441.495
2001-03-08,442.316
2001-03-09,436.896
2001-03-12,425.319
2001-03-13,426.357
2001-03-14,417.72
2001-03-15,418.798
2001-03-16,412.627
2001-03-19,418.358
2001-03-20,413.948
2001-03-21,406.628
2001-03-22,400.631
2001-03-23,407.776
2001-03-26,413.179
2001-03-27,417.213
2001-03-28,411.675
2001-03-29,412.711
2001-03-30,418.538
2001-04-02,413.412
2001-04-03,402.743
2001-04-04,402.688
2001-04-05,414.863
2001-04-06,406.766
2001-04-09,411.603
2001-04-10,419.991
2001-04-11,417.24
2001-04-12,420.908
2001-04-13,420.908
2001-04-16,419.622
2001-04-17,423.2
2001-04-18,432.481
2001-04-19,434.375
2001-04-20,431.161
2001-04-23,428.443
2001-04-24,428.54
2001-04-25,434.186
2001-04-26,437.654
2001-04-27,442.478
2001-04-30,444.044
2001-05-01,446.555
2001-05-02,446.481
2001-05-03,442.32
2001-05-04,447.473
2001-05-07,446.172
2001-05-08,447.237
2001-05-09,447.373
2001-05-10,449.35
2001-05-11,447.517
2001-05-14,448.337
2001-05-15,451.278
2001-05-16,459.316
2001-05-17,463.424
2001-05-18,464.492
2001-05-21,470.471
2001-05-22,470.686
2001-05-23,464.711
2001-05-24,465.508
2001-05-25,463.866
2001-05-28,463.866
2001-05-29,460.832
2001-05-30,455.539
2001-05-31,459.675
2001-06-01,461.844
2001-06-04,464.246
2001-06-05,468.53
2001-06-06,465.297
2001-06-07,466.059
2001-06-08,464.119
