Date,USA SMID VALUE SMID (Small+Mid Cap)
1994-05-31,185.373
1994-06-30,182.4
1994-07-29,187.805
1994-08-31,194.079
1994-09-30,190.241
1994-10-31,187.879
1994-11-30,179.889
1994-12-30,183.696
1995-01-31,186.17
1995-02-28,194.47
1995-03-31,196.691
1995-04-28,201.147
1995-05-31,206.839
1995-06-30,212.99
1995-07-31,220.88
1995-08-31,226.14
1995-09-29,230.197
1995-10-31,224.33
1995-11-30,234.645
1995-12-29,239.284
1996-01-31,241.523
1996-02-29,245.14
1996-03-29,250.082
1996-04-30,254.618
1996-05-31,259.301
1996-06-28,257.652
1996-07-31,245.279
1996-08-30,256.264
1996-09-30,265.093
1996-10-31,268.78
1996-11-29,283.202
1996-12-31,288.965
1997-01-31,296.089
1997-02-28,300.021
1997-03-31,290.328
1997-04-30,294.954
1997-05-30,316.156
1997-06-30,331.868
1997-07-31,352.142
1997-08-29,353.227
1997-09-30,376.467
1997-10-31,366.311
1997-11-28,374.507
1997-12-31,389.789
1998-01-30,381.853
1998-02-27,405.903
1998-03-31,424.98
1998-04-30,425.131
1998-05-29,412.43
1998-06-30,408.171
1998-07-31,386.065
1998-08-31,324.283
1998-09-30,340.351
1998-10-30,357.418
1998-11-30,370.611
1998-12-31,379.556
1999-01-29,370.112
1999-02-26,353.899
1999-03-31,357.072
1999-04-30,393.075
1999-05-31,396.463
1999-06-30,407.905
1999-07-30,398.026
1999-08-31,383.24
1999-09-30,369.34
1999-10-29,374.31
1999-11-30,376.414
1999-12-31,389.09
2000-01-31,372.574
2000-02-29,372.792
2000-03-31,396.735
2000-04-28,389.78
2000-05-31,387.261
2000-06-30,385.723
2000-07-31,391.638
2000-08-31,416.405
2000-09-29,412.554
2000-10-31,407.551
2000-11-30,392.048
2000-12-29,426.605
2001-01-31,441.827
2001-02-28,429.338
2001-03-30,418.538
2001-04-30,444.044
2001-05-31,459.675
2001-06-29,464.659
2001-07-31,459.959
2001-08-31,452.145
2001-09-28,404.89
2001-10-31,411.609
2001-11-30,439.937
2001-12-31,463.616
2002-01-31,465.277
2002-02-28,470.48
2002-03-29,500.632
2002-04-30,506.06
2002-05-31,498.13
2002-06-28,470.933
2002-07-31,421.64
2002-08-30,426.62
2002-09-30,386.525
2002-10-31,397.133
2002-11-29,422.997
2002-12-31,413.102
2003-01-31,402.15
2003-02-28,392.5
2003-03-31,393.98
2003-04-30,425.154
2003-05-30,463.034
2003-06-30,465.853
2003-07-31,480.975
2003-08-29,496.273
2003-09-30,493.296
2003-10-31,526.88
2003-11-28,541.952
2003-12-31,568.173
2004-01-30,582.473
2004-02-27,598.638
2004-03-31,603.165
2004-04-30,577.512
2004-05-31,590.112
2004-06-30,612.4
2004-07-30,595.111
2004-08-31,602.826
2004-09-30,621.68
2004-10-29,633.91
2004-11-30,676.812
2004-12-31,700.579
2005-01-31,678.595
2005-02-28,700.19
2005-03-31,692.577
2005-04-29,670.915
2005-05-31,700.98
2005-06-30,722.89
2005-07-29,762.037
2005-08-31,751.525
2005-09-30,757.322
2005-10-31,734.956
2005-11-30,766.087
2005-12-30,769.359
2006-01-31,809.159
2006-02-28,811.207
2006-03-31,832.102
2006-04-28,838.536
2006-05-31,812.502
2006-06-30,818.727
2006-07-31,813.334
2006-08-31,831.712
2006-09-29,839.786
2006-10-31,876.907
2006-11-30,906.385
2006-12-29,911.767
2007-01-31,936.869
2007-02-28,936.194
2007-03-30,941.496
2007-04-30,965.538
2007-05-31,1000.0
2007-06-29,970.366
2007-07-31,903.44
2007-08-31,909.831
2007-09-28,919.866
2007-10-31,922.256
2007-11-30,868.033
2007-12-31,849.924
2008-01-31,818.35
2008-02-29,782.401
2008-03-31,781.852
2008-04-30,814.683
2008-05-30,843.11
2008-06-30,749.395
2008-07-31,762.639
2008-08-29,790.681
2008-09-30,740.367
2008-10-31,579.74
2008-11-28,527.029
2008-12-31,557.668
2009-01-30,497.757
2009-02-27,429.859
2009-03-31,467.508
2009-04-30,551.549
2009-05-29,572.658
2009-06-30,570.703
2009-07-31,632.615
2009-08-31,677.537
2009-09-30,714.906
2009-10-30,674.687
2009-11-30,705.259
2009-12-31,747.509
2010-01-29,727.447
2010-02-26,761.329
2010-03-31,818.903
2010-04-30,857.406
2010-05-31,791.357
2010-06-30,735.691
2010-07-30,788.803
2010-08-31,743.693
2010-09-30,816.013
2010-10-29,845.131
2010-11-30,853.045
2010-12-31,920.66
2011-01-31,935.49
2011-02-28,973.574
2011-03-31,983.073
2011-04-29,1009.467
2011-05-31,995.513
2011-06-30,970.203
2011-07-29,932.65
2011-08-31,864.173
2011-09-30,778.956
2011-10-31,884.025
2011-11-30,882.395
2011-12-30,892.071
2012-01-31,945.432
2012-02-29,978.485
2012-03-30,1000.127
2012-04-30,993.679
2012-05-31,925.618
2012-06-29,959.819
2012-07-31,961.953
2012-08-31,990.041
2012-09-28,1014.548
2012-10-31,1012.036
2012-11-30,1019.894
2012-12-31,1049.971
2013-01-31,1124.6
2013-02-28,1144.409
2013-03-29,1197.187
2013-04-30,1209.697
2013-05-31,1230.242
2013-06-28,1215.505
2013-07-31,1287.891
2013-08-30,1235.005
2013-09-30,1290.377
2013-10-31,1345.37
2013-11-29,1368.601
2013-12-31,1402.157
2014-01-31,1365.176
2014-02-28,1432.245
2014-03-31,1453.73
2014-04-30,1445.431
2014-05-30,1466.131
2014-06-30,1518.559
2014-07-31,1458.906
2014-08-29,1525.5
2014-09-30,1453.555
2014-10-31,1516.126
2014-11-28,1529.76
2014-12-31,1548.976
2015-01-30,1513.948
2015-02-27,1583.461
2015-03-31,1589.438
2015-04-30,1571.666
2015-05-29,1593.73
2015-06-30,1560.122
2015-07-31,1549.763
2015-08-31,1468.582
2015-09-30,1421.631
2015-10-30,1505.847
2015-11-30,1526.88
2015-12-31,1465.479
2016-01-29,1374.093
2016-02-29,1389.278
2016-03-31,1511.806
2016-04-29,1540.143
2016-05-31,1562.204
2016-06-30,1570.416
2016-07-29,1641.179
2016-08-31,1649.487
2016-09-30,1658.818
2016-10-31,1613.868
2016-11-30,1752.061
2016-12-30,1794.927
2017-01-31,1823.51
2017-02-28,1871.863
2017-03-31,1853.114
2017-04-28,1857.804
2017-05-31,1833.425
2017-06-30,1873.07
2017-07-31,1900.062
2017-08-31,1872.257
2017-09-29,1947.897
2017-10-31,1959.34
2017-11-30,2024.428
2017-12-29,2033.732
2018-01-31,2074.107
2018-02-28,1974.923
2018-03-30,1986.491
2018-04-30,1998.393
2018-05-31,2047.989
2018-06-29,2063.114
2018-07-31,2105.684
2018-08-31,2139.564
2018-09-28,2103.315
2018-10-31,1946.827
2018-11-30,1982.286
2018-12-31,1769.595
2019-01-31,1963.42
2019-02-28,2025.932
2019-03-29,2006.761
2019-04-30,2076.306
2019-05-31,1923.612
2019-06-28,2035.646
2019-07-31,2058.296
2019-08-30,1969.209
2019-09-30,2059.073
2019-10-31,2084.343
2019-11-29,2130.92
2019-12-31,2190.573
2020-01-31,2122.874
2020-02-28,1900.193
2020-03-31,1412.586
2020-04-30,1602.174
2020-05-29,1665.328
2020-06-30,1699.421
2020-07-31,1763.054
2020-08-31,1833.831
2020-09-30,1778.196
2020-10-30,1808.404
2020-11-30,2102.081
2020-12-31,2218.384
2021-01-29,2246.801
2021-02-26,2416.768
2021-03-31,2544.994
2021-04-30,2662.642
2021-05-31,2717.209
2021-06-30,2688.606
2021-07-30,2677.869
2021-08-31,2743.278
2021-09-30,2657.006
2021-10-29,2788.834
2021-11-30,2704.956
2021-12-31,2856.695
2022-01-31,2735.145
2022-02-28,2740.223
2022-03-31,2792.128
2022-04-29,2619.4
2022-05-31,2657.527
2022-06-30,2375.745
2022-07-29,2586.018
2022-08-31,2518.455
2022-09-30,2265.124
2022-10-31,2503.643
2022-11-30,2638.892
2022-12-30,2491.938
2023-01-31,2703.528
2023-02-28,2623.718
2023-03-31,2476.181
2023-04-28,2457.48
2023-05-31,2360.686
2023-06-30,2558.484
2023-07-31,2682.485
2023-08-31,2579.137
2023-09-29,2446.35
2023-10-31,2327.036
2023-11-30,2537.649
2023-12-29,2773.222
2024-01-31,2706.317
2024-02-29,2803.807
2024-03-29,2951.98
2024-04-30,2796.091
2024-05-31,2890.447
2024-06-28,2833.036
2024-07-31,3044.6
2024-08-30,3089.562
2024-09-30,3144.253
2024-10-31,3107.545
2024-11-29,3348.954
2024-12-31,3095.3
2025-01-31,3201.592
2025-02-28,3119.524
2025-03-31,2985.811
2025-04-30,2885.955
2025-05-30,3005.049
2025-06-30,3106.417
