Date,USA Standard (Large+Mid Cap)
2001-01-01,2723.625
2001-01-02,2651.476
2001-01-03,2784.465
2001-01-04,2752.528
2001-01-05,2678.924
2001-01-08,2672.651
2001-01-09,2688.082
2001-01-10,2713.941
2001-01-11,2740.529
2001-01-12,2725.463
2001-01-15,2725.463
2001-01-16,2746.05
2001-01-17,2748.76
2001-01-18,2785.769
2001-01-19,2776.683
2001-01-22,2774.82
2001-01-23,2808.784
2001-01-24,2821.068
2001-01-25,2805.947
2001-01-26,2800.469
2001-01-29,2817.342
2001-01-30,2838.448
2001-01-31,2822.458
2001-02-01,2837.565
2001-02-02,2785.112
2001-02-05,2796.798
2001-02-06,2794.733
2001-02-07,2771.628
2001-02-08,2753.54
2001-02-09,2710.884
2001-02-12,2745.277
2001-02-13,2720.331
2001-02-14,2713.098
2001-02-15,2736.004
2001-02-16,2693.004
2001-02-19,2693.004
2001-02-20,2647.042
2001-02-21,2598.667
2001-02-22,2592.076
2001-02-23,2577.502
2001-02-26,2626.518
2001-02-27,2606.919
2001-02-28,2569.236
2001-03-01,2571.378
2001-03-02,2553.256
2001-03-05,2567.703
2001-03-06,2590.113
2001-03-07,2606.417
2001-03-08,2612.468
2001-03-09,2548.986
2001-03-12,2435.087
2001-03-13,2476.386
2001-03-14,2411.454
2001-03-15,2424.773
2001-03-16,2374.854
2001-03-19,2417.143
2001-03-20,2358.476
2001-03-21,2314.38
2001-03-22,2302.61
2001-03-23,2349.931
2001-03-26,2380.719
2001-03-27,2446.451
2001-03-28,2387.441
2001-03-29,2378.598
2001-03-30,2404.759
2001-04-02,2374.716
2001-04-03,2290.212
2001-04-04,2283.843
2001-04-05,2385.868
2001-04-06,2339.87
2001-04-09,2359.864
2001-04-10,2421.578
2001-04-11,2414.717
2001-04-12,2448.733
2001-04-13,2448.733
2001-04-16,2443.181
2001-04-17,2470.271
2001-04-18,2564.353
2001-04-19,2599.424
2001-04-20,2578.574
2001-04-23,2539.466
2001-04-24,2507.589
2001-04-25,2550.111
2001-04-26,2563.2
2001-04-27,2598.518
2001-04-30,2591.423
2001-05-01,2628.593
2001-05-02,2631.609
2001-05-03,2591.962
2001-05-04,2631.013
2001-05-07,2625.236
2001-05-08,2619.31
2001-05-09,2607.061
2001-05-10,2605.876
2001-05-11,2586.15
2001-05-14,2594.68
2001-05-15,2593.9
2001-05-16,2667.937
2001-05-17,2673.535
2001-05-18,2678.133
2001-05-21,2716.496
2001-05-22,2709.793
2001-05-23,2669.126
2001-05-24,2679.333
2001-05-25,2648.357
2001-05-28,2648.357
2001-05-29,2627.818
2001-05-30,2589.319
2001-05-31,2605.836
2001-06-01,2616.523
2001-06-04,2630.885
2001-06-05,2662.88
2001-06-06,2635.008
2001-06-07,2648.106
2001-06-08,2623.523
2001-06-11,2604.225
2001-06-12,2607.282
2001-06-13,2579.678
2001-06-14,2536.291
2001-06-15,2522.425
2001-06-18,2511.814
2001-06-19,2520.932
2001-06-20,2548.529
2001-06-21,2576.119
2001-06-22,2550.382
2001-06-25,2535.172
2001-06-26,2528.771
2001-06-27,2518.29
2001-06-28,2551.929
2001-06-29,2545.701
2001-07-02,2574.713
2001-07-03,2568.601
2001-07-04,2568.601
2001-07-05,2534.83
2001-07-06,2476.776
2001-07-09,2496.667
2001-07-10,2462.422
2001-07-11,2460.106
2001-07-12,2518.719
2001-07-13,2534.484
2001-07-16,2510.193
2001-07-17,2536.125
2001-07-18,2522.59
2001-07-19,2537.564
2001-07-20,2528.203
2001-07-23,2485.508
2001-07-24,2444.718
2001-07-25,2483.267
2001-07-26,2506.077
2001-07-27,2509.429
2001-07-30,2508.522
2001-07-31,2521.202
2001-08-01,2530.136
2001-08-02,2541.454
2001-08-03,2528.992
2001-08-06,2499.46
2001-08-07,2509.822
2001-08-08,2466.527
2001-08-09,2466.01
2001-08-10,2480.604
2001-08-13,2480.861
2001-08-14,2469.338
2001-08-15,2451.088
2001-08-16,2459.334
2001-08-17,2416.452
2001-08-20,2436.017
2001-08-21,2405.876
2001-08-22,2421.646
2001-08-23,2414.309
2001-08-24,2462.264
2001-08-27,2449.876
2001-08-28,2412.684
2001-08-29,2383.654
2001-08-30,2341.422
2001-08-31,2352.659
2001-09-03,2352.659
2001-09-04,2355.569
2001-09-05,2356.002
2001-09-06,2301.946
2001-09-07,2258.07
2001-09-10,2276.09
2001-09-11,2276.09
2001-09-12,2276.09
2001-09-13,2276.09
2001-09-14,2276.09
2001-09-17,2160.493
2001-09-18,2149.61
2001-09-19,2116.164
2001-09-20,2050.394
2001-09-21,2012.866
2001-09-24,2094.442
2001-09-25,2111.266
2001-09-26,2102.779
2001-09-27,2125.618
2001-09-28,2172.111
2001-10-01,2168.828
2001-10-02,2194.567
2001-10-03,2237.365
2001-10-04,2230.179
2001-10-05,2233.202
2001-10-08,2215.002
2001-10-09,2201.837
2001-10-10,2253.196
2001-10-11,2287.326
2001-10-12,2275.67
2001-10-15,2272.981
2001-10-16,2288.673
2001-10-17,2245.519
2001-10-18,2229.94
2001-10-19,2240.806
2001-10-22,2276.229
2001-10-23,2264.358
2001-10-24,2263.007
2001-10-25,2292.131
2001-10-26,2299.937
2001-10-29,2243.9
2001-10-30,2205.766
2001-10-31,2203.209
2001-11-01,2253.967
2001-11-02,2258.601
2001-11-05,2289.252
2001-11-06,2323.953
2001-11-07,2317.307
2001-11-08,2325.541
2001-11-09,2329.788
2001-11-12,2324.577
2001-11-13,2367.986
2001-11-14,2375.628
2001-11-15,2380.27
2001-11-16,2372.115
2001-11-19,2398.42
2001-11-20,2380.225
2001-11-21,2368.261
2001-11-22,2368.261
2001-11-23,2395.996
2001-11-26,2410.087
2001-11-27,2392.619
2001-11-28,2349.32
2001-11-29,2373.322
2001-11-30,2371.904
2001-12-03,2351.467
2001-12-04,2382.113
2001-12-05,2434.489
2001-12-06,2429.185
2001-12-07,2409.953
2001-12-10,2371.255
2001-12-11,2364.185
2001-12-12,2365.425
2001-12-13,2328.535
2001-12-14,2335.405
2001-12-17,2360.248
2001-12-18,2377.731
2001-12-19,2393.464
2001-12-20,2373.825
2001-12-21,2382.193
2001-12-24,2380.423
2001-12-25,2380.423
2001-12-26,2390.31
2001-12-27,2407.228
2001-12-28,2414.554
2001-12-31,2386.119
2002-01-01,2386.119
2002-01-02,2402.231
2002-01-03,2426.06
2002-01-04,2441.946
2002-01-07,2425.631
2002-01-08,2417.431
2002-01-09,2405.664
2002-01-10,2408.576
2002-01-11,2385.855
2002-01-14,2371.174
2002-01-15,2388.727
2002-01-16,2350.153
2002-01-17,2374.964
2002-01-18,2349.697
2002-01-21,2349.697
2002-01-22,2331.314
2002-01-23,2349.25
2002-01-24,2356.912
2002-01-25,2359.779
2002-01-28,2359.865
2002-01-29,2292.392
2002-01-30,2317.06
2002-01-31,2351.732
2002-02-01,2334.058
2002-02-04,2275.564
2002-02-05,2268.695
2002-02-06,2255.535
2002-02-07,2248.86
2002-02-08,2283.447
2002-02-11,2315.622
2002-02-12,2306.416
2002-02-13,2329.768
2002-02-14,2326.532
2002-02-15,2298.089
2002-02-18,2298.089
2002-02-19,2255.066
2002-02-20,2286.055
2002-02-21,2250.493
2002-02-22,2269.428
2002-02-25,2310.281
2002-02-26,2309.614
2002-02-27,2311.092
2002-02-28,2304.703
2002-03-01,2359.926
2002-03-04,2406.905
2002-03-05,2391.073
2002-03-06,2425.335
2002-03-07,2413.04
2002-03-08,2427.673
2002-03-11,2436.388
2002-03-12,2430.644
2002-03-13,2406.813
2002-03-14,2403.882
2002-03-15,2432.091
2002-03-18,2430.729
2002-03-19,2439.51
2002-03-20,2399.888
2002-03-21,2404.361
2002-03-22,2394.728
2002-03-25,2359.865
2002-03-26,2372.88
2002-03-27,2384.471
2002-03-28,2390.039
2002-03-29,2390.039
2002-04-01,2388.204
2002-04-02,2366.543
2002-04-03,2343.62
2002-04-04,2345.44
2002-04-05,2337.685
2002-04-08,2342.012
2002-04-09,2325.089
2002-04-10,2350.201
2002-04-11,2292.258
2002-04-12,2307.832
2002-04-15,2288.879
2002-04-16,2343.242
2002-04-17,2338.498
2002-04-18,2335.856
2002-04-19,2337.185
2002-04-22,2299.627
2002-04-23,2283.91
2002-04-24,2268.237
2002-04-25,2266.105
2002-04-26,2233.38
2002-04-29,2209.923
2002-04-30,2234.445
2002-05-01,2255.506
2002-05-02,2250.302
2002-05-03,2225.258
2002-05-06,2181.37
2002-05-07,2173.921
2002-05-08,2260.303
2002-05-09,2226.073
2002-05-10,2188.743
2002-05-13,2230.366
