Date,WORLD ex USA LARGE CAP Large Cap
1994-05-31,364.607
1994-06-30,370.345
1994-07-29,372.544
1994-08-31,380.983
1994-09-30,370.343
1994-10-31,382.105
1994-11-30,362.837
1994-12-30,366.518
1995-01-31,351.976
1995-02-28,348.243
1995-03-31,372.706
1995-04-28,387.141
1995-05-31,382.034
1995-06-30,376.517
1995-07-31,399.505
1995-08-31,384.948
1995-09-29,393.624
1995-10-31,383.71
1995-11-30,395.136
1995-12-29,409.605
1996-01-31,409.667
1996-02-29,410.143
1996-03-29,418.766
1996-04-30,432.176
1996-05-31,426.216
1996-06-28,428.953
1996-07-31,415.972
1996-08-30,417.624
1996-09-30,429.431
1996-10-31,424.944
1996-11-29,441.74
1996-12-31,435.392
1997-01-31,419.509
1997-02-28,425.344
1997-03-31,426.796
1997-04-30,430.728
1997-05-30,464.031
1997-06-30,489.665
1997-07-31,500.146
1997-08-29,464.395
1997-09-30,490.195
1997-10-31,453.882
1997-11-28,449.396
1997-12-31,453.368
1998-01-30,473.48
1998-02-27,502.587
1998-03-31,517.322
1998-04-30,521.187
1998-05-29,520.474
1998-06-30,524.363
1998-07-31,528.268
1998-08-31,462.444
1998-09-30,451.345
1998-10-30,497.403
1998-11-30,523.567
1998-12-31,543.996
1999-01-29,545.788
1999-02-26,532.629
1999-03-31,556.498
1999-04-30,581.582
1999-05-31,552.5
1999-06-30,576.927
1999-07-30,596.503
1999-08-31,603.391
1999-09-30,614.939
1999-10-29,646.912
1999-11-30,683.793
1999-12-31,748.021
2000-01-31,699.789
2000-02-29,723.728
2000-03-31,745.319
2000-04-28,700.216
2000-05-31,672.025
2000-06-30,697.779
2000-07-31,666.736
2000-08-31,678.906
2000-09-29,642.215
2000-10-31,620.808
2000-11-30,594.007
2000-12-29,607.703
2001-01-31,610.518
2001-02-28,556.64
2001-03-30,518.082
2001-04-30,555.923
2001-05-31,535.354
2001-06-29,513.095
2001-07-31,500.62
2001-08-31,484.672
2001-09-28,439.488
2001-10-31,450.132
2001-11-30,465.592
2001-12-31,466.534
2002-01-31,441.094
2002-02-28,442.467
2002-03-29,467.566
2002-04-30,469.563
2002-05-31,476.002
2002-06-28,456.181
2002-07-31,411.555
2002-08-30,411.671
2002-09-30,366.449
2002-10-31,388.587
2002-11-29,406.148
2002-12-31,392.753
2003-01-31,376.642
2003-02-28,369.964
2003-03-31,362.36
2003-04-30,396.58
2003-05-30,420.446
2003-06-30,429.985
2003-07-31,438.152
2003-08-29,446.861
2003-09-30,459.751
2003-10-31,486.502
2003-11-28,498.315
2003-12-31,537.796
2004-01-30,543.216
2004-02-27,554.791
2004-03-31,556.069
2004-04-30,541.582
2004-05-31,543.27
2004-06-30,553.698
2004-07-30,538.008
2004-08-31,540.025
2004-09-30,555.079
2004-10-29,575.434
2004-11-30,610.796
2004-12-31,635.822
2005-01-31,620.203
2005-02-28,647.813
2005-03-31,633.691
2005-04-29,618.856
2005-05-31,619.875
2005-06-30,629.606
2005-07-29,649.993
2005-08-31,667.617
2005-09-30,698.794
2005-10-31,677.46
2005-11-30,693.36
2005-12-30,723.324
2006-01-31,766.794
2006-02-28,764.359
2006-03-31,786.543
2006-04-28,824.274
2006-05-31,794.738
2006-06-30,794.989
2006-07-31,804.86
2006-08-31,826.709
2006-09-29,824.379
2006-10-31,856.535
2006-11-30,879.315
2006-12-29,902.646
2007-01-31,906.976
2007-02-28,912.955
2007-03-30,933.704
2007-04-30,977.334
2007-05-31,1000.0
2007-06-29,1003.002
2007-07-31,989.295
2007-08-31,977.042
2007-09-28,1035.816
2007-10-31,1081.464
2007-11-30,1046.348
2007-12-31,1027.457
2008-01-31,933.24
2008-02-29,948.381
