Date,WORLD ex USA MID CAP Mid Cap
2001-01-01,423.769
2001-01-02,422.69
2001-01-03,417.893
2001-01-04,418.851
2001-01-05,419.188
2001-01-08,417.424
2001-01-09,412.523
2001-01-10,411.414
2001-01-11,412.005
2001-01-12,414.284
2001-01-15,413.267
2001-01-16,413.138
2001-01-17,415.657
2001-01-18,420.906
2001-01-19,421.83
2001-01-22,420.526
2001-01-23,421.119
2001-01-24,417.569
2001-01-25,419.796
2001-01-26,418.912
2001-01-29,418.998
2001-01-30,422.488
2001-01-31,426.693
2001-02-01,430.903
2001-02-02,426.493
2001-02-05,424.768
2001-02-06,424.189
2001-02-07,421.907
2001-02-08,418.155
2001-02-09,417.876
2001-02-12,419.788
2001-02-13,417.758
2001-02-14,416.066
2001-02-15,415.76
2001-02-16,415.107
2001-02-19,414.095
2001-02-20,412.529
2001-02-21,409.663
2001-02-22,407.072
2001-02-23,406.965
2001-02-26,408.551
2001-02-27,411.814
2001-02-28,407.685
2001-03-01,405.17
2001-03-02,402.869
2001-03-05,401.761
2001-03-06,408.537
2001-03-07,408.413
2001-03-08,409.093
2001-03-09,406.731
2001-03-12,397.673
2001-03-13,388.186
2001-03-14,381.053
2001-03-15,382.768
2001-03-16,375.481
2001-03-19,376.214
2001-03-20,377.832
2001-03-21,376.051
2001-03-22,362.131
2001-03-23,371.071
2001-03-26,381.538
2001-03-27,384.342
2001-03-28,383.351
2001-03-29,377.46
2001-03-30,375.837
2001-04-02,372.329
2001-04-03,370.852
2001-04-04,374.46
2001-04-05,378.925
2001-04-06,380.487
2001-04-09,379.175
2001-04-10,379.915
2001-04-11,381.646
2001-04-12,386.506
2001-04-13,386.694
2001-04-16,383.85
2001-04-17,382.949
2001-04-18,388.946
2001-04-19,396.119
2001-04-20,397.779
2001-04-23,395.32
2001-04-24,394.391
2001-04-25,395.945
2001-04-26,399.875
2001-04-27,398.934
2001-04-30,400.951
2001-05-01,406.351
2001-05-02,407.632
2001-05-03,406.362
2001-05-04,406.744
2001-05-07,407.082
2001-05-08,404.646
2001-05-09,401.62
2001-05-10,402.599
2001-05-11,401.407
2001-05-14,397.071
2001-05-15,399.797
2001-05-16,399.622
2001-05-17,403.855
2001-05-18,403.887
2001-05-21,406.994
2001-05-22,407.301
2001-05-23,406.576
2001-05-24,405.066
2001-05-25,403.331
2001-05-28,403.192
2001-05-29,402.639
2001-05-30,398.958
2001-05-31,397.406
2001-06-01,397.26
2001-06-04,398.102
2001-06-05,398.038
2001-06-06,396.574
2001-06-07,399.183
2001-06-08,398.671
2001-06-11,393.774
2001-06-12,389.337
2001-06-13,391.615
2001-06-14,389.908
2001-06-15,386.721
2001-06-18,384.339
2001-06-19,383.196
2001-06-20,379.728
2001-06-21,381.713
2001-06-22,383.643
2001-06-25,384.418
2001-06-26,383.028
2001-06-27,381.994
2001-06-28,379.852
2001-06-29,383.296
2001-07-02,382.991
2001-07-03,382.577
2001-07-04,380.012
2001-07-05,374.68
