Date,WORLD ex USA MID GROWTH Mid Cap
2001-01-01,537.835
2001-01-02,531.717
2001-01-03,520.862
2001-01-04,524.891
2001-01-05,521.922
2001-01-08,516.132
2001-01-09,509.509
2001-01-10,508.556
2001-01-11,511.673
2001-01-12,520.63
2001-01-15,521.073
2001-01-16,520.002
2001-01-17,528.991
2001-01-18,538.208
2001-01-19,542.997
2001-01-22,539.123
2001-01-23,538.536
2001-01-24,536.073
2001-01-25,538.182
2001-01-26,535.165
2001-01-29,533.949
2001-01-30,539.591
2001-01-31,546.878
2001-02-01,550.271
2001-02-02,542.302
2001-02-05,537.733
2001-02-06,538.381
2001-02-07,532.436
2001-02-08,527.079
2001-02-09,524.438
2001-02-12,526.686
2001-02-13,522.101
2001-02-14,515.388
2001-02-15,516.766
2001-02-16,513.541
2001-02-19,509.939
2001-02-20,506.7
2001-02-21,501.162
2001-02-22,494.884
2001-02-23,492.589
2001-02-26,495.192
2001-02-27,497.956
2001-02-28,489.734
2001-03-01,481.851
2001-03-02,478.943
2001-03-05,477.061
2001-03-06,490.018
2001-03-07,491.846
2001-03-08,490.941
2001-03-09,485.072
2001-03-12,469.269
2001-03-13,456.701
2001-03-14,447.087
2001-03-15,449.839
2001-03-16,440.542
2001-03-19,440.721
2001-03-20,445.165
2001-03-21,439.167
2001-03-22,420.156
2001-03-23,434.859
2001-03-26,450.359
2001-03-27,453.862
2001-03-28,451.9
2001-03-29,443.366
2001-03-30,441.969
2001-04-02,436.36
2001-04-03,427.558
2001-04-04,430.72
2001-04-05,439.416
2001-04-06,440.551
2001-04-09,438.979
2001-04-10,442.072
2001-04-11,446.301
2001-04-12,453.278
2001-04-13,453.526
2001-04-16,449.851
2001-04-17,447.738
2001-04-18,460.655
2001-04-19,473.121
2001-04-20,474.135
2001-04-23,467.899
2001-04-24,465.47
2001-04-25,467.35
2001-04-26,473.634
2001-04-27,473.295
2001-04-30,477.542
2001-05-01,482.826
2001-05-02,486.706
2001-05-03,483.401
2001-05-04,483.114
2001-05-07,484.745
2001-05-08,483.259
2001-05-09,478.173
2001-05-10,479.23
2001-05-11,476.933
2001-05-14,470.259
2001-05-15,473.215
2001-05-16,472.237
2001-05-17,477.443
2001-05-18,477.359
2001-05-21,482.59
2001-05-22,484.939
2001-05-23,482.617
2001-05-24,480.413
2001-05-25,478.697
2001-05-28,478.371
2001-05-29,475.692
2001-05-30,468.145
2001-05-31,465.261
2001-06-01,464.278
2001-06-04,465.631
2001-06-05,466.224
2001-06-06,463.991
2001-06-07,466.889
2001-06-08,465.867
2001-06-11,459.514
2001-06-12,453.052
2001-06-13,456.205
2001-06-14,452.935
2001-06-15,447.882
2001-06-18,443.44
2001-06-19,442.165
2001-06-20,437.299
2001-06-21,439.688
2001-06-22,441.725
2001-06-25,442.66
2001-06-26,438.531
2001-06-27,437.524
2001-06-28,436.046
2001-06-29,441.147
2001-07-02,441.17
2001-07-03,438.839
2001-07-04,434.964
2001-07-05,427.014
2001-07-06,421.501
2001-07-09,419.722
2001-07-10,422.896
2001-07-11,418.857
2001-07-12,422.532
2001-07-13,422.129
2001-07-16,420.989
2001-07-17,416.686
2001-07-18,418.603
2001-07-19,420.655
2001-07-20,420.05
2001-07-23,415.218
2001-07-24,415.742
2001-07-25,415.958
2001-07-26,416.368
2001-07-27,419.793
2001-07-30,419.935
2001-07-31,424.797
2001-08-01,430.366
2001-08-02,438.042
2001-08-03,436.351
2001-08-06,433.69
2001-08-07,431.072
2001-08-08,429.148
2001-08-09,425.355
2001-08-10,426.32
2001-08-13,425.599
2001-08-14,429.878
2001-08-15,433.646
2001-08-16,428.242
2001-08-17,426.797
2001-08-20,421.013
2001-08-21,421.694
2001-08-22,423.227
2001-08-23,419.874
2001-08-24,422.403
2001-08-27,422.125
2001-08-28,418.818
2001-08-29,417.414
2001-08-30,410.576
2001-08-31,408.841
2001-09-03,402.592
2001-09-04,402.795
2001-09-05,396.673
2001-09-06,391.55
2001-09-07,390.56
2001-09-10,382.876
2001-09-11,372.077
2001-09-12,362.347
2001-09-13,364.908
2001-09-14,359.732
2001-09-17,352.404
2001-09-18,350.549
2001-09-19,351.393
2001-09-20,340.39
2001-09-21,330.191
2001-09-24,338.477
2001-09-25,347.284
2001-09-26,349.699
2001-09-27,349.693
2001-09-28,357.45
2001-10-01,354.635
2001-10-02,355.848
2001-10-03,358.421
2001-10-04,367.87
2001-10-05,369.138
2001-10-08,369.417
2001-10-09,369.422
2001-10-10,372.014
2001-10-11,378.203
2001-10-12,379.405
2001-10-15,377.63
2001-10-16,380.951
2001-10-17,387.125
2001-10-18,379.643
2001-10-19,376.796
2001-10-22,377.158
2001-10-23,382.786
2001-10-24,385.022
2001-10-25,384.729
2001-10-26,387.411
2001-10-29,386.749
2001-10-30,380.545
2001-10-31,380.773
2001-11-01,382.565
2001-11-02,382.862
2001-11-05,386.216
2001-11-06,389.995
2001-11-07,390.766
2001-11-08,393.602
2001-11-09,392.995
2001-11-12,388.675
2001-11-13,390.825
2001-11-14,395.73
2001-11-15,399.645
2001-11-16,402.96
2001-11-19,405.049
2001-11-20,400.448
2001-11-21,396.418
2001-11-22,398.518
2001-11-23,397.491
2001-11-26,402.178
2001-11-27,401.416
2001-11-28,397.437
2001-11-29,395.625
2001-11-30,398.382
2001-12-03,392.981
2001-12-04,396.535
2001-12-05,405.435
2001-12-06,407.84
2001-12-07,405.705
2001-12-10,400.54
2001-12-11,398.566
2001-12-12,400.443
2001-12-13,394.493
2001-12-14,391.812
2001-12-17,394.174
2001-12-18,394.4
2001-12-19,391.131
2001-12-20,389.154
2001-12-21,386.757
2001-12-24,384.785
2001-12-25,384.749
2001-12-26,384.078
2001-12-27,390.58
2001-12-28,393.149
2001-12-31,395.867
2002-01-01,395.867
2002-01-02,396.91
2002-01-03,402.041
2002-01-04,405.294
2002-01-07,403.985
2002-01-08,400.242
2002-01-09,399.427
2002-01-10,397.373
2002-01-11,396.946
2002-01-14,393.45
2002-01-15,391.657
2002-01-16,385.204
2002-01-17,386.423
2002-01-18,387.918
2002-01-21,386.938
2002-01-22,383.906
2002-01-23,384.124
2002-01-24,384.773
2002-01-25,381.769
2002-01-28,383.035
2002-01-29,380.104
2002-01-30,377.057
2002-01-31,379.319
2002-02-01,378.107
2002-02-04,375.692
2002-02-05,371.336
2002-02-06,369.738
2002-02-07,369.32
2002-02-08,370.961
2002-02-11,375.308
2002-02-12,377.093
2002-02-13,377.676
2002-02-14,379.181
2002-02-15,379.05
2002-02-18,377.224
2002-02-19,372.447
2002-02-20,369.345
2002-02-21,372.258
2002-02-22,372.649
2002-02-25,373.373
2002-02-26,374.409
2002-02-27,378.025
2002-02-28,377.912
2002-03-01,381.947
2002-03-04,394.238
