Date,WORLD ex USA SMALL GROWTH Small Cap
1994-05-31,490.232
1994-06-30,511.302
1994-07-29,507.031
1994-08-31,506.355
1994-09-30,492.288
1994-10-31,500.657
1994-11-30,466.495
1994-12-30,474.591
1995-01-31,455.482
1995-02-28,441.591
1995-03-31,459.888
1995-04-28,465.355
1995-05-31,450.111
1995-06-30,443.247
1995-07-31,467.822
1995-08-31,458.403
1995-09-29,461.931
1995-10-31,449.119
1995-11-30,452.857
1995-12-29,471.615
1996-01-31,474.585
1996-02-29,478.273
1996-03-29,489.619
1996-04-30,516.288
1996-05-31,510.748
1996-06-28,510.049
1996-07-31,487.113
1996-08-30,485.404
1996-09-30,482.264
1996-10-31,477.412
1996-11-29,478.435
1996-12-31,462.889
1997-01-31,448.167
1997-02-28,448.515
1997-03-31,438.159
1997-04-30,427.518
1997-05-30,462.038
1997-06-30,468.356
1997-07-31,453.687
1997-08-29,436.268
1997-09-30,433.384
1997-10-31,417.177
1997-11-28,392.384
1997-12-31,376.969
1998-01-30,396.419
1998-02-27,424.374
1998-03-31,440.315
1998-04-30,449.957
1998-05-29,456.438
1998-06-30,439.774
1998-07-31,439.688
1998-08-31,381.48
1998-09-30,367.446
1998-10-30,390.77
1998-11-30,409.081
1998-12-31,416.226
1999-01-29,421.352
1999-02-26,421.345
1999-03-31,439.867
1999-04-30,466.623
1999-05-31,454.658
1999-06-30,487.977
1999-07-30,511.871
1999-08-31,539.605
1999-09-30,556.61
1999-10-29,563.725
1999-11-30,587.64
1999-12-31,611.218
2000-01-31,624.219
2000-02-29,671.199
2000-03-31,655.223
2000-04-28,580.691
2000-05-31,566.837
2000-06-30,594.268
2000-07-31,558.732
2000-08-31,578.81
2000-09-29,551.235
2000-10-31,492.946
2000-11-30,457.905
2000-12-29,463.83
2001-01-31,467.63
2001-02-28,439.131
2001-03-30,397.126
2001-04-30,421.966
2001-05-31,418.666
2001-06-29,392.652
2001-07-31,373.92
2001-08-31,370.111
2001-09-28,318.31
2001-10-31,338.408
2001-11-30,348.646
2001-12-31,341.375
2002-01-31,333.609
2002-02-28,333.934
2002-03-29,351.01
2002-04-30,359.88
2002-05-31,375.318
2002-06-28,356.125
2002-07-31,321.19
2002-08-30,315.029
2002-09-30,283.278
2002-10-31,287.399
2002-11-29,300.492
2002-12-31,294.577
2003-01-31,289.936
2003-02-28,285.723
2003-03-31,283.751
2003-04-30,310.806
2003-05-30,338.92
2003-06-30,350.64
2003-07-31,360.906
2003-08-29,379.563
2003-09-30,400.984
2003-10-31,434.917
2003-11-28,434.35
2003-12-31,458.059
2004-01-30,476.481
2004-02-27,490.494
2004-03-31,509.549
2004-04-30,496.06
