Date,WORLD ex USA Standard (Large+Mid Cap)
1969-12-31,100.0
1970-01-30,97.863
1970-02-27,96.59
1970-03-31,96.5
1970-04-30,86.346
1970-05-29,79.931
1970-06-30,80.756
1970-07-31,83.886
1970-08-31,85.491
1970-09-30,88.089
1970-10-30,85.644
1970-11-30,82.712
1970-12-31,85.628
1971-01-29,89.605
1971-02-26,90.674
1971-03-31,95.272
1971-04-30,97.313
1971-05-31,98.079
1971-06-30,99.767
1971-07-30,102.289
1971-08-31,100.679
1971-09-30,100.396
1971-10-29,96.178
1971-11-30,97.915
1971-12-31,112.829
1972-01-31,121.031
1972-02-29,128.362
1972-03-31,129.684
1972-04-28,134.662
1972-05-31,143.829
1972-06-30,138.923
1972-07-31,147.572
1972-08-31,149.338
1972-09-29,142.096
1972-10-31,141.871
1972-11-30,153.594
1972-12-29,156.93
1973-01-31,164.024
1973-02-28,180.828
1973-03-30,184.838
1973-04-30,172.167
1973-05-31,175.132
1973-06-29,177.537
1973-07-31,177.635
1973-08-31,167.967
1973-09-28,171.054
1973-10-31,174.296
1973-11-30,145.721
1973-12-31,139.058
1974-01-31,145.321
1974-02-28,151.152
1974-03-29,147.123
1974-04-30,149.479
1974-05-31,141.511
1974-06-28,134.21
1974-07-31,130.323
1974-08-30,116.656
1974-09-30,109.833
1974-10-31,109.634
1974-11-29,113.1
1974-12-31,111.865
1975-01-31,130.635
1975-02-28,146.431
1975-03-31,144.712
1975-04-30,150.171
1975-05-30,149.747
1975-06-30,144.947
1975-07-31,139.409
1975-08-29,138.569
1975-09-30,131.608
1975-10-31,140.804
1975-11-28,144.23
1975-12-31,146.562
1976-01-30,154.547
1976-02-27,154.141
1976-03-31,151.159
1976-04-30,150.875
1976-05-31,147.195
1976-06-30,148.923
1976-07-30,146.766
1976-08-31,146.248
1976-09-30,143.851
1976-10-29,135.219
1976-11-30,134.847
1976-12-31,149.976
1977-01-31,148.559
1977-02-28,151.534
1977-03-31,151.811
1977-04-29,155.236
1977-05-31,154.329
1977-06-30,157.924
1977-07-29,155.679
1977-08-31,161.234
1977-09-30,165.879
1977-10-31,168.336
1977-11-30,167.804
1977-12-30,174.177
1978-01-31,175.274
1978-02-28,176.954
1978-03-31,189.154
1978-04-28,187.863
1978-05-31,192.198
1978-06-30,199.864
1978-07-31,216.884
1978-08-31,221.201
1978-09-29,227.584
1978-10-31,238.531
1978-11-30,218.481
1978-12-29,228.912
1979-01-31,230.559
1979-02-28,230.006
1979-03-30,236.352
1979-04-30,235.867
1979-05-31,232.468
1979-06-29,237.232
1979-07-31,238.408
1979-08-31,246.004
1979-09-28,257.696
1979-10-31,236.234
1979-11-30,241.281
1979-12-31,250.477
1980-01-31,265.806
1980-02-29,268.902
1980-03-31,235.327
1980-04-30,256.162
1980-05-30,269.326
1980-06-30,286.417
1980-07-31,286.217
1980-08-29,295.617
1980-09-30,306.137
1980-10-31,316.448
1980-11-28,311.575
1980-12-31,309.252
1981-01-30,303.038
1981-02-27,298.752
1981-03-31,310.359
1981-04-30,316.792
1981-05-29,305.78
1981-06-30,305.688
1981-07-31,293.11
1981-08-31,299.777
1981-09-30,268.91
1981-10-30,271.882
1981-11-30,301.722
1981-12-31,297.32
1982-01-29,292.249
1982-02-26,272.133
1982-03-31,258.521
1982-04-30,273.107
1982-05-31,269.055
1982-06-30,247.499
1982-07-30,246.136
1982-08-31,249.805
1982-09-30,248.55
1982-10-29,252.125
1982-11-30,270.938
1982-12-31,293.443
1983-01-31,292.995
1983-02-28,299.345
1983-03-31,310.387
1983-04-29,329.86
1983-05-31,329.429
1983-06-30,336.831
1983-07-29,337.742
1983-08-31,333.216
1983-09-30,343.475
1983-10-31,339.499
1983-11-30,350.482
1983-12-30,363.389
1984-01-31,375.287
1984-02-29,380.28
1984-03-30,410.333
1984-04-30,403.176
1984-05-31,365.15
1984-06-29,363.459
1984-07-31,339.7
1984-08-31,370.943
1984-09-28,367.161
1984-10-31,373.851
1984-11-30,368.567
1984-12-31,374.099
1985-01-31,384.627
1985-02-28,380.956
1985-03-29,409.432
1985-04-30,408.288
1985-05-31,424.582
1985-06-28,433.952
1985-07-31,454.839
1985-08-30,467.281
1985-09-30,489.878
1985-10-31,518.346
1985-11-29,541.0
1985-12-31,564.118
1986-01-31,577.215
1986-02-28,636.988
1986-03-31,723.135
1986-04-30,767.676
1986-05-30,735.381
1986-06-30,781.493
1986-07-31,825.251
1986-08-29,905.238
1986-09-30,897.216
1986-10-31,840.458
1986-11-28,887.387
1986-12-31,932.568
1987-01-30,1033.24
1987-02-27,1065.473
1987-03-31,1155.328
1987-04-30,1270.278
1987-05-29,1269.301
1987-06-30,1232.744
1987-07-31,1237.669
1987-08-31,1325.65
1987-09-30,1305.689
1987-10-30,1116.042
1987-11-30,1124.419
1987-12-31,1158.605
1988-01-29,1176.533
1988-02-29,1254.401
1988-03-31,1330.907
1988-04-29,1349.697
1988-05-31,1306.301
1988-06-30,1276.723
1988-07-29,1314.038
1988-08-31,1229.229
1988-09-30,1281.323
1988-10-31,1388.337
1988-11-30,1467.845
1988-12-30,1476.747
1989-01-31,1506.107
1989-02-28,1512.001
1989-03-31,1484.282
1989-04-28,1498.724
1989-05-31,1420.306
1989-06-30,1399.14
1989-07-31,1571.568
1989-08-31,1504.846
1989-09-29,1569.69
1989-10-31,1509.527
1989-11-30,1583.417
1989-12-29,1641.221
1990-01-31,1577.871
1990-02-28,1470.911
1990-03-30,1324.462
1990-04-30,1309.46
1990-05-31,1456.029
1990-06-29,1443.071
1990-07-31,1463.973
1990-08-31,1325.314
1990-09-28,1146.338
1990-10-31,1314.029
1990-11-30,1241.023
1990-12-31,1262.362
1991-01-31,1300.893
1991-02-28,1437.787
1991-03-29,1354.676
1991-04-30,1368.125
1991-05-31,1384.557
1991-06-28,1286.316
1991-07-31,1347.282
1991-08-30,1321.166
1991-09-30,1390.813
1991-10-31,1412.494
1991-11-29,1348.302
1991-12-31,1414.37
1992-01-31,1386.519
1992-02-28,1338.303
1992-03-31,1250.755
1992-04-30,1255.338
1992-05-29,1335.94
1992-06-30,1275.395
1992-07-31,1245.374
1992-08-31,1318.175
1992-09-30,1288.794
1992-10-30,1225.017
1992-11-30,1233.517
1992-12-31,1240.796
1993-01-29,1239.957
1993-02-26,1278.907
1993-03-31,1387.541
1993-04-30,1516.191
1993-05-31,1548.823
1993-06-30,1525.163
1993-07-30,1576.641
1993-08-31,1657.885
1993-09-30,1619.013
1993-10-29,1672.977
1993-11-30,1530.875
1993-12-31,1640.457
1994-01-31,1776.738
1994-02-28,1768.655
1994-03-31,1692.52
1994-04-29,1760.983
1994-05-31,1751.721
1994-06-30,1771.881
1994-07-29,1791.332
1994-08-31,1836.013
1994-09-30,1782.405
1994-10-31,1838.497
1994-11-30,1749.136
1994-12-30,1760.975
1995-01-31,1691.46
1995-02-28,1690.274
1995-03-31,1794.494
1995-04-28,1860.669
1995-05-31,1841.994
1995-06-30,1812.067
1995-07-31,1921.78
1995-08-31,1851.194
1995-09-29,1885.658
1995-10-31,1836.26
1995-11-30,1888.001
1995-12-29,1961.86
1996-01-31,1973.357
1996-02-29,1979.094
1996-03-29,2020.994
1996-04-30,2080.681
1996-05-31,2045.138
1996-06-28,2054.003
1996-07-31,1993.86
1996-08-30,2001.42
1996-09-30,2055.625
1996-10-31,2041.895
1996-11-29,2126.077
1996-12-31,2096.584
1997-01-31,2031.24
1997-02-28,2062.021
1997-03-31,2064.098
1997-04-30,2076.768
1997-05-30,2213.7
1997-06-30,2331.91
1997-07-31,2374.752
1997-08-29,2199.846
1997-09-30,2323.321
1997-10-31,2148.053
1997-11-28,2124.019
1997-12-31,2144.231
1998-01-30,2235.624
1998-02-27,2381.201
1998-03-31,2459.403
1998-04-30,2478.501
1998-05-29,2465.606
1998-06-30,2478.699
1998-07-31,2494.9
1998-08-31,2176.272
1998-09-30,2114.112
1998-10-30,2334.221
1998-11-30,2452.48
1998-12-31,2546.575
1999-01-29,2547.062
1999-02-26,2482.979
1999-03-31,2586.564
1999-04-30,2697.476
1999-05-31,2561.212
1999-06-30,2661.34
1999-07-30,2737.946
1999-08-31,2745.728
1999-09-30,2775.374
1999-10-29,2882.602
1999-11-30,2983.405
1999-12-31,3257.725
2000-01-31,3059.787
2000-02-29,3146.528
2000-03-31,3275.669
2000-04-28,3105.759
2000-05-31,3030.505
2000-06-30,3161.486
2000-07-31,3040.635
2000-08-31,3080.348
2000-09-29,2920.763
2000-10-31,2841.151
2000-11-30,2726.673
2000-12-29,2822.135
2001-01-31,2827.33
2001-02-28,2603.414
2001-03-30,2426.891
2001-04-30,2595.735
2001-05-31,2510.291
2001-06-29,2407.918
2001-07-31,2365.633
2001-08-31,2302.459
2001-09-28,2070.084
2001-10-31,2120.788
2001-11-30,2204.145
2001-12-31,2218.279
2002-01-31,2105.448
2002-02-28,2118.284
2002-03-29,2230.884
2002-04-30,2244.058
2002-05-31,2273.463
2002-06-28,2180.987
2002-07-31,1964.172
2002-08-30,1961.123
2002-09-30,1753.13
2002-10-31,1845.221
2002-11-29,1930.172
2002-12-31,1867.791
2003-01-31,1796.624
2003-02-28,1761.208
2003-03-31,1727.266
2003-04-30,1893.028
2003-05-30,2010.437
2003-06-30,2059.276
2003-07-31,2106.52
2003-08-29,2160.838
2003-09-30,2225.666
2003-10-31,2365.039
2003-11-28,2418.648
2003-12-31,2604.11
2004-01-30,2640.369
2004-02-27,2701.096
2004-03-31,2714.618
2004-04-30,2643.56
2004-05-31,2655.918
2004-06-30,2717.251
2004-07-30,2634.387
2004-08-31,2645.341
2004-09-30,2722.449
2004-10-29,2820.287
2004-11-30,3007.85
2004-12-31,3134.921
2005-01-31,3073.205
2005-02-28,3209.918
2005-03-31,3137.057
2005-04-29,3057.068
2005-05-31,3062.642
2005-06-30,3112.704
2005-07-29,3213.23
2005-08-31,3301.938
2005-09-30,3452.629
2005-10-31,3341.065
2005-11-30,3429.542
2005-12-30,3588.556
2006-01-31,3815.531
2006-02-28,3802.717
2006-03-31,3923.316
2006-04-28,4110.919
2006-05-31,3954.735
2006-06-30,3949.643
2006-07-31,3986.649
2006-08-31,4099.956
2006-09-29,4096.653
2006-10-31,4258.553
2006-11-30,4385.397
2006-12-29,4511.137
2007-01-31,4538.659
2007-02-28,4574.967
2007-03-30,4692.192
2007-04-30,4905.774
2007-05-31,5014.618
2007-06-29,5019.65
2007-07-31,4950.261
2007-08-31,4878.607
