Date,WORLD ex USA GROWTH Standard (Large+Mid Cap)
2001-01-01,1663.666
2001-01-02,1649.229
2001-01-03,1633.391
2001-01-04,1658.253
2001-01-05,1654.561
2001-01-08,1642.858
2001-01-09,1612.634
2001-01-10,1606.44
2001-01-11,1629.538
2001-01-12,1646.765
2001-01-15,1644.731
2001-01-16,1631.354
2001-01-17,1656.493
2001-01-18,1678.137
2001-01-19,1679.793
2001-01-22,1676.63
2001-01-23,1675.052
2001-01-24,1659.441
2001-01-25,1657.297
2001-01-26,1652.059
2001-01-29,1650.273
2001-01-30,1651.015
2001-01-31,1668.622
2001-02-01,1669.694
2001-02-02,1643.812
2001-02-05,1640.727
2001-02-06,1635.12
2001-02-07,1614.091
2001-02-08,1593.617
2001-02-09,1575.22
2001-02-12,1592.742
2001-02-13,1579.067
2001-02-14,1550.688
2001-02-15,1557.012
2001-02-16,1529.9
2001-02-19,1527.401
2001-02-20,1506.381
2001-02-21,1495.419
2001-02-22,1483.229
2001-02-23,1464.011
2001-02-26,1476.845
2001-02-27,1487.486
2001-02-28,1479.324
2001-03-01,1471.531
2001-03-02,1464.837
2001-03-05,1472.405
2001-03-06,1497.196
2001-03-07,1493.959
2001-03-08,1485.448
2001-03-09,1470.025
2001-03-12,1422.471
2001-03-13,1393.407
2001-03-14,1372.185
2001-03-15,1392.43
2001-03-16,1356.151
2001-03-19,1355.922
2001-03-20,1373.69
2001-03-21,1368.571
2001-03-22,1311.687
2001-03-23,1362.825
2001-03-26,1410.802
2001-03-27,1426.306
2001-03-28,1402.562
2001-03-29,1373.27
2001-03-30,1371.892
2001-04-02,1359.661
2001-04-03,1336.213
2001-04-04,1355.561
2001-04-05,1383.577
2001-04-06,1385.393
2001-04-09,1381.542
2001-04-10,1389.866
2001-04-11,1397.28
2001-04-12,1412.957
2001-04-13,1411.184
2001-04-16,1397.665
2001-04-17,1390.316
2001-04-18,1432.259
2001-04-19,1454.035
2001-04-20,1453.105
2001-04-23,1435.365
2001-04-24,1429.922
2001-04-25,1434.83
2001-04-26,1451.111
2001-04-27,1456.305
2001-04-30,1466.948
2001-05-01,1486.127
2001-05-02,1490.457
2001-05-03,1475.206
2001-05-04,1480.563
2001-05-07,1484.853
2001-05-08,1473.261
2001-05-09,1456.497
2001-05-10,1471.876
2001-05-11,1457.877
2001-05-14,1429.282
2001-05-15,1446.146
2001-05-16,1445.122
2001-05-17,1463.712
2001-05-18,1461.423
2001-05-21,1473.126
2001-05-22,1476.86
2001-05-23,1467.987
2001-05-24,1460.939
2001-05-25,1449.132
2001-05-28,1451.195
2001-05-29,1443.955
2001-05-30,1420.606
2001-05-31,1409.365
2001-06-01,1408.03
2001-06-04,1413.961
2001-06-05,1421.45
2001-06-06,1414.56
2001-06-07,1418.387
2001-06-08,1413.892
2001-06-11,1389.136
2001-06-12,1360.106
2001-06-13,1367.508
2001-06-14,1363.933
2001-06-15,1352.307
2001-06-18,1338.57
2001-06-19,1335.604
2001-06-20,1327.176
2001-06-21,1335.079
2001-06-22,1342.594
2001-06-25,1342.029
2001-06-26,1328.073
2001-06-27,1323.518
2001-06-28,1322.746
2001-06-29,1339.273
2001-07-02,1349.788
2001-07-03,1338.932
2001-07-04,1325.075
2001-07-05,1298.826
2001-07-06,1277.269
2001-07-09,1280.189
2001-07-10,1282.398
2001-07-11,1273.034
2001-07-12,1284.566
2001-07-13,1284.605
2001-07-16,1279.917
2001-07-17,1266.927
2001-07-18,1270.995
2001-07-19,1289.247
2001-07-20,1283.547
2001-07-23,1271.136
2001-07-24,1268.255
2001-07-25,1265.08
2001-07-26,1269.521
2001-07-27,1282.815
2001-07-30,1287.586
2001-07-31,1307.44
2001-08-01,1320.085
2001-08-02,1335.23
2001-08-03,1323.821
2001-08-06,1318.12
2001-08-07,1317.796
2001-08-08,1302.891
2001-08-09,1285.415
2001-08-10,1286.412
2001-08-13,1286.785
2001-08-14,1303.017
2001-08-15,1310.996
2001-08-16,1293.613
2001-08-17,1279.682
2001-08-20,1270.648
2001-08-21,1282.139
2001-08-22,1288.899
2001-08-23,1279.788
2001-08-24,1295.072
2001-08-27,1294.873
2001-08-28,1280.3
2001-08-29,1273.216
2001-08-30,1248.093
2001-08-31,1244.395
2001-09-03,1226.023
2001-09-04,1231.176
2001-09-05,1206.768
2001-09-06,1187.512
2001-09-07,1179.248
2001-09-10,1162.737
2001-09-11,1120.892
2001-09-12,1119.388
2001-09-13,1131.232
2001-09-14,1109.555
2001-09-17,1109.978
2001-09-18,1104.262
2001-09-19,1103.805
2001-09-20,1071.594
2001-09-21,1034.833
2001-09-24,1071.416
2001-09-25,1094.653
2001-09-26,1095.313
2001-09-27,1103.004
2001-09-28,1125.428
2001-10-01,1116.246
2001-10-02,1126.797
2001-10-03,1130.354
2001-10-04,1157.942
2001-10-05,1163.085
2001-10-08,1164.123
2001-10-09,1154.983
2001-10-10,1166.569
2001-10-11,1180.985
2001-10-12,1185.286
2001-10-15,1169.004
2001-10-16,1179.428
2001-10-17,1199.252
2001-10-18,1176.933
2001-10-19,1165.882
2001-10-22,1173.923
2001-10-23,1194.286
2001-10-24,1200.939
2001-10-25,1190.594
2001-10-26,1201.882
2001-10-29,1188.004
2001-10-30,1167.492
2001-10-31,1169.924
2001-11-01,1185.504
2001-11-02,1189.928
2001-11-05,1208.859
2001-11-06,1218.564
2001-11-07,1217.046
2001-11-08,1230.59
2001-11-09,1220.876
2001-11-12,1199.271
2001-11-13,1210.401
2001-11-14,1219.031
2001-11-15,1230.566
2001-11-16,1240.449
2001-11-19,1247.283
2001-11-20,1235.988
2001-11-21,1226.912
2001-11-22,1235.864
2001-11-23,1227.179
2001-11-26,1237.762
2001-11-27,1228.787
2001-11-28,1216.119
2001-11-29,1215.788
2001-11-30,1233.501
2001-12-03,1218.345
2001-12-04,1233.28
2001-12-05,1258.76
2001-12-06,1261.542
2001-12-07,1247.469
2001-12-10,1227.465
2001-12-11,1228.231
2001-12-12,1233.341
2001-12-13,1213.556
2001-12-14,1206.607
2001-12-17,1221.093
2001-12-18,1223.171
2001-12-19,1214.956
2001-12-20,1211.455
2001-12-21,1213.905
2001-12-24,1206.885
2001-12-25,1205.273
2001-12-26,1204.721
2001-12-27,1227.948
2001-12-28,1236.017
2001-12-31,1242.269
2002-01-01,1242.269
2002-01-02,1239.661
2002-01-03,1251.957
2002-01-04,1254.867
2002-01-07,1244.93
2002-01-08,1227.484
2002-01-09,1225.92
2002-01-10,1216.665
2002-01-11,1218.579
2002-01-14,1204.7
2002-01-15,1204.655
2002-01-16,1190.406
2002-01-17,1193.44
2002-01-18,1196.906
2002-01-21,1191.812
2002-01-22,1185.117
2002-01-23,1190.79
2002-01-24,1199.462
2002-01-25,1183.93
2002-01-28,1190.459
2002-01-29,1176.271
2002-01-30,1163.565
2002-01-31,1177.207
2002-02-01,1175.068
2002-02-04,1171.032
2002-02-05,1154.916
2002-02-06,1149.781
2002-02-07,1160.348
2002-02-08,1162.142
2002-02-11,1177.561
2002-02-12,1184.702
2002-02-13,1189.823
2002-02-14,1197.749
2002-02-15,1192.022
2002-02-18,1184.491
2002-02-19,1167.68
2002-02-20,1160.595
2002-02-21,1172.916
2002-02-22,1172.427
2002-02-25,1176.733
2002-02-26,1177.206
2002-02-27,1189.697
2002-02-28,1192.925
2002-03-01,1205.609
2002-03-04,1236.677
2002-03-05,1231.447
2002-03-06,1239.271
2002-03-07,1262.136
2002-03-08,1261.373
2002-03-11,1260.483
2002-03-12,1243.107
2002-03-13,1237.768
2002-03-14,1248.266
2002-03-15,1256.836
2002-03-18,1253.536
2002-03-19,1263.615
2002-03-20,1253.474
2002-03-21,1246.007
2002-03-22,1242.898
2002-03-25,1232.467
2002-03-26,1231.677
2002-03-27,1233.408
2002-03-28,1244.642
2002-03-29,1239.314
2002-04-01,1244.578
2002-04-02,1244.132
2002-04-03,1243.791
2002-04-04,1238.063
2002-04-05,1236.983
2002-04-08,1223.472
2002-04-09,1223.635
2002-04-10,1235.918
2002-04-11,1223.201
2002-04-12,1221.806
2002-04-15,1231.453
2002-04-16,1249.301
2002-04-17,1260.364
2002-04-18,1257.487
2002-04-19,1254.402
2002-04-22,1252.297
2002-04-23,1251.25
2002-04-24,1249.901
2002-04-25,1251.371
2002-04-26,1246.837
2002-04-29,1243.225
2002-04-30,1245.998
2002-05-01,1253.033
2002-05-02,1247.591
2002-05-03,1253.229
2002-05-06,1251.227
2002-05-07,1235.834
2002-05-08,1250.947
2002-05-09,1248.604
2002-05-10,1243.681
2002-05-13,1247.032
2002-05-14,1244.034
2002-05-15,1260.438
2002-05-16,1262.191
2002-05-17,1272.426
2002-05-20,1270.5
2002-05-21,1267.015
2002-05-22,1265.898
2002-05-23,1258.99
2002-05-24,1258.485
2002-05-27,1254.99
2002-05-28,1256.838
2002-05-29,1253.983
2002-05-30,1250.47
2002-05-31,1250.379
2002-06-03,1249.241
2002-06-04,1232.878
2002-06-05,1222.119
2002-06-06,1224.312
2002-06-07,1212.543
2002-06-10,1212.355
2002-06-11,1214.923
2002-06-12,1197.02
2002-06-13,1185.323
2002-06-14,1164.617
2002-06-17,1182.14
2002-06-18,1186.347
2002-06-19,1173.472
2002-06-20,1168.182
2002-06-21,1166.692
2002-06-24,1157.206
2002-06-25,1170.237
2002-06-26,1166.008
2002-06-27,1176.444
2002-06-28,1214.739
2002-07-01,1213.868
2002-07-02,1189.213
2002-07-03,1168.232
2002-07-04,1180.296
2002-07-05,1207.229
2002-07-08,1217.144
2002-07-09,1217.707
2002-07-10,1177.609
2002-07-11,1145.078
2002-07-12,1147.298
2002-07-15,1115.716
2002-07-16,1109.788
2002-07-17,1129.008
2002-07-18,1142.481
2002-07-19,1105.337
2002-07-22,1062.697
2002-07-23,1038.13
2002-07-24,1026.492
2002-07-25,1051.416
2002-07-26,1040.308
2002-07-29,1075.471
2002-07-30,1087.108
2002-07-31,1085.125
2002-08-01,1055.317
2002-08-02,1058.76
2002-08-05,1036.785
2002-08-06,1039.277
2002-08-07,1048.148
2002-08-08,1072.039
2002-08-09,1091.569
2002-08-12,1076.307
2002-08-13,1081.706
2002-08-14,1074.294
2002-08-15,1091.674
2002-08-16,1098.855
2002-08-19,1102.358
2002-08-20,1088.367
2002-08-21,1101.926
2002-08-22,1111.614
2002-08-23,1101.729
2002-08-26,1099.185
2002-08-27,1113.808
2002-08-28,1084.496
2002-08-29,1071.71
2002-08-30,1077.365
2002-09-02,1066.43
2002-09-03,1041.722
2002-09-04,1039.091
2002-09-05,1040.155
2002-09-06,1052.625
2002-09-09,1046.306
2002-09-10,1056.029
2002-09-11,1071.058
2002-09-12,1050.921
2002-09-13,1034.04
2002-09-16,1024.715
2002-09-17,1023.3
2002-09-18,1005.979
2002-09-19,1000.307
2002-09-20,994.282
2002-09-23,973.61
2002-09-24,960.463
2002-09-25,968.084
2002-09-26,999.091
2002-09-27,1004.113
2002-09-30,983.619
2002-10-01,987.343
2002-10-02,1004.073
2002-10-03,996.334
2002-10-04,983.526
2002-10-07,967.175
2002-10-08,953.903
2002-10-09,949.812
2002-10-10,959.034
2002-10-11,990.617
2002-10-14,989.794
2002-10-15,1029.196
2002-10-16,1019.197
2002-10-17,1036.102
2002-10-18,1032.464
2002-10-21,1033.635
2002-10-22,1025.087
2002-10-23,1007.454
2002-10-24,1018.263
2002-10-25,1024.018
2002-10-28,1035.461
2002-10-29,1008.651
2002-10-30,1025.114
2002-10-31,1038.227
2002-11-01,1036.206
2002-11-04,1059.026
2002-11-05,1070.269
2002-11-06,1063.237
2002-11-07,1057.215
2002-11-08,1050.522
2002-11-11,1038.427
2002-11-12,1045.704
2002-11-13,1037.5
2002-11-14,1045.503
2002-11-15,1055.378
2002-11-18,1056.194
2002-11-19,1054.119
2002-11-20,1048.78
2002-11-21,1070.448
2002-11-22,1071.188
2002-11-25,1064.824
2002-11-26,1050.929
2002-11-27,1064.11
2002-11-28,1074.945
2002-11-29,1070.828
2002-12-02,1066.508
2002-12-03,1056.591
2002-12-04,1054.228
2002-12-05,1043.415
2002-12-06,1046.896
2002-12-09,1033.813
2002-12-10,1034.818
2002-12-11,1038.466
2002-12-12,1037.851
2002-12-13,1034.856
2002-12-16,1045.1
2002-12-17,1042.852
2002-12-18,1023.991
2002-12-19,1025.473
2002-12-20,1031.284
2002-12-23,1035.544
2002-12-24,1041.878
2002-12-25,1040.984
2002-12-26,1045.487
2002-12-27,1028.812
2002-12-30,1039.286
2002-12-31,1046.949
2003-01-01,1046.949
2003-01-02,1056.645
2003-01-03,1062.143
2003-01-06,1076.39
2003-01-07,1064.661
2003-01-08,1048.366
2003-01-09,1060.019
2003-01-10,1062.839
2003-01-13,1062.479
2003-01-14,1069.867
2003-01-15,1061.348
2003-01-16,1057.909
2003-01-17,1049.323
2003-01-20,1037.878
2003-01-21,1032.898
2003-01-22,1020.509
2003-01-23,1022.386
2003-01-24,1015.654
2003-01-27,987.642
2003-01-28,987.778
2003-01-29,994.413
2003-01-30,1001.046
2003-01-31,999.024
2003-02-03,1010.69
2003-02-04,1000.308
2003-02-05,1006.98
2003-02-06,990.021
2003-02-07,982.496
2003-02-10,976.7
2003-02-11,986.072
2003-02-12,976.712
2003-02-13,976.175
2003-02-14,984.056
2003-02-17,992.986
2003-02-18,999.906
2003-02-19,989.901
2003-02-20,992.249
2003-02-21,996.822
2003-02-24,993.797
2003-02-25,970.268
2003-02-26,971.246
2003-02-27,970.015
2003-02-28,981.44
2003-03-03,992.375
2003-03-04,982.891
2003-03-05,978.708
2003-03-06,969.624
2003-03-07,957.954
2003-03-10,945.525
2003-03-11,939.447
2003-03-12,921.21
2003-03-13,939.954
2003-03-14,959.695
2003-03-17,974.819
2003-03-18,976.05
2003-03-19,983.84
2003-03-20,988.438
2003-03-21,1001.366
2003-03-24,988.479
2003-03-25,994.669
2003-03-26,999.477
2003-03-27,992.269
2003-03-28,989.498
2003-03-31,970.83
2003-04-01,979.722
2003-04-02,994.674
2003-04-03,995.34
2003-04-04,1001.198
2003-04-07,1020.429
2003-04-08,1012.432
2003-04-09,1011.55
2003-04-10,1006.097
2003-04-11,1001.266
2003-04-14,1007.782
2003-04-15,1022.028
2003-04-16,1018.27
2003-04-17,1030.118
2003-04-18,1030.575
2003-04-21,1026.373
2003-04-22,1035.192
2003-04-23,1041.467
2003-04-24,1038.875
2003-04-25,1026.386
2003-04-28,1037.059
2003-04-29,1034.568
2003-04-30,1052.948
2003-05-01,1060.06
2003-05-02,1060.231
2003-05-05,1071.137
2003-05-06,1090.842
2003-05-07,1086.899
2003-05-08,1074.901
2003-05-09,1083.454
2003-05-12,1092.67
2003-05-13,1090.905
2003-05-14,1092.485
2003-05-15,1094.727
2003-05-16,1102.678
2003-05-19,1086.931
2003-05-20,1089.318
2003-05-21,1083.23
2003-05-22,1092.404
2003-05-23,1096.641
2003-05-26,1099.196
2003-05-27,1102.511
2003-05-28,1106.933
2003-05-29,1117.298
2003-05-30,1110.016
2003-06-02,1130.334
2003-06-03,1124.302
2003-06-04,1132.681
2003-06-05,1143.76
2003-06-06,1152.637
2003-06-09,1148.519
2003-06-10,1144.943
2003-06-11,1162.266
2003-06-12,1165.567
2003-06-13,1160.536
2003-06-16,1173.23
2003-06-17,1184.824
2003-06-18,1182.099
2003-06-19,1169.314
2003-06-20,1170.368
2003-06-23,1150.142
2003-06-24,1139.356
2003-06-25,1147.409
2003-06-26,1133.504
2003-06-27,1137.411
2003-06-30,1129.61
2003-07-01,1128.447
2003-07-02,1147.555
2003-07-03,1158.284
2003-07-04,1150.519
2003-07-07,1161.128
2003-07-08,1156.821
2003-07-09,1153.926
2003-07-10,1146.404
2003-07-11,1143.544
2003-07-14,1158.326
2003-07-15,1147.732
2003-07-16,1140.431
2003-07-17,1123.589
2003-07-18,1123.908
2003-07-21,1125.313
2003-07-22,1129.545
