Date,WORLD ex USA VALUE Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,116.587
1975-02-28,130.672
1975-03-31,128.093
1975-04-30,133.368
1975-05-30,132.705
1975-06-30,128.793
1975-07-31,123.708
1975-08-29,124.235
1975-09-30,118.679
1975-10-31,128.266
1975-11-28,131.894
1975-12-31,134.853
1976-01-30,144.045
1976-02-27,144.035
1976-03-31,142.147
1976-04-30,141.972
1976-05-31,138.706
1976-06-30,140.895
1976-07-30,138.834
1976-08-31,138.931
1976-09-30,136.908
1976-10-29,128.537
1976-11-30,127.434
1976-12-31,141.364
1977-01-31,140.478
1977-02-28,143.824
1977-03-31,146.251
1977-04-29,150.441
1977-05-31,149.484
1977-06-30,152.84
1977-07-29,152.261
1977-08-31,157.162
1977-09-30,159.525
1977-10-31,162.638
1977-11-30,162.204
1977-12-30,170.306
1978-01-31,170.89
1978-02-28,172.65
1978-03-31,185.181
1978-04-28,184.42
1978-05-31,189.883
1978-06-30,197.147
1978-07-31,212.733
1978-08-31,216.863
1978-09-29,222.332
1978-10-31,234.511
1978-11-30,216.531
1978-12-29,228.084
1979-01-31,231.103
1979-02-28,230.785
1979-03-30,235.377
1979-04-30,235.497
1979-05-31,230.865
1979-06-29,235.366
1979-07-31,236.391
1979-08-31,243.286
1979-09-28,252.102
1979-10-31,228.787
1979-11-30,231.24
1979-12-31,241.114
1980-01-31,253.406
1980-02-29,252.109
1980-03-31,225.394
1980-04-30,244.865
1980-05-30,256.113
1980-06-30,271.686
1980-07-31,271.438
1980-08-29,280.536
1980-09-30,285.369
1980-10-31,291.765
1980-11-28,285.846
1980-12-31,290.241
1981-01-30,287.35
1981-02-27,284.91
1981-03-31,300.646
1981-04-30,314.87
1981-05-29,303.019
1981-06-30,307.959
1981-07-31,295.185
1981-08-31,300.265
1981-09-30,272.27
1981-10-30,275.813
1981-11-30,308.181
1981-12-31,303.03
1982-01-29,298.015
1982-02-26,281.941
1982-03-31,266.32
1982-04-30,283.054
1982-05-31,278.471
1982-06-30,255.486
1982-07-30,251.015
1982-08-31,254.851
1982-09-30,250.561
1982-10-29,255.93
1982-11-30,277.422
1982-12-31,304.011
1983-01-31,304.919
1983-02-28,315.431
1983-03-31,329.322
1983-04-29,349.241
1983-05-31,347.926
1983-06-30,356.436
1983-07-29,355.391
1983-08-31,350.597
1983-09-30,365.105
1983-10-31,363.773
1983-11-30,371.982
1983-12-30,387.346
1984-01-31,403.982
1984-02-29,405.178
1984-03-30,429.504
1984-04-30,422.758
1984-05-31,385.624
1984-06-29,381.458
1984-07-31,359.992
1984-08-31,390.569
1984-09-28,384.411
1984-10-31,386.809
1984-11-30,385.407
1984-12-31,394.659
1985-01-31,406.096
1985-02-28,398.728
1985-03-29,423.795
1985-04-30,426.469
1985-05-31,443.686
1985-06-28,455.463
1985-07-31,478.718
1985-08-30,496.816
1985-09-30,529.328
1985-10-31,563.783
1985-11-29,590.866
1985-12-31,620.828
1986-01-31,634.322
1986-02-28,700.624
1986-03-31,791.525
1986-04-30,855.521
1986-05-30,813.84
1986-06-30,869.645
1986-07-31,892.723
1986-08-29,987.966
1986-09-30,980.128
1986-10-31,928.247
1986-11-28,975.157
1986-12-31,1022.045
1987-01-30,1086.184
1987-02-27,1122.904
1987-03-31,1186.08
1987-04-30,1284.512
1987-05-29,1326.414
1987-06-30,1330.334
1987-07-31,1348.714
1987-08-31,1424.577
1987-09-30,1442.076
1987-10-30,1251.324
1987-11-30,1267.245
1987-12-31,1331.378
1988-01-29,1340.765
1988-02-29,1428.031
1988-03-31,1525.033
1988-04-29,1566.553
1988-05-31,1528.601
1988-06-30,1511.07
1988-07-29,1577.924
1988-08-31,1462.169
1988-09-30,1515.344
1988-10-31,1626.437
1988-11-30,1714.065
1988-12-30,1729.373
1989-01-31,1777.15
1989-02-28,1796.204
1989-03-31,1764.874
1989-04-28,1796.078
1989-05-31,1718.823
1989-06-30,1698.726
1989-07-31,1894.571
1989-08-31,1819.459
1989-09-29,1904.826
1989-10-31,1833.613
1989-11-30,1913.237
1989-12-29,1992.371
1990-01-31,1930.075
1990-02-28,1814.367
1990-03-30,1656.203
1990-04-30,1642.014
1990-05-31,1810.42
1990-06-29,1805.658
1990-07-31,1835.767
1990-08-31,1656.494
1990-09-28,1450.068
1990-10-31,1641.141
1990-11-30,1548.77
1990-12-31,1567.16
1991-01-31,1610.985
1991-02-28,1795.053
1991-03-29,1684.365
1991-04-30,1701.061
1991-05-31,1718.713
1991-06-28,1598.687
1991-07-31,1683.099
1991-08-30,1650.236
1991-09-30,1746.682
1991-10-31,1748.277
1991-11-29,1649.339
1991-12-31,1730.604
1992-01-31,1717.768
1992-02-28,1664.067
1992-03-31,1555.582
1992-04-30,1602.041
1992-05-29,1694.372
1992-06-30,1612.976
1992-07-31,1561.042
1992-08-31,1630.911
1992-09-30,1595.386
1992-10-30,1515.571
1992-11-30,1518.417
1992-12-31,1532.91
1993-01-29,1544.853
1993-02-26,1596.548
1993-03-31,1757.967
1993-04-30,1942.78
1993-05-31,1969.367
1993-06-30,1928.277
1993-07-30,2003.416
1993-08-31,2113.17
1993-09-30,2068.012
1993-10-29,2133.252
1993-11-30,1973.011
1993-12-31,2133.696
1994-01-31,2330.031
1994-02-28,2330.343
1994-03-31,2242.272
1994-04-29,2335.745
1994-05-31,2337.809
1994-06-30,2376.544
1994-07-29,2403.498
1994-08-31,2466.306
1994-09-30,2397.105
1994-10-31,2486.084
1994-11-30,2360.085
1994-12-30,2358.763
1995-01-31,2267.762
1995-02-28,2260.192
1995-03-31,2397.319
1995-04-28,2472.648
1995-05-31,2446.318
1995-06-30,2413.657
1995-07-31,2555.625
1995-08-31,2472.293
1995-09-29,2512.739
1995-10-31,2448.169
1995-11-30,2517.182
1995-12-29,2630.44
1996-01-31,2653.129
1996-02-29,2659.998
1996-03-29,2711.231
1996-04-30,2803.031
1996-05-31,2760.976
1996-06-28,2787.339
1996-07-31,2716.137
1996-08-30,2728.794
1996-09-30,2800.405
1996-10-31,2776.754
1996-11-29,2915.093
1996-12-31,2887.405
1997-01-31,2818.527
1997-02-28,2867.523
1997-03-31,2864.38
1997-04-30,2868.61
1997-05-30,3072.732
1997-06-30,3227.094
1997-07-31,3261.44
1997-08-29,3027.761
1997-09-30,3163.748
1997-10-31,2982.487
1997-11-28,2922.75
1997-12-31,2938.476
1998-01-30,3069.104
1998-02-27,3260.959
1998-03-31,3422.485
1998-04-30,3443.235
1998-05-29,3427.257
1998-06-30,3425.074
1998-07-31,3462.379
1998-08-31,2962.259
1998-09-30,2879.981
1998-10-30,3183.992
1998-11-30,3349.626
1998-12-31,3416.063
1999-01-29,3382.322
1999-02-26,3328.055
1999-03-31,3556.404
1999-04-30,3811.725
1999-05-31,3586.258
1999-06-30,3724.662
1999-07-30,3864.648
1999-08-31,3873.977
1999-09-30,3887.968
1999-10-29,3972.132
1999-11-30,3958.535
1999-12-31,4219.971
2000-01-31,3928.654
2000-02-29,3906.479
2000-03-31,4143.219
2000-04-28,3992.68
2000-05-31,4043.769
2000-06-30,4213.112
2000-07-31,4122.915
2000-08-31,4164.748
2000-09-29,4046.921
2000-10-31,4045.631
2000-11-30,3925.15
2000-12-29,4138.84
2001-01-31,4142.235
2001-02-28,3943.245
2001-03-30,3694.146
2001-04-30,3952.169
2001-05-31,3845.689
2001-06-29,3720.907
2001-07-31,3676.601
2001-08-31,3650.62
2001-09-28,3264.721
2001-10-31,3300.131
2001-11-30,3383.571
2001-12-31,3403.002
2002-01-31,3234.859
2002-02-28,3232.039
2002-03-29,3448.721
2002-04-30,3470.752
2002-05-31,3547.962
2002-06-28,3362.194
2002-07-31,3052.065
2002-08-30,3063.842
2002-09-30,2683.03
2002-10-31,2815.962
2002-11-29,2986.822
2002-12-31,2861.838
2003-01-31,2774.161
2003-02-28,2713.938
2003-03-31,2639.756
2003-04-30,2922.077
2003-05-30,3124.927
2003-06-30,3221.593
2003-07-31,3331.752
2003-08-29,3433.785
2003-09-30,3529.007
2003-10-31,3769.725
2003-11-28,3849.308
2003-12-31,4177.003
2004-01-30,4211.762
2004-02-27,4323.696
2004-03-31,4368.66
2004-04-30,4268.752
2004-05-31,4306.48
2004-06-30,4439.825
2004-07-30,4342.259
2004-08-31,4372.392
2004-09-30,4502.865
2004-10-29,4669.093
2004-11-30,4979.075
2004-12-31,5199.222
2005-01-31,5116.362
2005-02-28,5354.915
2005-03-31,5232.935
2005-04-29,5082.567
2005-05-31,5077.655
2005-06-30,5183.617
2005-07-29,5352.529
2005-08-31,5474.651
2005-09-30,5735.655
2005-10-31,5549.834
2005-11-30,5730.212
2005-12-30,5955.134
2006-01-31,6318.861
2006-02-28,6359.573
2006-03-31,6525.968
2006-04-28,6848.104
2006-05-31,6613.963
2006-06-30,6596.204
2006-07-31,6692.131
2006-08-31,6902.94
2006-09-29,6947.959
2006-10-31,7245.559
2006-11-30,7461.011
2006-12-29,7701.477
2007-01-31,7736.46
2007-02-28,7799.41
2007-03-30,7948.005
2007-04-30,8322.603
2007-05-31,8488.618
2007-06-29,8480.096
2007-07-31,8307.602
2007-08-31,8142.894
2007-09-28,8524.412
2007-10-31,8871.485
2007-11-30,8426.203
2007-12-31,8236.638
2008-01-31,7496.33
2008-02-29,7520.925
2008-03-31,7449.703
2008-04-30,7885.981
2008-05-30,7887.345
2008-06-30,7151.612
2008-07-31,6948.044
2008-08-29,6727.403
2008-09-30,5835.081
2008-10-31,4608.143
2008-11-28,4386.641
2008-12-31,4588.993
2009-01-30,4094.059
2009-02-27,3647.391
2009-03-31,3916.254
2009-04-30,4592.351
2009-05-29,5159.611
2009-06-30,5099.713
2009-07-31,5622.44
2009-08-31,6008.429
2009-09-30,6233.952
2009-10-30,6069.183
2009-11-30,6205.15
2009-12-31,6275.343
2010-01-29,5978.814
2010-02-26,5939.153
2010-03-31,6323.739
2010-04-30,6210.228
2010-05-31,5496.631
2010-06-30,5369.337
2010-07-30,5926.435
2010-08-31,5710.695
2010-09-30,6219.518
2010-10-29,6456.618
2010-11-30,6081.68
2010-12-31,6577.708
2011-01-31,6846.97
2011-02-28,7107.807
2011-03-31,6913.363
2011-04-29,7280.984
2011-05-31,7024.185
2011-06-30,6946.982
2011-07-29,6767.671
2011-08-31,6162.825
2011-09-30,5637.604
2011-10-31,6150.26
2011-11-30,5835.075
2011-12-30,5808.834
2012-01-31,6114.579
2012-02-29,6441.842
2012-03-30,6366.779
2012-04-30,6200.991
2012-05-31,5471.086
2012-06-29,5909.655
2012-07-31,5960.878
2012-08-31,6166.328
2012-09-28,6369.412
2012-10-31,6441.936
2012-11-30,6565.59
2012-12-31,6812.893
2013-01-31,7185.339
2013-02-28,7018.802
2013-03-29,7025.91
2013-04-30,7420.349
2013-05-31,7231.841
2013-06-28,6937.528
2013-07-31,7351.523
2013-08-30,7262.559
2013-09-30,7806.409
2013-10-31,8124.293
2013-11-29,8166.994
2013-12-31,8275.945
2014-01-31,7966.44
2014-02-28,8403.993
2014-03-31,8366.44
2014-04-30,8555.453
2014-05-30,8658.882
2014-06-30,8804.693
2014-07-31,8679.65
2014-08-29,8645.621
2014-09-30,8255.315
2014-10-31,8073.659
2014-11-28,8111.544
2014-12-31,7828.361
2015-01-30,7734.078
2015-02-27,8211.191
2015-03-31,8032.701
2015-04-30,8415.856
2015-05-29,8297.851
2015-06-30,8042.619
2015-07-31,8121.677
2015-08-31,7527.011
2015-09-30,7073.241
2015-10-30,7595.463
2015-11-30,7408.42
2015-12-31,7226.823
2016-01-29,6669.753
