Date,WORLD LARGE CAP Large Cap
2001-01-01,733.805
2001-01-02,719.478
2001-01-03,738.126
2001-01-04,737.739
2001-01-05,727.314
2001-01-08,724.526
2001-01-09,720.389
2001-01-10,722.543
2001-01-11,729.929
2001-01-12,729.213
2001-01-15,728.52
2001-01-16,729.73
2001-01-17,735.321
2001-01-18,745.271
2001-01-19,742.438
2001-01-22,742.626
2001-01-23,747.95
2001-01-24,746.607
2001-01-25,744.037
2001-01-26,742.578
2001-01-29,745.384
2001-01-30,749.615
2001-01-31,748.911
2001-02-01,751.527
2001-02-02,739.126
2001-02-05,740.154
2001-02-06,738.189
2001-02-07,731.495
2001-02-08,724.216
2001-02-09,716.239
2001-02-12,723.855
2001-02-13,717.638
2001-02-14,713.736
2001-02-15,717.037
2001-02-16,705.963
2001-02-19,705.173
2001-02-20,694.396
2001-02-21,684.483
2001-02-22,682.155
2001-02-23,677.8
2001-02-26,686.81
2001-02-27,684.744
2001-02-28,677.512
2001-03-01,677.049
2001-03-02,672.294
2001-03-05,675.506
2001-03-06,684.845
2001-03-07,686.83
2001-03-08,686.611
2001-03-09,674.192
2001-03-12,649.405
2001-03-13,648.517
2001-03-14,633.684
2001-03-15,638.706
2001-03-16,624.954
2001-03-19,630.522
2001-03-20,625.136
2001-03-21,618.483
2001-03-22,605.04
2001-03-23,619.842
2001-03-26,633.478
2001-03-27,647.021
2001-03-28,634.19
2001-03-29,626.845
2001-03-30,630.124
2001-04-02,623.401
2001-04-03,607.306
2001-04-04,611.084
2001-04-05,630.728
2001-04-06,624.468
2001-04-09,627.208
2001-04-10,638.275
2001-04-11,639.557
2001-04-12,648.037
2001-04-13,647.797
2001-04-16,643.536
2001-04-17,645.542
2001-04-18,666.761
2001-04-19,677.657
2001-04-20,674.25
2001-04-23,665.741
2001-04-24,660.115
2001-04-25,667.166
2001-04-26,671.73
2001-04-27,677.909
2001-04-30,678.232
2001-05-01,687.874
2001-05-02,689.395
2001-05-03,680.531
2001-05-04,687.35
2001-05-07,688.218
2001-05-08,683.761
2001-05-09,679.118
2001-05-10,681.198
2001-05-11,675.445
2001-05-14,670.636
2001-05-15,674.786
2001-05-16,685.347
2001-05-17,689.859
2001-05-18,690.296
2001-05-21,698.855
2001-05-22,697.352
2001-05-23,689.06
2001-05-24,689.844
2001-05-25,682.835
2001-05-28,682.749
2001-05-29,677.721
2001-05-30,667.402
2001-05-31,667.868
2001-06-01,668.697
2001-06-04,671.399
2001-06-05,678.018
2001-06-06,672.477
2001-06-07,675.613
2001-06-08,670.78
2001-06-11,663.064
2001-06-12,658.753
2001-06-13,656.432
2001-06-14,649.36
2001-06-15,645.317
2001-06-18,640.6
2001-06-19,641.251
2001-06-20,642.868
2001-06-21,648.958
2001-06-22,647.526
2001-06-25,645.827
2001-06-26,642.165
2001-06-27,639.644
2001-06-28,643.407
2001-06-29,646.029
2001-07-02,652.271
2001-07-03,649.901
2001-07-04,647.508
2001-07-05,638.396
2001-07-06,626.012
2001-07-09,628.868
2001-07-10,624.454
2001-07-11,621.757
2001-07-12,632.308
2001-07-13,634.584
2001-07-16,629.834
2001-07-17,630.354
2001-07-18,628.388
2001-07-19,632.958
2001-07-20,631.202
2001-07-23,622.558
2001-07-24,616.624
2001-07-25,621.139
2001-07-26,625.499
2001-07-27,628.652
2001-07-30,629.077
2001-07-31,634.779
2001-08-01,639.224
2001-08-02,643.457
2001-08-03,639.771
2001-08-06,634.459
2001-08-07,635.566
2001-08-08,626.779
2001-08-09,623.248
2001-08-10,625.202
2001-08-13,625.741
2001-08-14,628.816
2001-08-15,628.304
2001-08-16,625.791
2001-08-17,617.123
2001-08-20,617.919
2001-08-21,616.464
2001-08-22,620.408
2001-08-23,616.85
2001-08-24,626.921
2001-08-27,625.705
2001-08-28,617.171
2001-08-29,612.246
2001-08-30,601.425
2001-08-31,602.588
2001-09-03,598.397
2001-09-04,599.911
2001-09-05,594.711
2001-09-06,583.166
2001-09-07,574.594
2001-09-10,572.75
2001-09-11,564.676
2001-09-12,562.024
2001-09-13,565.204
2001-09-14,561.08
2001-09-17,546.564
2001-09-18,544.565
2001-09-19,539.501
2001-09-20,523.417
2001-09-21,510.107
2001-09-24,529.152
2001-09-25,536.056
2001-09-26,535.178
2001-09-27,540.211
2001-09-28,551.927
2001-10-01,549.614
2001-10-02,555.667
2001-10-03,562.2
2001-10-04,567.471
2001-10-05,568.353
2001-10-08,565.964
2001-10-09,561.95
2001-10-10,571.058
2001-10-11,578.594
2001-10-12,577.958
2001-10-15,573.37
2001-10-16,577.859
2001-10-17,576.163
2001-10-18,568.9
2001-10-19,566.267
2001-10-22,572.687
2001-10-23,575.855
2001-10-24,577.48
2001-10-25,579.501
2001-10-26,583.493
2001-10-29,573.386
2001-10-30,563.407
2001-10-31,563.593
2001-11-01,573.35
2001-11-02,574.308
2001-11-05,581.68
2001-11-06,587.588
2001-11-07,586.934
2001-11-08,590.912
2001-11-09,589.141
2001-11-12,584.469
2001-11-13,593.311
2001-11-14,595.004
2001-11-15,596.798
2001-11-16,598.266
2001-11-19,603.745
2001-11-20,598.915
2001-11-21,595.516
2001-11-22,597.485
2001-11-23,599.797
2001-11-26,604.334
2001-11-27,600.02
2001-11-28,590.791
2001-11-29,593.785
2001-11-30,596.177
2001-12-03,589.761
2001-12-04,596.437
