Date,WORLD SMID CAP SMID (Small+Mid Cap)
2001-01-01,448.985
2001-01-02,438.875
2001-01-03,445.964
2001-01-04,442.995
2001-01-05,436.812
2001-01-08,434.389
2001-01-09,432.806
2001-01-10,437.094
2001-01-11,441.461
2001-01-12,443.49
2001-01-15,443.009
2001-01-16,445.026
2001-01-17,447.532
2001-01-18,451.226
2001-01-19,450.13
2001-01-22,450.809
2001-01-23,456.272
2001-01-24,455.078
2001-01-25,454.608
2001-01-26,454.306
2001-01-29,458.636
2001-01-30,461.518
2001-01-31,462.45
2001-02-01,464.392
2001-02-02,458.876
2001-02-05,458.033
2001-02-06,459.371
2001-02-07,457.154
2001-02-08,453.859
2001-02-09,451.3
2001-02-12,453.998
2001-02-13,451.868
2001-02-14,451.674
2001-02-15,453.673
2001-02-16,449.668
2001-02-19,449.16
2001-02-20,444.16
2001-02-21,438.937
2001-02-22,435.089
2001-02-23,434.981
2001-02-26,441.033
2001-02-27,439.007
2001-02-28,434.544
2001-03-01,433.096
2001-03-02,433.059
2001-03-05,432.56
2001-03-06,438.398
2001-03-07,439.714
2001-03-08,438.91
2001-03-09,433.695
2001-03-12,421.41
2001-03-13,417.9
2001-03-14,410.202
2001-03-15,409.703
2001-03-16,402.114
2001-03-19,406.254
2001-03-20,403.974
2001-03-21,398.812
2001-03-22,390.171
2001-03-23,399.281
2001-03-26,406.675
2001-03-27,410.314
2001-03-28,405.284
2001-03-29,401.814
2001-03-30,403.76
2001-04-02,397.963
2001-04-03,390.211
2001-04-04,391.34
2001-04-05,402.187
2001-04-06,399.08
2001-04-09,401.011
2001-04-10,407.164
2001-04-11,407.352
2001-04-12,413.239
2001-04-13,413.38
2001-04-16,410.565
2001-04-17,412.172
2001-04-18,422.207
2001-04-19,428.662
2001-04-20,427.826
2001-04-23,423.461
2001-04-24,422.636
2001-04-25,427.471
2001-04-26,431.422
2001-04-27,433.475
2001-04-30,436.356
2001-05-01,441.265
2001-05-02,443.149
2001-05-03,439.561
2001-05-04,442.754
2001-05-07,441.822
2001-05-08,440.953
2001-05-09,439.033
2001-05-10,439.67
2001-05-11,437.664
2001-05-14,435.216
2001-05-15,437.673
2001-05-16,442.795
2001-05-17,448.393
2001-05-18,448.873
2001-05-21,455.652
2001-05-22,456.014
2001-05-23,451.502
2001-05-24,451.777
2001-05-25,450.393
2001-05-28,450.295
2001-05-29,446.493
2001-05-30,440.149
2001-05-31,441.639
2001-06-01,443.761
2001-06-04,445.186
2001-06-05,449.129
2001-06-06,446.548
2001-06-07,448.836
2001-06-08,446.91
2001-06-11,441.573
2001-06-12,439.105
2001-06-13,438.906
2001-06-14,432.776
2001-06-15,430.956
2001-06-18,427.232
2001-06-19,426.155
2001-06-20,426.496
2001-06-21,428.303
2001-06-22,426.836
2001-06-25,426.606
2001-06-26,427.359
2001-06-27,427.898
2001-06-28,428.956
2001-06-29,435.467
2001-07-02,433.127
2001-07-03,432.335
2001-07-04,431.091
2001-07-05,426.528
2001-07-06,420.07
2001-07-09,419.535
2001-07-10,417.749
2001-07-11,416.138
2001-07-12,422.058
2001-07-13,422.61
2001-07-16,419.228
2001-07-17,419.839
2001-07-18,419.368
2001-07-19,421.086
2001-07-20,420.625
2001-07-23,416.048
2001-07-24,412.32
2001-07-25,414.803
2001-07-26,418.24
2001-07-27,419.901
2001-07-30,418.927
2001-07-31,421.267
2001-08-01,424.888
2001-08-02,427.969
2001-08-03,426.713
2001-08-06,423.253
2001-08-07,422.23
2001-08-08,418.091
2001-08-09,416.8
2001-08-10,418.49
2001-08-13,419.423
2001-08-14,421.257
2001-08-15,422.942
2001-08-16,421.996
