Date,WORLD SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,573.032
2001-01-02,551.501
2001-01-03,564.578
2001-01-04,559.198
2001-01-05,545.863
2001-01-08,539.363
2001-01-09,539.121
2001-01-10,547.604
2001-01-11,558.97
2001-01-12,565.513
2001-01-15,565.586
2001-01-16,566.928
2001-01-17,573.677
2001-01-18,580.728
2001-01-19,581.362
2001-01-22,580.942
2001-01-23,589.933
2001-01-24,589.765
2001-01-25,586.531
2001-01-26,586.164
2001-01-29,593.208
2001-01-30,596.865
2001-01-31,597.555
2001-02-01,597.858
2001-02-02,587.183
2001-02-05,583.441
2001-02-06,587.376
2001-02-07,581.449
2001-02-08,575.883
2001-02-09,569.651
2001-02-12,571.822
2001-02-13,566.756
2001-02-14,566.306
2001-02-15,571.208
2001-02-16,562.522
2001-02-19,560.877
2001-02-20,550.84
2001-02-21,541.72
2001-02-22,534.602
2001-02-23,534.638
2001-02-26,543.962
2001-02-27,537.336
2001-02-28,528.362
2001-03-01,524.6
2001-03-02,522.096
2001-03-05,520.351
2001-03-06,530.891
2001-03-07,533.091
2001-03-08,528.5
2001-03-09,518.323
2001-03-12,498.113
2001-03-13,494.714
2001-03-14,485.334
2001-03-15,482.847
2001-03-16,471.207
2001-03-19,477.583
2001-03-20,474.134
2001-03-21,465.496
2001-03-22,456.051
2001-03-23,470.552
2001-03-26,480.1
2001-03-27,485.097
2001-03-28,475.704
2001-03-29,469.063
2001-03-30,471.611
2001-04-02,461.132
2001-04-03,446.097
2001-04-04,445.755
2001-04-05,464.346
2001-04-06,460.015
2001-04-09,462.695
2001-04-10,473.752
2001-04-11,475.814
2001-04-12,485.713
2001-04-13,485.909
2001-04-16,481.077
2001-04-17,483.007
2001-04-18,501.949
2001-04-19,513.899
2001-04-20,512.093
2001-04-23,502.34
2001-04-24,499.868
2001-04-25,507.575
2001-04-26,513.163
2001-04-27,516.601
2001-04-30,522.71
2001-05-01,529.427
2001-05-02,534.411
2001-05-03,527.172
2001-05-04,531.696
2001-05-07,530.307
2001-05-08,529.668
2001-05-09,525.906
2001-05-10,525.168
2001-05-11,521.617
2001-05-14,516.77
2001-05-15,519.162
2001-05-16,526.981
2001-05-17,536.273
2001-05-18,536.904
2001-05-21,549.177
2001-05-22,550.794
2001-05-23,542.369
2001-05-24,543.677
2001-05-25,542.12
2001-05-28,541.873
2001-05-29,533.419
2001-05-30,521.239
2001-05-31,523.27
2001-06-01,526.897
2001-06-04,528.629
2001-06-05,536.303
2001-06-06,532.643
2001-06-07,536.31
2001-06-08,532.775
2001-06-11,523.788
2001-06-12,519.937
2001-06-13,518.914
2001-06-14,508.821
2001-06-15,505.932
2001-06-18,499.045
2001-06-19,497.422
2001-06-20,498.597
2001-06-21,500.63
2001-06-22,497.68
2001-06-25,497.889
2001-06-26,498.003
2001-06-27,498.557
2001-06-28,501.251
2001-06-29,510.985
2001-07-02,506.352
2001-07-03,503.913
2001-07-04,502.009
2001-07-05,494.262
2001-07-06,484.066
2001-07-09,483.093
2001-07-10,479.479
2001-07-11,476.596
2001-07-12,486.309
2001-07-13,487.066
2001-07-16,480.866
2001-07-17,481.826
2001-07-18,479.383
2001-07-19,482.082
2001-07-20,481.801
2001-07-23,476.024
2001-07-24,470.817
2001-07-25,473.749
2001-07-26,479.167
2001-07-27,482.457
2001-07-30,480.453
2001-07-31,482.453
2001-08-01,487.143
2001-08-02,490.328
2001-08-03,488.193
2001-08-06,483.101
2001-08-07,480.607
2001-08-08,473.806
2001-08-09,471.49
2001-08-10,471.853
2001-08-13,473.847
2001-08-14,475.343
2001-08-15,475.416
2001-08-16,472.816
2001-08-17,468.037
2001-08-20,465.908
2001-08-21,462.758
2001-08-22,466.567
2001-08-23,464.048
2001-08-24,470.455
2001-08-27,470.964
2001-08-28,465.44
2001-08-29,463.577
2001-08-30,456.923
2001-08-31,456.867
2001-09-03,453.576
2001-09-04,450.601
2001-09-05,443.734
2001-09-06,435.964
2001-09-07,431.75
2001-09-10,425.84
2001-09-11,421.781
2001-09-12,415.332
2001-09-13,416.603
2001-09-14,415.172
2001-09-17,396.211
2001-09-18,390.442
2001-09-19,386.648
2001-09-20,375.135
2001-09-21,365.339
2001-09-24,375.767
2001-09-25,380.036
2001-09-26,377.305
2001-09-27,378.627
2001-09-28,387.601
2001-10-01,383.465
2001-10-02,386.605
2001-10-03,395.88
2001-10-04,402.112
2001-10-05,402.221
2001-10-08,400.953
2001-10-09,399.975
2001-10-10,407.535
2001-10-11,417.524
2001-10-12,417.574
2001-10-15,416.877
2001-10-16,421.431
2001-10-17,417.444
2001-10-18,412.501
2001-10-19,414.259
2001-10-22,417.591
2001-10-23,419.419
2001-10-24,422.121
2001-10-25,428.08
2001-10-26,430.382
2001-10-29,424.468
2001-10-30,416.626
2001-10-31,419.294
2001-11-01,424.018
2001-11-02,423.8
2001-11-05,428.804
2001-11-06,433.527
2001-11-07,434.45
2001-11-08,432.964
2001-11-09,432.48
2001-11-12,431.901
2001-11-13,437.586
2001-11-14,440.818
2001-11-15,440.874
2001-11-16,442.824
2001-11-19,447.926
2001-11-20,443.238
2001-11-21,440.518
2001-11-22,441.416
2001-11-23,444.059
2001-11-26,450.095
2001-11-27,450.315
2001-11-28,443.726
2001-11-29,446.633
2001-11-30,447.889
2001-12-03,442.746
2001-12-04,450.217
2001-12-05,462.718
2001-12-06,465.215
2001-12-07,461.613
2001-12-10,455.546
2001-12-11,455.741
2001-12-12,456.649
2001-12-13,449.384
2001-12-14,448.53
2001-12-17,452.195
2001-12-18,455.086
2001-12-19,451.938
2001-12-20,446.469
2001-12-21,448.837
2001-12-24,448.724
2001-12-25,448.692
2001-12-26,451.03
2001-12-27,455.729
2001-12-28,459.347
2001-12-31,457.845
2002-01-01,457.846
2002-01-02,458.316
2002-01-03,464.087
2002-01-04,468.195
2002-01-07,464.892
2002-01-08,463.987
2002-01-09,462.938
2002-01-10,462.047
2002-01-11,459.093
2002-01-14,453.154
2002-01-15,452.902
2002-01-16,444.441
2002-01-17,447.778
2002-01-18,444.725
2002-01-21,444.654
2002-01-22,439.886
2002-01-23,444.773
2002-01-24,447.27
2002-01-25,445.474
2002-01-28,446.213
2002-01-29,440.797
2002-01-30,441.448
2002-01-31,444.642
2002-02-01,442.793
2002-02-04,434.705
2002-02-05,430.632
2002-02-06,426.883
2002-02-07,423.973
2002-02-08,429.577
2002-02-11,435.525
2002-02-12,436.627
2002-02-13,438.841
2002-02-14,437.735
2002-02-15,434.592
2002-02-18,433.82
2002-02-19,425.394
2002-02-20,426.948
2002-02-21,423.94
2002-02-22,424.96
2002-02-25,428.484
2002-02-26,431.009
2002-02-27,432.239
2002-02-28,430.513
2002-03-01,438.219
2002-03-04,451.337
2002-03-05,450.606
2002-03-06,455.445
2002-03-07,459.309
2002-03-08,463.509
2002-03-11,465.389
2002-03-12,460.573
2002-03-13,456.698
2002-03-14,458.212
2002-03-15,460.829
2002-03-18,462.976
2002-03-19,464.504
2002-03-20,460.429
2002-03-21,462.505
2002-03-22,459.745
2002-03-25,453.944
2002-03-26,454.999
2002-03-27,458.104
2002-03-28,460.543
2002-03-29,460.031
2002-04-01,460.651
2002-04-02,456.299
2002-04-03,453.29
2002-04-04,453.749
2002-04-05,453.144
2002-04-08,453.638
2002-04-09,451.533
2002-04-10,455.321
2002-04-11,449.935
2002-04-12,452.571
2002-04-15,453.595
2002-04-16,461.763
2002-04-17,462.947
2002-04-18,462.98
2002-04-19,462.768
2002-04-22,459.269
2002-04-23,457.869
2002-04-24,456.088
2002-04-25,456.31
2002-04-26,452.053
2002-04-29,449.098
2002-04-30,453.117
2002-05-01,455.11
2002-05-02,453.315
2002-05-03,451.586
2002-05-06,447.172
2002-05-07,442.984
2002-05-08,454.134
2002-05-09,450.097
2002-05-10,446.243
2002-05-13,449.963
2002-05-14,455.87
2002-05-15,458.416
2002-05-16,457.902
2002-05-17,461.848
2002-05-20,458.914
2002-05-21,454.939
2002-05-22,454.688
2002-05-23,456.717
2002-05-24,453.878
2002-05-27,453.389
2002-05-28,453.579
2002-05-29,451.063
2002-05-30,451.061
2002-05-31,451.114
2002-06-03,443.204
2002-06-04,441.046
2002-06-05,441.749
2002-06-06,437.25
2002-06-07,436.874
2002-06-10,436.91
2002-06-11,431.771
2002-06-12,429.393
2002-06-13,424.502
2002-06-14,422.287
2002-06-17,430.183
2002-06-18,430.24
2002-06-19,424.582
2002-06-20,419.611
2002-06-21,415.816
2002-06-24,414.486
2002-06-25,409.652
2002-06-26,408.377
2002-06-27,412.819
2002-06-28,417.517
