Date,WORLD SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,579.296
2001-01-02,557.527
2001-01-03,570.747
2001-01-04,565.308
2001-01-05,551.827
2001-01-08,545.256
2001-01-09,545.011
2001-01-10,553.586
2001-01-11,565.077
2001-01-12,571.691
2001-01-15,571.764
2001-01-16,573.12
2001-01-17,579.942
2001-01-18,587.071
2001-01-19,587.71
2001-01-22,587.284
2001-01-23,596.374
2001-01-24,596.204
2001-01-25,592.933
2001-01-26,592.561
2001-01-29,599.682
2001-01-30,603.378
2001-01-31,604.075
2001-02-01,604.38
2001-02-02,593.589
2001-02-05,589.806
2001-02-06,593.782
2001-02-07,587.79
2001-02-08,582.163
2001-02-09,575.863
2001-02-12,578.058
2001-02-13,572.935
2001-02-14,572.48
2001-02-15,577.435
2001-02-16,568.654
2001-02-19,566.991
2001-02-20,556.843
2001-02-21,547.621
2001-02-22,540.425
2001-02-23,540.458
2001-02-26,549.882
2001-02-27,543.184
2001-02-28,534.107
2001-03-01,530.304
2001-03-02,527.772
2001-03-05,526.002
2001-03-06,536.652
2001-03-07,538.873
2001-03-08,534.231
2001-03-09,523.938
2001-03-12,503.509
2001-03-13,500.073
2001-03-14,490.589
2001-03-15,488.073
2001-03-16,476.306
2001-03-19,482.75
2001-03-20,479.26
2001-03-21,470.528
2001-03-22,460.981
2001-03-23,475.635
2001-03-26,485.284
2001-03-27,490.301
2001-03-28,480.803
2001-03-29,474.09
2001-03-30,476.662
2001-04-02,466.068
2001-04-03,450.871
2001-04-04,450.524
2001-04-05,469.312
2001-04-06,464.933
2001-04-09,467.64
2001-04-10,478.815
2001-04-11,480.897
2001-04-12,490.901
2001-04-13,491.099
2001-04-16,486.215
2001-04-17,488.165
2001-04-18,507.308
2001-04-19,519.381
2001-04-20,517.554
2001-04-23,507.69
2001-04-24,505.19
2001-04-25,512.959
2001-04-26,518.602
2001-04-27,522.072
2001-04-30,528.244
2001-05-01,535.028
2001-05-02,540.061
2001-05-03,532.741
2001-05-04,537.304
2001-05-07,535.896
2001-05-08,535.25
2001-05-09,531.445
2001-05-10,530.697
2001-05-11,527.105
2001-05-14,522.194
2001-05-15,524.609
2001-05-16,532.505
2001-05-17,541.895
2001-05-18,542.531
2001-05-21,554.906
2001-05-22,556.526
2001-05-23,548.009
2001-05-24,549.329
2001-05-25,547.754
2001-05-28,547.503
2001-05-29,538.958
2001-05-30,526.65
2001-05-31,528.697
2001-06-01,532.357
2001-06-04,534.102
2001-06-05,541.854
2001-06-06,538.155
2001-06-07,541.856
2001-06-08,538.282
2001-06-11,529.201
2001-06-12,525.308
2001-06-13,524.272
2001-06-14,514.072
2001-06-15,511.152
2001-06-18,504.188
2001-06-19,502.548
2001-06-20,503.732
2001-06-21,505.786
2001-06-22,502.806
2001-06-25,503.014
2001-06-26,503.126
2001-06-27,503.678
2001-06-28,506.397
2001-06-29,516.228
2001-07-02,511.544
2001-07-03,509.079
2001-07-04,507.154
2001-07-05,499.326
2001-07-06,489.025
2001-07-09,488.042
2001-07-10,484.387
2001-07-11,481.474
2001-07-12,491.286
2001-07-13,492.05
2001-07-16,485.787
2001-07-17,486.756
2001-07-18,484.277
2001-07-19,487.003
2001-07-20,486.718
2001-07-23,480.881
2001-07-24,475.621
2001-07-25,478.583
2001-07-26,484.056
2001-07-27,487.379
2001-07-30,485.355
2001-07-31,487.375
2001-08-01,492.112
2001-08-02,495.327
2001-08-03,493.169
2001-08-06,488.026
2001-08-07,485.506
2001-08-08,478.635
2001-08-09,476.295
2001-08-10,476.661
2001-08-13,478.676
2001-08-14,480.187
2001-08-15,480.259
2001-08-16,477.632
2001-08-17,472.805
2001-08-20,470.652
2001-08-21,467.47
2001-08-22,471.317
2001-08-23,468.772
2001-08-24,475.243
2001-08-27,475.755
2001-08-28,470.173
2001-08-29,468.289
2001-08-30,461.567
2001-08-31,461.509
2001-09-03,458.182
2001-09-04,455.177
2001-09-05,448.24
2001-09-06,440.39
2001-09-07,436.133
2001-09-10,430.16
2001-09-11,426.059
2001-09-12,419.544
2001-09-13,420.825
2001-09-14,419.378
2001-09-17,400.223
2001-09-18,394.396
2001-09-19,390.563
2001-09-20,378.932
2001-09-21,369.036
2001-09-24,379.568
2001-09-25,383.859
2001-09-26,381.1
2001-09-27,382.434
2001-09-28,391.498
2001-10-01,387.32
2001-10-02,390.49
2001-10-03,399.858
2001-10-04,406.152
2001-10-05,406.261
2001-10-08,404.978
2001-10-09,403.99
2001-10-10,411.626
2001-10-11,421.715
2001-10-12,421.765
2001-10-15,421.06
2001-10-16,425.659
2001-10-17,421.631
2001-10-18,416.639
2001-10-19,418.414
2001-10-22,421.78
2001-10-23,423.626
2001-10-24,426.355
2001-10-25,432.371
2001-10-26,434.696
2001-10-29,428.722
2001-10-30,420.801
2001-10-31,423.494
2001-11-01,428.265
2001-11-02,428.044
2001-11-05,433.097
2001-11-06,437.867
2001-11-07,438.798
2001-11-08,437.298
2001-11-09,436.809
2001-11-12,436.223
2001-11-13,441.964
2001-11-14,445.228
2001-11-15,445.283
2001-11-16,447.252
2001-11-19,452.403
2001-11-20,447.668
2001-11-21,444.921
2001-11-22,445.827
2001-11-23,448.498
2001-11-26,454.593
2001-11-27,454.812
2001-11-28,448.156
2001-11-29,451.092
2001-11-30,452.36
2001-12-03,447.165
2001-12-04,454.711
2001-12-05,467.336
2001-12-06,469.854
2001-12-07,466.216
2001-12-10,460.088
2001-12-11,460.284
2001-12-12,461.2
2001-12-13,453.862
2001-12-14,452.999
2001-12-17,456.7
2001-12-18,459.62
2001-12-19,456.44
2001-12-20,450.916
2001-12-21,453.305
2001-12-24,453.19
2001-12-25,453.156
2001-12-26,455.516
2001-12-27,460.259
2001-12-28,463.913
2001-12-31,462.396
2002-01-01,462.396
2002-01-02,462.869
2002-01-03,468.697
2002-01-04,472.845
2002-01-07,469.509
2002-01-08,468.595
2002-01-09,467.535
2002-01-10,466.635
2002-01-11,463.651
2002-01-14,457.652
2002-01-15,457.398
2002-01-16,448.853
2002-01-17,452.222
2002-01-18,449.139
2002-01-21,449.065
2002-01-22,444.25
2002-01-23,449.185
2002-01-24,451.707
2002-01-25,449.893
2002-01-28,450.638
2002-01-29,445.168
2002-01-30,445.824
2002-01-31,449.05
2002-02-01,447.182
2002-02-04,439.014
2002-02-05,434.9
2002-02-06,431.114
2002-02-07,428.175
2002-02-08,433.834
2002-02-11,439.84
2002-02-12,440.952
2002-02-13,443.185
2002-02-14,442.068
2002-02-15,438.893
2002-02-18,438.112
2002-02-19,429.602
2002-02-20,431.17
2002-02-21,428.132
2002-02-22,429.162
2002-02-25,432.718
2002-02-26,435.267
2002-02-27,436.506
2002-02-28,434.762
2002-03-01,442.544
2002-03-04,455.788
2002-03-05,455.047
2002-03-06,459.933
2002-03-07,463.834
2002-03-08,468.074
2002-03-11,469.971
2002-03-12,465.107
2002-03-13,461.191
2002-03-14,462.717
2002-03-15,465.356
2002-03-18,467.519
2002-03-19,469.062
2002-03-20,464.945
2002-03-21,467.041
2002-03-22,464.248
2002-03-25,458.389
2002-03-26,459.416
2002-03-27,462.547
2002-03-28,465.008
2002-03-29,464.491
2002-04-01,465.117
2002-04-02,460.719
2002-04-03,457.68
2002-04-04,458.143
2002-04-05,457.531
2002-04-08,458.028
2002-04-09,455.899
2002-04-10,459.72
2002-04-11,454.272
2002-04-12,456.931
2002-04-15,457.964
2002-04-16,466.209
2002-04-17,467.401
2002-04-18,467.433
2002-04-19,467.214
2002-04-22,463.679
2002-04-23,462.265
2002-04-24,460.464
2002-04-25,460.684
2002-04-26,456.385
2002-04-29,453.4
2002-04-30,457.454
2002-05-01,459.466
2002-05-02,457.653
2002-05-03,455.904
2002-05-06,451.445
2002-05-07,447.214
2002-05-08,458.467
2002-05-09,454.382
2002-05-10,450.49
2002-05-13,454.242
2002-05-14,460.204
2002-05-15,462.77
2002-05-16,462.246
2002-05-17,466.222
2002-05-20,463.24
2002-05-21,459.22
2002-05-22,458.967
2002-05-23,461.012
2002-05-24,458.14
2002-05-27,457.641
2002-05-28,457.829
2002-05-29,455.286
2002-05-30,455.282
2002-05-31,455.332
2002-06-03,447.341
2002-06-04,445.162
2002-06-05,445.869
2002-06-06,441.325
2002-06-07,440.944
2002-06-10,440.974
2002-06-11,435.786
2002-06-12,433.38
2002-06-13,428.442
2002-06-14,426.203
2002-06-17,434.173
2002-06-18,434.228
2002-06-19,428.518
2002-06-20,423.496
2002-06-21,419.666
2002-06-24,418.321
2002-06-25,413.441
2002-06-26,412.152
2002-06-27,416.635
2002-06-28,421.375
2002-07-01,412.948
2002-07-02,401.708
2002-07-03,400.285
2002-07-04,400.636
2002-07-05,413.23
2002-07-08,409.958
2002-07-09,404.498
2002-07-10,394.88
2002-07-11,392.307
2002-07-12,392.747
2002-07-15,389.532
2002-07-16,387.26
2002-07-17,390.088
2002-07-18,385.891
2002-07-19,376.887
2002-07-22,365.731
2002-07-23,356.547
2002-07-24,364.185
2002-07-25,362.536
2002-07-26,360.839
2002-07-29,375.524
2002-07-30,379.082
2002-07-31,375.875
2002-08-01,367.326
2002-08-02,359.705
2002-08-05,349.434
2002-08-06,354.824
2002-08-07,358.241
2002-08-08,365.018
2002-08-09,367.506
2002-08-12,366.066
2002-08-13,360.827
2002-08-14,369.383
2002-08-15,375.302
2002-08-16,378.561
2002-08-19,383.824
2002-08-20,380.402
2002-08-21,385.918
2002-08-22,390.326
2002-08-23,384.06
2002-08-26,386.39
2002-08-27,381.807
2002-08-28,373.948
2002-08-29,374.773
2002-08-30,373.182
2002-09-02,372.226
2002-09-03,362.202
2002-09-04,365.59
2002-09-05,360.504
2002-09-06,366.978
2002-09-09,368.078
2002-09-10,370.917
2002-09-11,372.132
2002-09-12,365.712
2002-09-13,364.876
