Date,WORLD SMID VALUE SMID (Small+Mid Cap)
1994-05-31,237.327
1994-06-30,240.825
1994-07-29,243.575
1994-08-31,247.103
1994-09-30,241.194
1994-10-31,242.436
1994-11-30,229.619
1994-12-30,233.349
1995-01-31,230.951
1995-02-28,230.977
1995-03-31,239.003
1995-04-28,244.98
1995-05-31,243.794
1995-06-30,243.471
1995-07-31,254.486
1995-08-31,251.691
1995-09-29,253.654
1995-10-31,246.691
1995-11-30,252.973
1995-12-29,260.8
1996-01-31,264.418
1996-02-29,267.697
1996-03-29,272.507
1996-04-30,283.134
1996-05-31,282.998
1996-06-28,282.943
1996-07-31,272.354
1996-08-30,275.741
1996-09-30,280.198
1996-10-31,279.405
1996-11-29,287.939
1996-12-31,286.79
1997-01-31,284.583
1997-02-28,287.37
1997-03-31,280.922
1997-04-30,281.256
1997-05-30,301.945
1997-06-30,313.444
1997-07-31,318.124
1997-08-29,311.316
1997-09-30,323.096
1997-10-31,313.94
1997-11-28,309.859
1997-12-31,311.304
1998-01-30,316.278
1998-02-27,336.963
1998-03-31,351.286
1998-04-30,352.638
1998-05-29,347.932
1998-06-30,340.554
1998-07-31,329.498
1998-08-31,285.182
1998-09-30,288.749
1998-10-30,308.028
1998-11-30,318.354
1998-12-31,325.017
1999-01-29,318.929
1999-02-26,309.675
1999-03-31,318.836
1999-04-30,344.546
1999-05-31,341.931
1999-06-30,353.36
1999-07-30,356.263
1999-08-31,353.145
1999-09-30,348.13
1999-10-29,346.14
1999-11-30,343.685
1999-12-31,353.631
2000-01-31,340.81
2000-02-29,338.993
2000-03-31,355.851
2000-04-28,344.507
2000-05-31,345.783
2000-06-30,357.943
2000-07-31,352.603
2000-08-31,367.489
2000-09-29,359.879
2000-10-31,350.774
2000-11-30,345.851
2000-12-29,366.901
2001-01-31,374.271
2001-02-28,368.374
2001-03-30,352.055
2001-04-30,373.873
2001-05-31,381.352
2001-06-29,379.101
2001-07-31,374.003
2001-08-31,372.927
2001-09-28,332.575
2001-10-31,339.333
2001-11-30,354.577
2001-12-31,362.83
2002-01-31,360.199
2002-02-28,366.703
2002-03-29,388.685
2002-04-30,397.976
2002-05-31,404.19
2002-06-28,386.47
2002-07-31,350.306
2002-08-30,352.561
2002-09-30,321.792
2002-10-31,328.477
2002-11-29,345.644
2002-12-31,339.895
2003-01-31,331.564
2003-02-28,325.774
2003-03-31,325.335
2003-04-30,354.067
2003-05-30,383.977
2003-06-30,391.495
2003-07-31,404.519
2003-08-29,419.87
2003-09-30,426.738
2003-10-31,455.943
2003-11-28,466.076
2003-12-31,492.736
2004-01-30,506.061
2004-02-27,521.952
2004-03-31,531.951
2004-04-30,512.142
2004-05-31,519.679
2004-06-30,541.034
2004-07-30,526.31
2004-08-31,532.575
2004-09-30,549.432
2004-10-29,563.139
2004-11-30,604.661
2004-12-31,630.718
2005-01-31,622.136
2005-02-28,644.541
2005-03-31,636.012
2005-04-29,617.196
2005-05-31,633.268
2005-06-30,649.948
2005-07-29,678.592
2005-08-31,682.485
2005-09-30,698.696
2005-10-31,678.178
2005-11-30,703.426
2005-12-30,723.416
2006-01-31,766.636
2006-02-28,769.468
2006-03-31,794.215
2006-04-28,814.779
2006-05-31,787.63
2006-06-30,787.616
2006-07-31,785.332
2006-08-31,805.98
2006-09-29,813.897
2006-10-31,848.455
2006-11-30,879.458
2006-12-29,895.831
2007-01-31,915.67
2007-02-28,924.232
2007-03-30,941.754
2007-04-30,973.722
2007-05-31,1000.0
2007-06-29,977.971
2007-07-31,936.553
2007-08-31,925.993
2007-09-28,941.575
2007-10-31,960.716
2007-11-30,899.22
2007-12-31,875.903
2008-01-31,828.583
2008-02-29,821.728
2008-03-31,820.577
2008-04-30,847.9
2008-05-30,868.867
2008-06-30,778.623
2008-07-31,769.114
2008-08-29,774.733
2008-09-30,694.116
2008-10-31,541.043
2008-11-28,507.289
2008-12-31,537.797
2009-01-30,488.723
2009-02-27,428.523
2009-03-31,465.08
2009-04-30,546.86
2009-05-29,594.341
2009-06-30,595.009
2009-07-31,655.326
2009-08-31,704.466
2009-09-30,741.657
2009-10-30,711.768
2009-11-30,729.199
2009-12-31,755.216
2010-01-29,737.763
2010-02-26,753.438
2010-03-31,808.949
2010-04-30,832.211
2010-05-31,753.293
2010-06-30,721.932
2010-07-30,780.851
2010-08-31,746.125
2010-09-30,821.442
2010-10-29,849.996
2010-11-30,837.223
2010-12-31,913.073
2011-01-31,930.615
2011-02-28,963.53
2011-03-31,962.42
2011-04-29,996.788
2011-05-31,977.42
2011-06-30,955.805
2011-07-29,930.396
2011-08-31,858.978
2011-09-30,773.699
2011-10-31,853.838
2011-11-30,831.13
2011-12-30,831.915
2012-01-31,888.332
2012-02-29,928.639
2012-03-30,939.766
2012-04-30,926.824
2012-05-31,842.421
2012-06-29,881.036
2012-07-31,884.623
2012-08-31,909.486
2012-09-28,939.671
2012-10-31,942.662
2012-11-30,955.283
2012-12-31,994.628
2013-01-31,1054.901
2013-02-28,1065.739
2013-03-29,1099.659
2013-04-30,1134.54
2013-05-31,1131.318
2013-06-28,1105.265
2013-07-31,1171.088
2013-08-30,1140.642
2013-09-30,1211.387
2013-10-31,1259.067
2013-11-29,1269.321
2013-12-31,1298.047
2014-01-31,1268.269
2014-02-28,1333.323
2014-03-31,1344.819
2014-04-30,1346.822
2014-05-30,1367.004
2014-06-30,1407.567
2014-07-31,1363.489
2014-08-29,1397.113
2014-09-30,1326.258
2014-10-31,1346.993
2014-11-28,1358.573
2014-12-31,1360.518
2015-01-30,1344.428
2015-02-27,1415.358
2015-03-31,1406.216
2015-04-30,1428.457
2015-05-29,1437.224
2015-06-30,1405.035
2015-07-31,1398.603
2015-08-31,1324.719
2015-09-30,1279.391
2015-10-30,1360.065
2015-11-30,1358.204
2015-12-31,1320.748
2016-01-29,1233.45
2016-02-29,1243.694
2016-03-31,1352.526
2016-04-29,1393.425
2016-05-31,1393.507
2016-06-30,1368.484
2016-07-29,1441.665
2016-08-31,1449.001
2016-09-30,1468.642
2016-10-31,1435.532
2016-11-30,1497.726
2016-12-30,1542.24
2017-01-31,1578.766
2017-02-28,1613.334
2017-03-31,1617.197
2017-04-28,1641.054
2017-05-31,1649.122
2017-06-30,1675.602
2017-07-31,1716.808
2017-08-31,1706.426
2017-09-29,1762.391
2017-10-31,1776.321
2017-11-30,1818.354
2017-12-29,1847.327
2018-01-31,1902.073
2018-02-28,1815.454
2018-03-30,1809.279
2018-04-30,1839.26
2018-05-31,1845.755
2018-06-29,1837.231
2018-07-31,1871.403
2018-08-31,1878.332
2018-09-28,1864.118
2018-10-31,1722.05
2018-11-30,1736.841
2018-12-31,1586.516
2019-01-31,1744.274
2019-02-28,1789.138
2019-03-29,1776.712
2019-04-30,1828.635
2019-05-31,1706.762
2019-06-28,1800.684
2019-07-31,1801.146
2019-08-30,1736.87
2019-09-30,1815.039
2019-10-31,1861.829
2019-11-29,1895.651
2019-12-31,1960.548
2020-01-31,1895.76
2020-02-28,1703.136
2020-03-31,1299.423
2020-04-30,1450.135
2020-05-29,1507.173
2020-06-30,1538.242
2020-07-31,1581.571
2020-08-31,1670.313
2020-09-30,1621.787
2020-10-30,1616.098
2020-11-30,1885.745
2020-12-31,1992.91
2021-01-29,2008.629
2021-02-26,2134.136
2021-03-31,2230.17
2021-04-30,2317.063
2021-05-31,2372.023
2021-06-30,2335.084
2021-07-30,2334.911
2021-08-31,2388.38
2021-09-30,2318.42
2021-10-29,2402.668
2021-11-30,2307.304
2021-12-31,2435.406
2022-01-31,2348.223
2022-02-28,2350.322
2022-03-31,2380.881
2022-04-29,2242.007
2022-05-31,2269.494
2022-06-30,2030.195
2022-07-29,2178.895
2022-08-31,2115.553
2022-09-30,1896.298
2022-10-31,2059.51
2022-11-30,2202.531
2022-12-30,2138.573
2023-01-31,2319.047
2023-02-28,2262.551
2023-03-31,2178.327
2023-04-28,2193.18
2023-05-31,2096.337
2023-06-30,2235.235
2023-07-31,2352.053
2023-08-31,2269.373
2023-09-29,2175.012
2023-10-31,2067.717
2023-11-30,2251.195
2023-12-29,2436.152
2024-01-31,2392.655
2024-02-29,2440.17
2024-03-29,2565.624
2024-04-30,2463.771
2024-05-31,2556.42
2024-06-28,2492.629
2024-07-31,2661.845
2024-08-30,2709.956
2024-09-30,2765.246
2024-10-31,2692.147
2024-11-29,2836.247
2024-12-31,2667.692
2025-01-31,2758.915
2025-02-28,2727.632
2025-03-31,2666.897
2025-04-30,2655.769
2025-05-30,2776.848
2025-06-30,2874.827
